alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,18982.2,-0.105121,18982.2,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,18982.2,-0.105121,18982.2,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,19000.9,-0.103632,19000.9,0,0,0,0.278917,0.278917,0.1,-0.0599078,2,2
1,19000.9,-0.103632,19000.9,0,0,0,0.278917,0.278917,-0.1,-0.0599078,3,2
1,19035.3,-0.100887,19035.3,0,0,0,0.258974,0.258974,0.1,-0.0596107,4,2
1,19035.3,-0.100887,19035.3,0,0,0,0.258974,0.258974,-0.1,-0.0596107,5,2
1,19089.1,-0.0965982,19089.1,0,0,0,0.240112,0.240112,0.1,-0.0591305,6,2
1,19089.1,-0.0965982,19089.1,0,0,0,0.240112,0.240112,-0.1,-0.0591305,7,2
1,19162.5,-0.0907385,19162.5,0,0,0,0.222274,0.222274,0.1,-0.0584807,8,2
1,19162.5,-0.0907385,19162.5,0,0,0,0.222274,0.222274,-0.1,-0.0584807,9,2
1,19256.9,-0.0832087,19256.9,0,0,0,0.205407,0.205407,0.1,-0.0576744,10,2
1,19256.9,-0.0832087,19256.9,0,0,0,0.205407,0.205407,-0.1,-0.0576744,11,2
1,19373.4,-0.07392,19373.4,0,0,0,0.189461,0.189461,0.1,-0.0567235,12,2
1,19373.4,-0.07392,19373.4,0,0,0,0.189461,0.189461,-0.1,-0.0567235,13,2
1,19513,-0.0627813,19513,0,0,0,0.174388,0.174388,0.1,-0.0556388,14,2
1,19513,-0.0627813,19513,0,0,0,0.174388,0.174388,-0.1,-0.0556388,15,2
1,19677.3,-0.0496732,19677.3,0,0,0,0.160143,0.160143,0.1,-0.0544304,16,2
1,19677.3,-0.0496732,19677.3,0,0,0,0.160143,0.160143,-0.1,-0.0544304,17,2
1,19868.3,-0.0344364,19868.3,0,0,0,0.146683,0.146683,0.1,-0.0531076,18,2
1,19868.3,-0.0344364,19868.3,0,0,0,0.146683,0.146683,-0.1,-0.0531076,19,2
1,20087.3,-0.0169691,20087.3,0,0,0,0.133969,0.133969,0.1,-0.0516782,20,2
1,20087.3,-0.0169691,20087.3,0,0,0,0.133969,0.133969,-0.1,-0.0516782,21,2
1,20335,0.00278901,20335,0,0,0,0.121962,0.121962,0.1,-0.0501494,22,2
1,20335,0.00278901,20335,0,0,0,0.121962,0.121962,-0.1,-0.0501494,23,2
1,20615.2,0.0251475,20615.2,0,0,0,0.110627,0.110627,0.1,-0.048527,24,2
1,20615.2,0.0251475,20615.2,0,0,0,0.110627,0.110627,-0.1,-0.048527,25,2
1,20935.5,0.0506971,20935.5,0,0,0,0.0999313,0.0999313,0.1,-0.046816,26,2
1,20935.5,0.0506971,20935.5,0,0,0,0.0999313,0.0999313,-0.1,-0.046816,27,2
1,21301.1,0.0798583,21301.1,0,0,0,0.0898427,0.0898427,0.1,-0.0450199,28,2
1,21301.1,0.0798583,21301.1,0,0,0,0.0898427,0.0898427,-0.1,-0.0450199,29,2
1,21716.4,0.11299,21716.4,0,0,0,0.0803324,0.0803324,0.1,-0.0431414,30,2
1,21716.4,0.11299,21716.4,0,0,0,0.0803324,0.0803324,-0.1,-0.0431414,31,2
1,22189.6,0.15074,22189.6,0,0,0,0.0713735,0.0713735,0.1,-0.0411815,32,2
1,22189.6,0.15074,22189.6,0,0,0,0.0713735,0.0713735,-0.1,-0.0411815,33,2
1,22729.3,0.193795,22729.3,0,0,0,0.0629416,0.0629416,0.1,-0.0391395,34,2
1,22729.3,0.193795,22729.3,0,0,0,0.0629416,0.0629416,-0.1,-0.0391395,35,2
1,23342.1,0.24268,23342.1,0,0,0,0.0550146,0.0550146,0.1,-0.0370133,36,2
1,23342.1,0.24268,23342.1,0,0,0,0.0550146,0.0550146,-0.1,-0.0370133,37,2
1,24034.8,0.297936,24034.8,0,0,0,0.0475729,0.0475729,0.1,-0.0347985,38,2
1,24034.8,0.297936,24034.8,0,0,0,0.0475729,0.0475729,-0.1,-0.0347985,39,2
1,24819.8,0.360555,24819.8,0,0,0,0.0406006,0.0406006,0.1,-0.0324885,40,2
1,24819.8,0.360555,24819.8,0,0,0,0.0406006,0.0406006,-0.1,-0.0324885,41,2
1,25707.7,0.431385,25707.7,0,0,0,0.0340854,0.0340854,0.1,-0.0300733,42,2
1,25707.7,0.431385,25707.7,0,0,0,0.0340854,0.0340854,-0.1,-0.0300733,43,2
1,26701.9,0.510699,26701.9,0,0,0,0.0280203,0.0280203,0.1,-0.0275391,44,2
1,26701.9,0.510699,26701.9,0,0,0,0.0280203,0.0280203,-0.1,-0.0275391,45,2
1,27816.4,0.5996,27816.4,0,0,0,0.0224053,0.0224053,0.1,-0.0248668,46,2
1,27816.4,0.5996,27816.4,0,0,0,0.0224053,0.0224053,-0.1,-0.0248668,47,2
1,29030.5,0.696453,29030.5,0,0,0,0.0172508,0.0172508,0.1,-0.0220312,48,2
1,29030.5,0.696453,29030.5,0,0,0,0.0172508,0.0172508,-0.1,-0.0220312,49,2
1,30285,0.796532,30285,0,0,0,0.0125821,0.0125821,0.1,-0.0189977,50,2
1,30285,0.796532,30285,0,0,0,0.0125821,0.0125821,-0.1,-0.0189977,51,2
1,31543.3,0.89691,31543.3,0,0,0,0.00845393,0.00845393,0.1,-0.015725,52,2
1,31543.3,0.89691,31543.3,0,0,0,0.00845393,0.00845393,-0.1,-0.015725,53,2
1,32573.1,0.97906,32573.1,0,0,0,0.00496597,0.00496597,0.1,-0.0121727,54,2
1,32573.1,0.97906,32573.1,0,0,0,0.00496597,0.00496597,-0.1,-0.0121727,55,2
1,32655.8,0.985656,32655.8,0,0,0,0.00226181,0.00226181,0.1,-0.00829971,56,2
1,32655.8,0.985656,32655.8,0,0,0,0.00226181,0.00226181,-0.1,-0.00829971,57,2
1,30863.7,0.842694,30863.7,0,0,0,0.000557975,0.000557975,0.1,-0.00416555,58,2
1,30863.7,0.842694,30863.7,0,0,0,0.000557975,0.000557975,-0.1,-0.00416555,59,2
1,26680.3,0.50897,26680.3,0,0,0,0,0,0.1,0,60,2
1,26680.3,0.50897,26680.3,0,0,0,0,0,-0.1,0,61,2
1,22996.9,0.215141,22996.9,0,0,0,1,1,-0.1,-1.66533e-17,62,2
1,22996.9,0.215141,22996.9,0,0,0,1,1,0.1,-1.65202e-17,63,2
1,22981.8,0.213933,22981.8,0,0,0,0.976801,0.976801,0.1,-0.00332199,64,2
1,22981.8,0.213933,22981.8,0,0,0,0.976801,0.976801,-0.1,-0.00332199,65,2
1,22440,0.170715,22440,0,0,0,0.953589,0.953589,0.1,-0.00654887,66,2
1,22440,0.170715,22440,0,0,0,0.953589,0.953589,-0.1,-0.00654887,67,2
1,21999.5,0.135577,21999.5,0,0,0,0.930364,0.930364,0.1,-0.00968461,68,2
1,21999.5,0.135577,21999.5,0,0,0,0.930364,0.930364,-0.1,-0.00968461,69,2
1,21660,0.108489,21660,0,0,0,0.907127,0.907127,0.1,-0.0127329,70,2
1,21660,0.108489,21660,0,0,0,0.907127,0.907127,-0.1,-0.0127329,71,2
1,21385.5,0.0865909,21385.5,0,0,0,0.88388,0.88388,0.1,-0.0156967,72,2
1,21385.5,0.0865909,21385.5,0,0,0,0.88388,0.88388,-0.1,-0.0156967,73,2
1,21159,0.0685259,21159,0,0,0,0.860622,0.860622,0.1,-0.0185787,74,2
1,21159,0.0685259,21159,0,0,0,0.860622,0.860622,-0.1,-0.0185787,75,2
1,20965.4,0.0530824,20965.4,0,0,0,0.837354,0.837354,0.1,-0.0213809,76,2
1,20965.4,0.0530824,20965.4,0,0,0,0.837354,0.837354,-0.1,-0.0213809,77,2
1,20795.2,0.0395007,20795.2,0,0,0,0.814078,0.814078,0.1,-0.0241053,78,2
1,20795.2,0.0395007,20795.2,0,0,0,0.814078,0.814078,-0.1,-0.0241053,79,2
1,20642.1,0.0272907,20642.1,0,0,0,0.790792,0.790792,0.1,-0.0267526,80,2
1,20642.1,0.0272907,20642.1,0,0,0,0.790792,0.790792,-0.1,-0.0267526,81,2
1,20502.6,0.0161658,20502.6,0,0,0,0.767498,0.767498,0.1,-0.0293238,82,2
1,20502.6,0.0161658,20502.6,0,0,0,0.767498,0.767498,-0.1,-0.0293238,83,2
