alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,19007.9,-0.103071,19007.9,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,19007.9,-0.103071,19007.9,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,19027.9,-0.101475,19027.9,0,0,0,0.278917,0.278917,0.1,-0.0599078,2,2
1,19027.9,-0.101475,19027.9,0,0,0,0.278917,0.278917,-0.1,-0.0599078,3,2
1,19063.7,-0.0986224,19063.7,0,0,0,0.258974,0.258974,0.1,-0.0596107,4,2
1,19063.7,-0.0986224,19063.7,0,0,0,0.258974,0.258974,-0.1,-0.0596107,5,2
1,19118.8,-0.0942265,19118.8,0,0,0,0.240112,0.240112,0.1,-0.0591305,6,2
1,19118.8,-0.0942265,19118.8,0,0,0,0.240112,0.240112,-0.1,-0.0591305,7,2
1,19193.7,-0.0882549,19193.7,0,0,0,0.222274,0.222274,0.1,-0.0584807,8,2
1,19193.7,-0.0882549,19193.7,0,0,0,0.222274,0.222274,-0.1,-0.0584807,9,2
1,19289.5,-0.0806125,19289.5,0,0,0,0.205407,0.205407,0.1,-0.0576744,10,2
1,19289.5,-0.0806125,19289.5,0,0,0,0.205407,0.205407,-0.1,-0.0576744,11,2
1,19407.3,-0.071212,19407.3,0,0,0,0.189461,0.189461,0.1,-0.0567235,12,2
1,19407.3,-0.071212,19407.3,0,0,0,0.189461,0.189461,-0.1,-0.0567235,13,2
1,19548.4,-0.0599593,19548.4,0,0,0,0.174388,0.174388,0.1,-0.0556388,14,2
1,19548.4,-0.0599593,19548.4,0,0,0,0.174388,0.174388,-0.1,-0.0556388,15,2
1,19714.2,-0.0467329,19714.2,0,0,0,0.160143,0.160143,0.1,-0.0544304,16,2
1,19714.2,-0.0467329,19714.2,0,0,0,0.160143,0.160143,-0.1,-0.0544304,17,2
1,19906.7,-0.0313765,19906.7,0,0,0,0.146683,0.146683,0.1,-0.0531076,18,2
1,19906.7,-0.0313765,19906.7,0,0,0,0.146683,0.146683,-0.1,-0.0531076,19,2
1,20127.1,-0.0137955,20127.1,0,0,0,0.133969,0.133969,0.1,-0.0516782,20,2
1,20127.1,-0.0137955,20127.1,0,0,0,0.133969,0.133969,-0.1,-0.0516782,21,2
1,20376.1,0.0060717,20376.1,0,0,0,0.121962,0.121962,0.1,-0.0501494,22,2
1,20376.1,0.0060717,20376.1,0,0,0,0.121962,0.121962,-0.1,-0.0501494,23,2
1,20657.9,0.0285532,20657.9,0,0,0,0.110627,0.110627,0.1,-0.048527,24,2
1,20657.9,0.0285532,20657.9,0,0,0,0.110627,0.110627,-0.1,-0.048527,25,2
1,20980,0.0542465,20980,0,0,0,0.0999313,0.0999313,0.1,-0.046816,26,2
1,20980,0.0542465,20980,0,0,0,0.0999313,0.0999313,-0.1,-0.046816,27,2
1,21347.4,0.0835515,21347.4,0,0,0,0.0898427,0.0898427,0.1,-0.0450199,28,2
1,21347.4,0.0835515,21347.4,0,0,0,0.0898427,0.0898427,-0.1,-0.0450199,29,2
1,21764.5,0.116827,21764.5,0,0,0,0.0803324,0.0803324,0.1,-0.0431414,30,2
1,21764.5,0.116827,21764.5,0,0,0,0.0803324,0.0803324,-0.1,-0.0431414,31,2
1,22239.7,0.154736,22239.7,0,0,0,0.0713735,0.0713735,0.1,-0.0411815,32,2
1,22239.7,0.154736,22239.7,0,0,0,0.0713735,0.0713735,-0.1,-0.0411815,33,2
1,22781.4,0.197945,22781.4,0,0,0,0.0629416,0.0629416,0.1,-0.0391395,34,2
1,22781.4,0.197945,22781.4,0,0,0,0.0629416,0.0629416,-0.1,-0.0391395,35,2
1,23395.6,0.246943,23395.6,0,0,0,0.0550146,0.0550146,0.1,-0.0370133,36,2
1,23395.6,0.246943,23395.6,0,0,0,0.0550146,0.0550146,-0.1,-0.0370133,37,2
1,24089.2,0.302272,24089.2,0,0,0,0.0475729,0.0475729,0.1,-0.0347985,38,2
1,24089.2,0.302272,24089.2,0,0,0,0.0475729,0.0475729,-0.1,-0.0347985,39,2
1,24874.2,0.364897,24874.2,0,0,0,0.0406006,0.0406006,0.1,-0.0324885,40,2
1,24874.2,0.364897,24874.2,0,0,0,0.0406006,0.0406006,-0.1,-0.0324885,41,2
1,25760.6,0.435605,25760.6,0,0,0,0.0340854,0.0340854,0.1,-0.0300733,42,2
1,25760.6,0.435605,25760.6,0,0,0,0.0340854,0.0340854,-0.1,-0.0300733,43,2
1,26752.7,0.514748,26752.7,0,0,0,0.0280203,0.0280203,0.1,-0.0275391,44,2
1,26752.7,0.514748,26752.7,0,0,0,0.0280203,0.0280203,-0.1,-0.0275391,45,2
1,27864.2,0.603417,27864.2,0,0,0,0.0224053,0.0224053,0.1,-0.0248668,46,2
1,27864.2,0.603417,27864.2,0,0,0,0.0224053,0.0224053,-0.1,-0.0248668,47,2
1,29072.9,0.69984,29072.9,0,0,0,0.0172508,0.0172508,0.1,-0.0220312,48,2
