alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,18656.7,-0.131092,18656.7,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,18656.7,-0.131092,18656.7,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,18686.5,-0.128714,18686.5,0,0,0,0.289419,0.289419,0.1,-0.0599836,2,2
1,18686.5,-0.128714,18686.5,0,0,0,0.289419,0.289419,-0.1,-0.0599836,3,2
1,18714.1,-0.12651,18714.1,0,0,0,0.279122,0.279122,0.1,-0.0599097,4,2
1,18714.1,-0.12651,18714.1,0,0,0,0.279122,0.279122,-0.1,-0.0599097,5,2
1,18746.5,-0.123926,18746.5,0,0,0,0.269103,0.269103,0.1,-0.0597874,6,2
1,18746.5,-0.123926,18746.5,0,0,0,0.269103,0.269103,-0.1,-0.0597874,7,2
1,18782.7,-0.121038,18782.7,0,0,0,0.259355,0.259355,0.1,-0.0596184,8,2
1,18782.7,-0.121038,18782.7,0,0,0,0.259355,0.259355,-0.1,-0.0596184,9,2
1,18823.2,-0.117808,18823.2,0,0,0,0.24987,0.24987,0.1,-0.0594042,10,2
1,18823.2,-0.117808,18823.2,0,0,0,0.24987,0.24987,-0.1,-0.0594042,11,2
1,18868,-0.114237,18868,0,0,0,0.240641,0.240641,0.1,-0.0591467,12,2
1,18868,-0.114237,18868,0,0,0,0.240641,0.240641,-0.1,-0.0591467,13,2
1,18917,-0.110327,18917,0,0,0,0.231662,0.231662,0.1,-0.0588474,14,2
1,18917,-0.110327,18917,0,0,0,0.231662,0.231662,-0.1,-0.0588474,15,2
1,18970.1,-0.106087,18970.1,0,0,0,0.222927,0.222927,0.1,-0.0585081,16,2
1,18970.1,-0.106087,18970.1,0,0,0,0.222927,0.222927,-0.1,-0.0585081,17,2
1,19027.8,-0.101485,19027.8,0,0,0,0.214429,0.214429,0.1,-0.05813,18,2
1,19027.8,-0.101485,19027.8,0,0,0,0.214429,0.214429,-0.1,-0.05813,19,2
1,19090.3,-0.0965001,19090.3,0,0,0,0.206161,0.206161,0.1,-0.0577147,20,2
1,19090.3,-0.0965001,19090.3,0,0,0,0.206161,0.206161,-0.1,-0.0577147,21,2
1,19157.5,-0.0911366,19157.5,0,0,0,0.198119,0.198119,0.1,-0.0572636,22,2
1,19157.5,-0.0911366,19157.5,0,0,0,0.198119,0.198119,-0.1,-0.0572636,23,2
1,19229.7,-0.0853828,19229.7,0,0,0,0.190295,0.190295,0.1,-0.056778,24,2
1,19229.7,-0.0853828,19229.7,0,0,0,0.190295,0.190295,-0.1,-0.056778,25,2
1,19306.6,-0.0792467,19306.6,0,0,0,0.182686,0.182686,0.1,-0.0562592,26,2
1,19306.6,-0.0792467,19306.6,0,0,0,0.182686,0.182686,-0.1,-0.0562592,27,2
1,19388.7,-0.0726954,19388.7,0,0,0,0.175284,0.175284,0.1,-0.0557086,28,2
1,19388.7,-0.0726954,19388.7,0,0,0,0.175284,0.175284,-0.1,-0.0557086,29,2
1,19476.4,-0.0656971,19476.4,0,0,0,0.168085,0.168085,0.1,-0.0551271,30,2
1,19476.4,-0.0656971,19476.4,0,0,0,0.168085,0.168085,-0.1,-0.0551271,31,2
1,19569.3,-0.0582934,19569.3,0,0,0,0.161083,0.161083,0.1,-0.0545161,32,2
1,19569.3,-0.0582934,19569.3,0,0,0,0.161083,0.161083,-0.1,-0.0545161,33,2
1,19667.6,-0.0504506,19667.6,0,0,0,0.154274,0.154274,0.1,-0.0538765,34,2
1,19667.6,-0.0504506,19667.6,0,0,0,0.154274,0.154274,-0.1,-0.0538765,35,2
1,19772.3,-0.0420966,19772.3,0,0,0,0.147653,0.147653,0.1,-0.0532092,36,2
1,19772.3,-0.0420966,19772.3,0,0,0,0.147653,0.147653,-0.1,-0.0532092,37,2
1,19883.2,-0.033253,19883.2,0,0,0,0.141214,0.141214,0.1,-0.0525153,38,2
1,19883.2,-0.033253,19883.2,0,0,0,0.141214,0.141214,-0.1,-0.0525153,39,2
1,20000,-0.0239288,20000,0,0,0,0.134954,0.134954,0.1,-0.0517956,40,2
1,20000,-0.0239288,20000,0,0,0,0.134954,0.134954,-0.1,-0.0517956,41,2
1,20123.3,-0.0140929,20123.3,0,0,0,0.128867,0.128867,0.1,-0.051051,42,2
1,20123.3,-0.0140929,20123.3,0,0,0,0.128867,0.128867,-0.1,-0.051051,43,2
1,20253.7,-0.00368972,20253.7,0,0,0,0.12295,0.12295,0.1,-0.0502822,44,2
1,20253.7,-0.00368972,20253.7,0,0,0,0.12295,0.12295,-0.1,-0.0502822,45,2
1,20391.7,0.00731689,20391.7,0,0,0,0.117198,0.117198,0.1,-0.0494898,46,2
1,20391.7,0.00731689,20391.7,0,0,0,0.117198,0.117198,-0.1,-0.0494898,47,2
1,20536.9,0.0189012,20536.9,0,0,0,0.111607,0.111607,0.1,-0.0486746,48,2
1,20536.9,0.0189012,20536.9,0,0,0,0.111607,0.111607,-0.1,-0.0486746,49,2
1,20689.7,0.0310888,20689.7,0,0,0,0.106173,0.106173,0.1,-0.0478369,50,2
1,20689.7,0.0310888,20689.7,0,0,0,0.106173,0.106173,-0.1,-0.0478369,51,2
1,20851.2,0.0439677,20851.2,0,0,0,0.100892,0.100892,0.1,-0.0469774,52,2
1,20851.2,0.0439677,20851.2,0,0,0,0.100892,0.100892,-0.1,-0.0469774,53,2
1,21021.9,0.0575875,21021.9,0,0,0,0.0957611,0.0957611,0.1,-0.0460964,54,2
1,21021.9,0.0575875,21021.9,0,0,0,0.0957611,0.0957611,-0.1,-0.0460964,55,2
1,21202,0.0719517,21202,0,0,0,0.090776,0.090776,0.1,-0.0451942,56,2
1,21202,0.0719517,21202,0,0,0,0.090776,0.090776,-0.1,-0.0451942,57,2
1,21391.5,0.0870734,21391.5,0,0,0,0.0859334,0.0859334,0.1,-0.044271,58,2
1,21391.5,0.0870734,21391.5,0,0,0,0.0859334,0.0859334,-0.1,-0.044271,59,2
1,21591.7,0.10304,21591.7,0,0,0,0.0812301,0.0812301,0.1,-0.0433272,60,2
1,21591.7,0.10304,21591.7,0,0,0,0.0812301,0.0812301,-0.1,-0.0433272,61,2
1,21804,0.119981,21804,0,0,0,0.0766628,0.0766628,0.1,-0.0423627,62,2
1,21804,0.119981,21804,0,0,0,0.0766628,0.0766628,-0.1,-0.0423627,63,2
1,22028.6,0.137897,22028.6,0,0,0,0.0722286,0.0722286,0.1,-0.0413773,64,2
1,22028.6,0.137897,22028.6,0,0,0,0.0722286,0.0722286,-0.1,-0.0413773,65,2
1,22265.3,0.15678,22265.3,0,0,0,0.0679244,0.0679244,0.1,-0.0403711,66,2
1,22265.3,0.15678,22265.3,0,0,0,0.0679244,0.0679244,-0.1,-0.0403711,67,2
1,22516.5,0.176814,22516.5,0,0,0,0.0637477,0.0637477,0.1,-0.0393438,68,2
1,22516.5,0.176814,22516.5,0,0,0,0.0637477,0.0637477,-0.1,-0.0393438,69,2
1,22784,0.198153,22784,0,0,0,0.0596957,0.0596957,0.1,-0.0382951,70,2
1,22784,0.198153,22784,0,0,0,0.0596957,0.0596957,-0.1,-0.0382951,71,2
1,23068,0.220811,23068,0,0,0,0.0557661,0.0557661,0.1,-0.0372245,72,2
1,23068,0.220811,23068,0,0,0,0.0557661,0.0557661,-0.1,-0.0372245,73,2
1,23369,0.24482,23369,0,0,0,0.0519566,0.0519566,0.1,-0.0361312,74,2
1,23369,0.24482,23369,0,0,0,0.0519566,0.0519566,-0.1,-0.0361312,75,2
1,23689.6,0.2704,23689.6,0,0,0,0.0482651,0.0482651,0.1,-0.0350147,76,2
1,23689.6,0.2704,23689.6,0,0,0,0.0482651,0.0482651,-0.1,-0.0350147,77,2
1,24033,0.297788,24033,0,0,0,0.0446899,0.0446899,0.1,-0.0338739,78,2
1,24033,0.297788,24033,0,0,0,0.0446899,0.0446899,-0.1,-0.0338739,79,2
1,24400.2,0.327084,24400.2,0,0,0,0.0412293,0.0412293,0.1,-0.0327075,80,2
1,24400.2,0.327084,24400.2,0,0,0,0.0412293,0.0412293,-0.1,-0.0327075,81,2
1,24792.2,0.358355,24792.2,0,0,0,0.037882,0.037882,0.1,-0.0315144,82,2
1,24792.2,0.358355,24792.2,0,0,0,0.037882,0.037882,-0.1,-0.0315144,83,2
1,25212.4,0.391879,25212.4,0,0,0,0.034647,0.034647,0.1,-0.0302928,84,2
1,25212.4,0.391879,25212.4,0,0,0,0.034647,0.034647,-0.1,-0.0302928,85,2
1,25664.8,0.427961,25664.8,0,0,0,0.0315237,0.0315237,0.1,-0.029041,86,2
1,25664.8,0.427961,25664.8,0,0,0,0.0315237,0.0315237,-0.1,-0.029041,87,2
1,26151.7,0.46681,26151.7,0,0,0,0.0285117,0.0285117,0.1,-0.0277566,88,2
1,26151.7,0.46681,26151.7,0,0,0,0.0285117,0.0285117,-0.1,-0.0277566,89,2
1,26675.6,0.508598,26675.6,0,0,0,0.0256116,0.0256116,0.1,-0.026437,90,2
1,26675.6,0.508598,26675.6,0,0,0,0.0256116,0.0256116,-0.1,-0.026437,91,2
1,27237.6,0.55343,27237.6,0,0,0,0.0228241,0.0228241,0.1,-0.0250793,92,2
1,27237.6,0.55343,27237.6,0,0,0,0.0228241,0.0228241,-0.1,-0.0250793,93,2
1,27841.9,0.601641,27841.9,0,0,0,0.0201512,0.0201512,0.1,-0.0236801,94,2
1,27841.9,0.601641,27841.9,0,0,0,0.0201512,0.0201512,-0.1,-0.0236801,95,2
1,28488.6,0.653227,28488.6,0,0,0,0.0175955,0.0175955,0.1,-0.0222352,96,2
1,28488.6,0.653227,28488.6,0,0,0,0.0175955,0.0175955,-0.1,-0.0222352,97,2
1,29178.5,0.70826,29178.5,0,0,0,0.0151609,0.0151609,0.1,-0.0207402,98,2
1,29178.5,0.70826,29178.5,0,0,0,0.0151609,0.0151609,-0.1,-0.0207402,99,2
1,29908.1,0.766464,29908.1,0,0,0,0.0128531,0.0128531,0.1,-0.0191897,100,2
1,29908.1,0.766464,29908.1,0,0,0,0.0128531,0.0128531,-0.1,-0.0191897,101,2
1,30660,0.826443,30660,0,0,0,0.0106799,0.0106799,0.1,-0.0175783,102,2
1,30660,0.826443,30660,0,0,0,0.0106799,0.0106799,-0.1,-0.0175783,103,2
1,31400.3,0.8855,31400.3,0,0,0,0.0086521,0.0086521,0.1,-0.0159001,104,2
1,31400.3,0.8855,31400.3,0,0,0,0.0086521,0.0086521,-0.1,-0.0159001,105,2
1,32085.2,0.940134,32085.2,0,0,0,0.00678257,0.00678257,0.1,-0.0141485,106,2
1,32085.2,0.940134,32085.2,0,0,0,0.00678257,0.00678257,-0.1,-0.0141485,107,2
1,32637.3,0.984178,32637.3,0,0,0,0.00508856,0.00508856,0.1,-0.0123172,108,2
1,32637.3,0.984178,32637.3,0,0,0,0.00508856,0.00508856,-0.1,-0.0123172,109,2
1,32925.3,1.00716,32925.3,0,0,0,0.00359515,0.00359515,0.1,-0.0104064,110,2
