alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,18313,-0.15851,18313,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,18313,-0.15851,18313,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,18435.2,-0.148757,18435.2,0,0,0,0.282458,0.282458,0.1,-0.0599394,2,2
1,18435.2,-0.148757,18435.2,0,0,0,0.282458,0.282458,-0.1,-0.0599394,3,2
1,18564.5,-0.138442,18564.5,0,0,0,0.26575,0.26575,0.1,-0.0597349,4,2
1,18564.5,-0.138442,18564.5,0,0,0,0.26575,0.26575,-0.1,-0.0597349,5,2
1,18703.2,-0.127379,18703.2,0,0,0,0.249838,0.249838,0.1,-0.0594034,6,2
1,18703.2,-0.127379,18703.2,0,0,0,0.249838,0.249838,-0.1,-0.0594034,7,2
1,18850.8,-0.115607,18850.8,0,0,0,0.234684,0.234684,0.1,-0.0589537,8,2
1,18850.8,-0.115607,18850.8,0,0,0,0.234684,0.234684,-0.1,-0.0589537,9,2
1,19008.3,-0.103039,19008.3,0,0,0,0.220255,0.220255,0.1,-0.0583944,10,2
1,19008.3,-0.103039,19008.3,0,0,0,0.220255,0.220255,-0.1,-0.0583944,11,2
1,19176.2,-0.0896472,19176.2,0,0,0,0.206516,0.206516,0.1,-0.0577335,12,2
1,19176.2,-0.0896472,19176.2,0,0,0,0.206516,0.206516,-0.1,-0.0577335,13,2
1,19354.6,-0.0754194,19354.6,0,0,0,0.193436,0.193436,0.1,-0.0569786,14,2
1,19354.6,-0.0754194,19354.6,0,0,0,0.193436,0.193436,-0.1,-0.0569786,15,2
1,19544.7,-0.0602551,19544.7,0,0,0,0.180985,0.180985,0.1,-0.0561368,16,2
1,19544.7,-0.0602551,19544.7,0,0,0,0.180985,0.180985,-0.1,-0.0561368,17,2
1,19747,-0.0441171,19747,0,0,0,0.169133,0.169133,0.1,-0.0552147,18,2
1,19747,-0.0441171,19747,0,0,0,0.169133,0.169133,-0.1,-0.0552147,19,2
1,19961.6,-0.026997,19961.6,0,0,0,0.157854,0.157854,0.1,-0.0542186,20,2
1,19961.6,-0.026997,19961.6,0,0,0,0.157854,0.157854,-0.1,-0.0542186,21,2
1,20189.7,-0.0088003,20189.7,0,0,0,0.147122,0.147122,0.1,-0.0531537,22,2
1,20189.7,-0.0088003,20189.7,0,0,0,0.147122,0.147122,-0.1,-0.0531537,23,2
1,20432.4,0.010562,20432.4,0,0,0,0.136911,0.136911,0.1,-0.0520255,24,2
1,20432.4,0.010562,20432.4,0,0,0,0.136911,0.136911,-0.1,-0.0520255,25,2
1,20689.8,0.031099,20689.8,0,0,0,0.127198,0.127198,0.1,-0.0508387,26,2
1,20689.8,0.031099,20689.8,0,0,0,0.127198,0.127198,-0.1,-0.0508387,27,2
1,20962.3,0.0528311,20962.3,0,0,0,0.117961,0.117961,0.1,-0.0495975,28,2
1,20962.3,0.0528311,20962.3,0,0,0,0.117961,0.117961,-0.1,-0.0495975,29,2
1,21252.3,0.075966,21252.3,0,0,0,0.109177,0.109177,0.1,-0.0483057,30,2
1,21252.3,0.075966,21252.3,0,0,0,0.109177,0.109177,-0.1,-0.0483057,31,2
1,21561.3,0.100616,21561.3,0,0,0,0.100827,0.100827,0.1,-0.0469665,32,2
1,21561.3,0.100616,21561.3,0,0,0,0.100827,0.100827,-0.1,-0.0469665,33,2
1,21888.9,0.126753,21888.9,0,0,0,0.0928917,0.0928917,0.1,-0.0455829,34,2
1,21888.9,0.126753,21888.9,0,0,0,0.0928917,0.0928917,-0.1,-0.0455829,35,2
1,22236.8,0.154505,22236.8,0,0,0,0.0853528,0.0853528,0.1,-0.0441572,36,2
