alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,18766.7,-0.122317,18766.7,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,18766.7,-0.122317,18766.7,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,18859.1,-0.114946,18859.1,0,0,0,0.282458,0.282458,0.1,-0.0599394,2,2
1,18859.1,-0.114946,18859.1,0,0,0,0.282458,0.282458,-0.1,-0.0599394,3,2
1,18959.6,-0.106927,18959.6,0,0,0,0.26575,0.26575,0.1,-0.0597349,4,2
1,18959.6,-0.106927,18959.6,0,0,0,0.26575,0.26575,-0.1,-0.0597349,5,2
1,19070.8,-0.0980533,19070.8,0,0,0,0.249838,0.249838,0.1,-0.0594034,6,2
1,19070.8,-0.0980533,19070.8,0,0,0,0.249838,0.249838,-0.1,-0.0594034,7,2
1,19192.3,-0.0883669,19192.3,0,0,0,0.234684,0.234684,0.1,-0.0589537,8,2
1,19192.3,-0.0883669,19192.3,0,0,0,0.234684,0.234684,-0.1,-0.0589537,9,2
1,19324.9,-0.0777853,19324.9,0,0,0,0.220255,0.220255,0.1,-0.0583944,10,2
1,19324.9,-0.0777853,19324.9,0,0,0,0.220255,0.220255,-0.1,-0.0583944,11,2
1,19468.9,-0.0663029,19468.9,0,0,0,0.206516,0.206516,0.1,-0.0577335,12,2
1,19468.9,-0.0663029,19468.9,0,0,0,0.206516,0.206516,-0.1,-0.0577335,13,2
1,19624,-0.0539232,19624,0,0,0,0.193436,0.193436,0.1,-0.0569786,14,2
1,19624,-0.0539232,19624,0,0,0,0.193436,0.193436,-0.1,-0.0569786,15,2
1,19791.8,-0.0405445,19791.8,0,0,0,0.180985,0.180985,0.1,-0.0561368,16,2
1,19791.8,-0.0405445,19791.8,0,0,0,0.180985,0.180985,-0.1,-0.0561368,17,2
1,19972.2,-0.0261508,19972.2,0,0,0,0.169133,0.169133,0.1,-0.0552147,18,2
1,19972.2,-0.0261508,19972.2,0,0,0,0.169133,0.169133,-0.1,-0.0552147,19,2
1,20165.4,-0.0107386,20165.4,0,0,0,0.157854,0.157854,0.1,-0.0542186,20,2
1,20165.4,-0.0107386,20165.4,0,0,0,0.157854,0.157854,-0.1,-0.0542186,21,2
1,20372.8,0.00580472,20372.8,0,0,0,0.147122,0.147122,0.1,-0.0531537,22,2
1,20372.8,0.00580472,20372.8,0,0,0,0.147122,0.147122,-0.1,-0.0531537,23,2
1,20595.2,0.0235486,20595.2,0,0,0,0.136911,0.136911,0.1,-0.0520255,24,2
1,20595.2,0.0235486,20595.2,0,0,0,0.136911,0.136911,-0.1,-0.0520255,25,2
1,20832.6,0.0424868,20832.6,0,0,0,0.127198,0.127198,0.1,-0.0508387,26,2
1,20832.6,0.0424868,20832.6,0,0,0,0.127198,0.127198,-0.1,-0.0508387,27,2
1,21085.3,0.0626426,21085.3,0,0,0,0.117961,0.117961,0.1,-0.0495975,28,2
1,21085.3,0.0626426,21085.3,0,0,0,0.117961,0.117961,-0.1,-0.0495975,29,2
1,21355.8,0.0842248,21355.8,0,0,0,0.109177,0.109177,0.1,-0.0483057,30,2
1,21355.8,0.0842248,21355.8,0,0,0,0.109177,0.109177,-0.1,-0.0483057,31,2
1,21645.7,0.10735,21645.7,0,0,0,0.100827,0.100827,0.1,-0.0469665,32,2
1,21645.7,0.10735,21645.7,0,0,0,0.100827,0.100827,-0.1,-0.0469665,33,2
1,21954.4,0.131978,21954.4,0,0,0,0.0928917,0.0928917,0.1,-0.0455829,34,2
1,21954.4,0.131978,21954.4,0,0,0,0.0928917,0.0928917,-0.1,-0.0455829,35,2
1,22283.4,0.158221,22283.4,0,0,0,0.0853528,0.0853528,0.1,-0.0441572,36,2
1,22283.4,0.158221,22283.4,0,0,0,0.0853528,0.0853528,-0.1,-0.0441572,37,2
1,22636,0.186352,22636,0,0,0,0.078193,0.078193,0.1,-0.0426912,38,2
1,22636,0.186352,22636,0,0,0,0.078193,0.078193,-0.1,-0.0426912,39,2
1,23014.6,0.216551,23014.6,0,0,0,0.0713962,0.0713962,0.1,-0.0411867,40,2
1,23014.6,0.216551,23014.6,0,0,0,0.0713962,0.0713962,-0.1,-0.0411867,41,2
1,23420,0.248892,23420,0,0,0,0.0649473,0.0649473,0.1,-0.0396443,42,2
1,23420,0.248892,23420,0,0,0,0.0649473,0.0649473,-0.1,-0.0396443,43,2
1,23854.1,0.28352,23854.1,0,0,0,0.0588321,0.0588321,0.1,-0.0380645,44,2
1,23854.1,0.28352,23854.1,0,0,0,0.0588321,0.0588321,-0.1,-0.0380645,45,2
1,24322.2,0.320863,24322.2,0,0,0,0.0530375,0.0530375,0.1,-0.0364472,46,2
1,24322.2,0.320863,24322.2,0,0,0,0.0530375,0.0530375,-0.1,-0.0364472,47,2
1,24829.3,0.361317,24829.3,0,0,0,0.0475513,0.0475513,0.1,-0.0347917,48,2
1,24829.3,0.361317,24829.3,0,0,0,0.0475513,0.0475513,-0.1,-0.0347917,49,2
1,25377.3,0.405028,25377.3,0,0,0,0.0423628,0.0423628,0.1,-0.0330967,50,2
1,25377.3,0.405028,25377.3,0,0,0,0.0423628,0.0423628,-0.1,-0.0330967,51,2
1,25967.5,0.452116,25967.5,0,0,0,0.0374623,0.0374623,0.1,-0.0313599,52,2
1,25967.5,0.452116,25967.5,0,0,0,0.0374623,0.0374623,-0.1,-0.0313599,53,2
1,26607.1,0.503134,26607.1,0,0,0,0.0328414,0.0328414,0.1,-0.0295785,54,2
1,26607.1,0.503134,26607.1,0,0,0,0.0328414,0.0328414,-0.1,-0.0295785,55,2
1,27304.6,0.558779,27304.6,0,0,0,0.0284936,0.0284936,0.1,-0.0277486,56,2
1,27304.6,0.558779,27304.6,0,0,0,0.0284936,0.0284936,-0.1,-0.0277486,57,2
1,28061.1,0.619127,28061.1,0,0,0,0.0244141,0.0244141,0.1,-0.0258654,58,2
1,28061.1,0.619127,28061.1,0,0,0,0.0244141,0.0244141,-0.1,-0.0258654,59,2
1,28878.6,0.684338,28878.6,0,0,0,0.0206005,0.0206005,0.1,-0.0239228,60,2
1,28878.6,0.684338,28878.6,0,0,0,0.0206005,0.0206005,-0.1,-0.0239228,61,2
1,29757.5,0.754451,29757.5,0,0,0,0.0170534,0.0170534,0.1,-0.0219133,62,2
1,29757.5,0.754451,29757.5,0,0,0,0.0170534,0.0170534,-0.1,-0.0219133,63,2
1,30677.5,0.827841,30677.5,0,0,0,0.0137769,0.0137769,0.1,-0.019828,64,2
1,30677.5,0.827841,30677.5,0,0,0,0.0137769,0.0137769,-0.1,-0.019828,65,2
1,31591.8,0.900777,31591.8,0,0,0,0.0107812,0.0107812,0.1,-0.0176572,66,2
1,31591.8,0.900777,31591.8,0,0,0,0.0107812,0.0107812,-0.1,-0.0176572,67,2
1,32438.4,0.968311,32438.4,0,0,0,0.00808337,0.00808337,0.1,-0.0153912,68,2
1,32438.4,0.968311,32438.4,0,0,0,0.00808337,0.00808337,-0.1,-0.0153912,69,2
1,33070.7,1.01876,33070.7,0,0,0,0.0057086,0.0057086,0.1,-0.0130209,70,2
1,33070.7,1.01876,33070.7,0,0,0,0.0057086,0.0057086,-0.1,-0.0130209,71,2
1,33225.7,1.03112,33225.7,0,0,0,0.00368739,0.00368739,0.1,-0.0105355,72,2
1,33225.7,1.03112,33225.7,0,0,0,0.00368739,0.00368739,-0.1,-0.0105355,73,2
1,32583.1,0.979858,32583.1,0,0,0,0.00207316,0.00207316,0.1,-0.0079534,74,2
1,32583.1,0.979858,32583.1,0,0,0,0.00207316,0.00207316,-0.1,-0.0079534,75,2
1,30852.8,0.841824,30852.8,0,0,0,0.000907224,0.000907224,0.1,-0.00529644,76,2
1,30852.8,0.841824,30852.8,0,0,0,0.000907224,0.000907224,-0.1,-0.00529644,77,2
1,27911.4,0.60718,27911.4,0,0,0,0.000219136,0.000219136,0.1,-0.00261997,78,2
1,27911.4,0.60718,27911.4,0,0,0,0.000219136,0.000219136,-0.1,-0.00261997,79,2
1,23975.6,0.29321,23975.6,0,0,0,0,0,0.1,0,80,2
1,23975.6,0.29321,23975.6,0,0,0,0,0,-0.1,0,81,2
0.504578,10701.5,-0.765696,10701.5,0,0,0,1,1,-0.1,-1.66533e-17,82,2
0.504578,10701.5,-0.765696,10701.5,0,0,0,1,1,0.1,-1.65202e-17,83,2
1,12897.6,-0.590513,12897.6,0,0,0,0.982602,0.982602,0.1,-0.00250059,84,2
1,12897.6,-0.590513,12897.6,0,0,0,0.982602,0.982602,-0.1,-0.00250059,85,2
1,14240.3,-0.4834,14240.3,0,0,0,0.965196,0.965196,0.1,-0.00494698,86,2
1,14240.3,-0.4834,14240.3,0,0,0,0.965196,0.965196,-0.1,-0.00494698,87,2
1,15036.4,-0.419892,15036.4,0,0,0,0.947783,0.947783,0.1,-0.00734114,88,2
1,15036.4,-0.419892,15036.4,0,0,0,0.947783,0.947783,-0.1,-0.00734114,89,2
1,15594.1,-0.375406,15594.1,0,0,0,0.930364,0.930364,0.1,-0.00968462,90,2
1,15594.1,-0.375406,15594.1,0,0,0,0.930364,0.930364,-0.1,-0.00968462,91,2
1,16013.4,-0.341955,16013.4,0,0,0,0.912937,0.912937,0.1,-0.0119788,92,2
1,16013.4,-0.341955,16013.4,0,0,0,0.912937,0.912937,-0.1,-0.0119788,93,2
1,16342,-0.315744,16342,0,0,0,0.895505,0.895505,0.1,-0.0142252,94,2
1,16342,-0.315744,16342,0,0,0,0.895505,0.895505,-0.1,-0.0142252,95,2
1,16607.6,-0.294555,16607.6,0,0,0,0.878066,0.878066,0.1,-0.0164248,96,2
1,16607.6,-0.294555,16607.6,0,0,0,0.878066,0.878066,-0.1,-0.0164248,97,2
1,16826.7,-0.277076,16826.7,0,0,0,0.860622,0.860622,0.1,-0.0185787,98,2
1,16826.7,-0.277076,16826.7,0,0,0,0.860622,0.860622,-0.1,-0.0185787,99,2
1,17010.3,-0.262428,17010.3,0,0,0,0.843172,0.843172,0.1,-0.0206878,100,2
1,17010.3,-0.262428,17010.3,0,0,0,0.843172,0.843172,-0.1,-0.0206878,101,2
1,17166.6,-0.249962,17166.6,0,0,0,0.825717,0.825717,0.1,-0.0227529,102,2
1,17166.6,-0.249962,17166.6,0,0,0,0.825717,0.825717,-0.1,-0.0227529,103,2
1,17301.1,-0.239228,17301.1,0,0,0,0.808257,0.808257,0.1,-0.0247743,104,2
1,17301.1,-0.239228,17301.1,0,0,0,0.808257,0.808257,-0.1,-0.0247743,105,2
1,17417.8,-0.229924,17417.8,0,0,0,0.790792,0.790792,0.1,-0.0267527,106,2
1,17417.8,-0.229924,17417.8,0,0,0,0.790792,0.790792,-0.1,-0.0267527,107,2
1,17519.7,-0.22179,17519.7,0,0,0,0.773322,0.773322,0.1,-0.0286881,108,2
1,17519.7,-0.22179,17519.7,0,0,0,0.773322,0.773322,-0.1,-0.0286881,109,2
1,17609.4,-0.214634,17609.4,0,0,0,0.755848,0.755848,0.1,-0.0305807,110,2
1,17609.4,-0.214634,17609.4,0,0,0,0.755848,0.755848,-0.1,-0.0305807,111,2
1,17688.8,-0.208299,17688.8,0,0,0,0.738368,0.738368,0.1,-0.0324304,112,2
1,17688.8,-0.208299,17688.8,0,0,0,0.738368,0.738368,-0.1,-0.0324304,113,2
1,17759.6,-0.202652,17759.6,0,0,0,0.720885,0.720885,0.1,-0.0342368,114,2
