# Forces      
# CofR        : (0.000000e+00 -1.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((1.854072e-14 1.504542e-17 -1.335820e-12) (4.038724e+00 5.119272e-20 3.699278e-01)) ((-2.700062e-13 1.065814e-14 -3.175238e-14) (3.514314e-01 -1.820170e-01 -3.836787e+00))
1.19976e-05   	((9.267038e+04 -2.275172e-14 2.800545e+05) (4.069726e+00 3.783123e-20 3.477246e-01)) ((2.660517e+05 -7.067673e+04 -8.803686e+04) (3.303383e-01 -1.737910e-01 -3.866239e+00))
2.63878e-05   	((5.191038e+03 -1.700774e-15 5.330349e+04) (4.051674e+00 3.343861e-20 3.422632e-01)) ((5.063831e+04 -1.448861e+04 -4.931486e+03) (3.251500e-01 -1.757867e-01 -3.849091e+00))
4.36511e-05   	((3.844688e+03 -1.267893e-15 2.292370e+04) (4.040788e+00 3.326328e-20 3.454620e-01)) ((2.177752e+04 -5.348364e+03 -3.652454e+03) (3.281889e-01 -1.785372e-01 -3.838749e+00))
6.43527e-05   	((2.421011e+03 -7.604723e-16 1.408605e+04) (4.035668e+00 3.328055e-20 3.490664e-01)) ((1.338174e+04 -3.314162e+03 -2.299961e+03) (3.316131e-01 -1.791531e-01 -3.833885e+00))
8.91792e-05   	((1.595008e+03 -5.033133e-16 9.693617e+03) (4.034079e+00 3.338102e-20 3.503803e-01)) ((9.208936e+03 -2.280743e+03 -1.515258e+03) (3.328613e-01 -1.784851e-01 -3.832375e+00))
0.000118941   	((1.040824e+03 -3.237408e-16 8.503165e+03) (4.034239e+00 3.319436e-20 3.480791e-01)) ((8.078007e+03 -2.328861e+03 -9.887827e+02) (3.306751e-01 -1.759325e-01 -3.832527e+00))
0.000154634   	((7.087164e+02 -2.096247e-16 7.364888e+03) (4.035878e+00 3.291026e-20 3.446291e-01)) ((6.996643e+03 -2.255083e+03 -6.732806e+02) (3.273977e-01 -1.723776e-01 -3.834084e+00))
0.000197405   	((1.052378e+03 -3.097692e-16 5.418183e+03) (4.042433e+00 3.265507e-20 3.455820e-01)) ((5.147274e+03 -1.237080e+03 -9.997588e+02) (3.283029e-01 -1.709706e-01 -3.840311e+00))
0.000248707   	((5.738238e+02 -1.735183e-16 3.340596e+03) (4.046995e+00 3.244357e-20 3.481706e-01)) ((3.173566e+03 -7.901989e+02 -5.451327e+02) (3.307621e-01 -1.706636e-01 -3.844645e+00))
0.000310237   	((1.466168e+03 -3.469840e-16 4.698684e+03) (4.066037e+00 3.308504e-20 3.533630e-01)) ((4.463750e+03 -1.060372e+03 -1.392860e+03) (3.356948e-01 -1.710500e-01 -3.862736e+00))
0.000383982   	((2.508212e+03 -6.144814e-16 6.575524e+03) (4.110222e+00 3.230468e-20 3.593027e-01)) ((6.246747e+03 -2.093205e+03 -2.382801e+03) (3.413376e-01 -1.717255e-01 -3.904711e+00))
0.000472342   	((8.662816e+02 -2.303059e-16 2.192859e+03) (4.132254e+00 3.184393e-20 3.620439e-01)) ((2.083216e+03 -6.171636e+02 -8.229676e+02) (3.439417e-01 -1.731206e-01 -3.925642e+00))
0.000577897   	((7.535108e+02 -1.702038e-16 1.620055e+03) (4.155320e+00 3.207779e-20 3.656947e-01)) ((1.539053e+03 -4.990509e+02 -7.158353e+02) (3.474100e-01 -1.744481e-01 -3.947554e+00))
0.000704014   	((9.088533e+02 -1.897893e-16 1.864085e+03) (4.182667e+00 3.262882e-20 3.673845e-01)) ((1.770880e+03 -9.307041e+02 -8.634107e+02) (3.490153e-01 -1.754185e-01 -3.973533e+00))
0.000854764   	((1.902592e+03 -1.691553e-16 -1.415126e+03) (4.221485e+00 3.375575e-20 3.543419e-01)) ((-1.344370e+03 -2.932742e+02 -1.807462e+03) (3.366248e-01 -1.764803e-01 -4.010411e+00))
0.00103538    	((7.096007e+01 3.047318e-18 9.604060e+02) (4.249839e+00 3.312077e-20 3.538696e-01)) ((9.123857e+02 -4.602555e+02 -6.741207e+01) (3.361761e-01 -1.778149e-01 -4.037347e+00))
0.00125089    	((1.158740e+02 -2.820789e-17 8.346189e+02) (4.286891e+00 3.279361e-20 3.559562e-01)) ((7.928879e+02 -2.244909e+02 -1.100803e+02) (3.381584e-01 -1.791352e-01 -4.072547e+00))
0.00150772    	((1.792629e+02 -1.188121e-16 1.388224e+03) (4.337676e+00 3.196539e-20 3.605070e-01)) ((1.318813e+03 -4.899722e+02 -1.702998e+02) (3.424817e-01 -1.807172e-01 -4.120792e+00))
0.00181593    	((1.708539e+02 -4.745065e-17 9.819718e+02) (4.403534e+00 3.165673e-20 3.659187e-01)) ((9.328732e+02 -2.670800e+02 -1.623112e+02) (3.476227e-01 -1.828052e-01 -4.183357e+00))
0.00217961    	((1.805735e+02 -7.535039e-17 1.157605e+03) (4.504333e+00 3.132999e-20 3.705821e-01)) ((1.099725e+03 -4.070555e+02 -1.715448e+02) (3.520530e-01 -1.844818e-01 -4.279116e+00))
0.0026039     	((2.242901e+02 -3.784869e-17 6.377668e+02) (4.611383e+00 3.311042e-20 3.839848e-01)) ((6.058784e+02 -2.148721e+02 -2.130756e+02) (3.647856e-01 -1.875174e-01 -4.380814e+00))
0.00310094    	((4.920632e+02 -1.180645e-16 9.601925e+02) (4.748192e+00 3.315750e-20 3.973009e-01)) ((9.121829e+02 -4.437750e+02 -4.674601e+02) (3.774358e-01 -1.906873e-01 -4.510783e+00))
0.00368366    	((6.495090e+02 -1.581127e-16 8.414981e+02) (4.917242e+00 3.228981e-20 4.163492e-01)) ((7.994232e+02 -4.346476e+02 -6.170335e+02) (3.955317e-01 -1.951293e-01 -4.671380e+00))
0.00436351    	((1.055219e+03 -2.824475e-16 1.979927e+03) (5.185041e+00 2.992440e-20 4.260322e-01)) ((1.880931e+03 -9.062482e+02 -1.002458e+03) (4.047306e-01 -1.996811e-01 -4.925789e+00))
0.00514533    	((3.914818e+01 -6.888722e-17 9.363791e+02) (5.350802e+00 2.826316e-20 4.521490e-01)) ((8.895601e+02 -4.185043e+02 -3.719077e+01) (4.295416e-01 -2.121594e-01 -5.083262e+00))
0.0058527     	((3.925134e+01 -5.051415e-17 5.879705e+02) (5.469213e+00 2.731314e-20 4.702021e-01)) ((5.585720e+02 -2.787235e+02 -3.728877e+01) (4.466920e-01 -2.227692e-01 -5.195752e+00))
0.00656006    	((4.070785e+01 -5.009005e-17 7.257489e+02) (5.569660e+00 2.692024e-20 4.745038e-01)) ((6.894615e+02 -3.354316e+02 -3.867246e+01) (4.507786e-01 -2.308162e-01 -5.291177e+00))
0.00730673    	((5.049378e+01 -5.565738e-17 5.229477e+02) (5.656945e+00 2.558256e-20 4.767371e-01)) ((4.968003e+02 -2.239901e+02 -4.796909e+01) (4.529003e-01 -2.405262e-01 -5.374097e+00))
0.00805339    	((5.220816e+01 -7.090159e-17 5.527754e+02) (5.733722e+00 2.342863e-20 4.698873e-01)) ((5.251366e+02 -2.423204e+02 -4.959775e+01) (4.463929e-01 -2.482317e-01 -5.447036e+00))
0.00880005    	((4.423112e+01 -8.527741e-17 7.175736e+02) (5.802195e+00 2.119297e-20 4.603705e-01)) ((6.816950e+02 -3.441258e+02 -4.201957e+01) (4.373520e-01 -2.550843e-01 -5.512086e+00))
0.00954672    	((4.828524e+01 -8.899106e-17 8.220808e+02) (5.872162e+00 1.866077e-20 4.474465e-01)) ((7.809767e+02 -4.010893e+02 -4.587098e+01) (4.250741e-01 -2.596527e-01 -5.578554e+00))
0.0103508     	((3.585081e+01 -7.760673e-17 7.668683e+02) (5.945084e+00 1.610018e-20 4.330409e-01)) ((7.285249e+02 -3.987721e+02 -3.405827e+01) (4.113889e-01 -2.629176e-01 -5.647830e+00))
0.0110931     	((6.503021e+00 -1.268706e-17 1.149443e+03) (6.006178e+00 1.924353e-20 4.080728e-01)) ((1.091971e+03 -6.737324e+02 -6.177870e+00) (3.876692e-01 -2.545577e-01 -5.705869e+00))
0.0118353     	((6.545089e+01 -4.880479e-17 6.586696e+02) (6.079950e+00 1.877092e-20 3.943654e-01)) ((6.257361e+02 -2.935466e+02 -6.217834e+01) (3.746471e-01 -2.545250e-01 -5.775953e+00))
0.0125776     	((1.010071e+02 -7.161003e-17 9.903856e+02) (6.172369e+00 1.872985e-20 3.869911e-01)) ((9.408663e+02 -4.080022e+02 -9.595674e+01) (3.676415e-01 -2.552124e-01 -5.863750e+00))
0.0133198     	((5.605473e+01 -4.666996e-17 6.483834e+02) (6.257623e+00 1.812115e-20 3.827399e-01)) ((6.159643e+02 -2.894265e+02 -5.325199e+01) (3.636029e-01 -2.558292e-01 -5.944742e+00))
0.014062      	((6.785169e+01 -5.581550e-17 7.233620e+02) (6.345237e+00 1.804123e-20 3.793613e-01)) ((6.871939e+02 -3.194209e+02 -6.445911e+01) (3.603933e-01 -2.565916e-01 -6.027975e+00))
0.0148043     	((1.376432e+02 -1.005955e-16 1.357216e+03) (6.499362e+00 1.927110e-20 3.684206e-01)) ((1.289355e+03 -5.525557e+02 -1.307610e+02) (3.499996e-01 -2.523025e-01 -6.174394e+00))
0.0154537     	((6.892374e+01 -5.348138e-17 6.813256e+02) (6.617867e+00 1.863281e-20 3.792049e-01)) ((6.472594e+02 -3.092207e+02 -6.547755e+01) (3.602446e-01 -2.517748e-01 -6.286974e+00))
0.0161032     	((8.459881e+01 -6.423514e-17 7.003632e+02) (6.728877e+00 1.672045e-20 3.923666e-01)) ((6.653450e+02 -3.259767e+02 -8.036887e+01) (3.727482e-01 -2.526777e-01 -6.392433e+00))
0.0167527     	((6.024925e+01 -5.341978e-17 6.884635e+02) (6.842988e+00 1.510680e-20 4.042647e-01)) ((6.540403e+02 -3.146822e+02 -5.723679e+01) (3.840515e-01 -2.535168e-01 -6.500839e+00))
0.0174021     	((8.284985e+01 -6.880757e-17 9.530152e+02) (6.975624e+00 1.499323e-20 4.069238e-01)) ((9.053645e+02 -4.317731e+02 -7.870735e+01) (3.865776e-01 -2.499333e-01 -6.626843e+00))
0.0180516     	((6.034554e+01 -6.227614e-17 8.978129e+02) (7.097487e+00 1.476900e-20 4.069563e-01)) ((8.529222e+02 -4.515988e+02 -5.732826e+01) (3.866085e-01 -2.459179e-01 -6.742613e+00))
0.0187011     	((6.018984e+01 -6.258944e-17 8.536094e+02) (7.227165e+00 1.407859e-20 4.121587e-01)) ((8.109290e+02 -4.279139e+02 -5.718034e+01) (3.915508e-01 -2.438354e-01 -6.865807e+00))
0.0193505     	((6.582342e+01 -5.875794e-17 6.696356e+02) (7.370352e+00 1.306038e-20 4.226098e-01)) ((6.361538e+02 -3.325664e+02 -6.253225e+01) (4.014793e-01 -2.419241e-01 -7.001834e+00))
0.02          	((5.956435e+01 -4.791029e-17 3.723559e+02) (7.527440e+00 1.352160e-20 4.387685e-01)) ((3.537381e+02 -2.129266e+02 -5.658613e+01) (4.168301e-01 -2.417786e-01 -7.151068e+00))
0.0207407     	((6.389311e+01 -5.293679e-17 6.938137e+02) (7.710624e+00 1.320464e-20 4.532450e-01)) ((6.591231e+02 -3.207585e+02 -6.069845e+01) (4.305827e-01 -2.383346e-01 -7.325093e+00))
0.0215432     	((6.486093e+01 -5.254207e-17 6.836403e+02) (7.906042e+00 1.276049e-20 4.729438e-01)) ((6.494583e+02 -3.197783e+02 -6.161788e+01) (4.492966e-01 -2.364796e-01 -7.510740e+00))
0.0222531     	((6.293939e+01 -5.249977e-17 6.820550e+02) (8.070348e+00 1.239512e-20 4.884188e-01)) ((6.479522e+02 -3.214298e+02 -5.979242e+01) (4.639979e-01 -2.342367e-01 -7.666831e+00))
0.022963      	((6.187014e+01 -5.249486e-17 6.444932e+02) (8.228781e+00 1.197647e-20 5.020027e-01)) ((6.122685e+02 -3.103859e+02 -5.877664e+01) (4.769026e-01 -2.317553e-01 -7.817342e+00))
0.0236728     	((6.103521e+01 -5.270854e-17 6.629866e+02) (8.381723e+00 1.169183e-20 5.126135e-01)) ((6.298372e+02 -3.223402e+02 -5.798345e+01) (4.869828e-01 -2.283188e-01 -7.962637e+00))
0.0243827     	((5.928968e+01 -5.308066e-17 6.300583e+02) (8.528834e+00 1.116849e-20 5.219133e-01)) ((5.985553e+02 -3.106858e+02 -5.632519e+01) (4.958176e-01 -2.247263e-01 -8.102392e+00))
0.0250926     	((5.922391e+01 -5.286250e-17 6.222511e+02) (8.668108e+00 1.090842e-20 5.341531e-01)) ((5.911386e+02 -3.120352e+02 -5.626271e+01) (5.074454e-01 -2.241337e-01 -8.234703e+00))
0.0258025     	((5.582563e+01 -5.393295e-17 6.149122e+02) (8.801510e+00 1.063379e-20 5.438527e-01)) ((5.841666e+02 -3.061982e+02 -5.303435e+01) (5.166601e-01 -2.221962e-01 -8.361435e+00))
0.0265123     	((5.976158e+01 -5.117103e-17 6.388656e+02) (8.926193e+00 1.058790e-20 5.518347e-01)) ((6.069224e+02 -3.216519e+02 -5.677351e+01) (5.242430e-01 -2.198880e-01 -8.479884e+00))
0.0272222     	((5.720989e+01 -5.414251e-17 6.891079e+02) (9.046723e+00 1.021478e-20 5.545750e-01)) ((6.546525e+02 -3.426169e+02 -5.434940e+01) (5.268463e-01 -2.154968e-01 -8.594387e+00))
0.0279321     	((6.074987e+01 -5.052333e-17 6.705119e+02) (9.158286e+00 9.731183e-21 5.581073e-01)) ((6.369863e+02 -3.385052e+02 -5.771238e+01) (5.302019e-01 -2.119867e-01 -8.700372e+00))
0.028642      	((6.041111e+01 -5.417238e-17 4.540416e+02) (9.258685e+00 7.933329e-21 5.652001e-01)) ((4.313395e+02 -2.737658e+02 -5.739055e+01) (5.369401e-01 -2.105164e-01 -8.795751e+00))
0.0293519     	((6.132985e+01 -5.126843e-17 5.848186e+02) (9.353427e+00 7.175902e-21 5.674174e-01)) ((5.555777e+02 -3.170297e+02 -5.826335e+01) (5.390465e-01 -2.074540e-01 -8.885755e+00))
0.0300617     	((9.635883e+01 -4.865893e-17 8.405305e+01) (9.412606e+00 8.572467e-21 5.923926e-01)) ((7.985040e+01 -2.160222e+02 -9.154089e+01) (5.627729e-01 -2.151264e-01 -8.941975e+00))
0.0307716     	((5.672804e+01 -5.176787e-17 7.780638e+02) (9.491633e+00 8.679718e-21 5.996764e-01)) ((7.391606e+02 -3.802868e+02 -5.389164e+01) (5.696926e-01 -2.117743e-01 -9.017052e+00))
0.0314815     	((4.693730e+01 -5.170080e-17 6.683997e+02) (9.561086e+00 8.742576e-21 6.124781e-01)) ((6.349797e+02 -3.277884e+02 -4.459044e+01) (5.818542e-01 -2.120990e-01 -9.083032e+00))
0.0321914     	((5.344606e+01 -5.120913e-17 7.653339e+02) (9.623568e+00 8.813959e-21 6.198377e-01)) ((7.270672e+02 -3.762925e+02 -5.077375e+01) (5.888458e-01 -2.106192e-01 -9.142390e+00))
0.0329012     	((5.077271e+01 -5.315948e-17 8.004274e+02) (9.687243e+00 8.824029e-21 6.194127e-01)) ((7.604060e+02 -3.998891e+02 -4.823408e+01) (5.884420e-01 -2.072501e-01 -9.202881e+00))
0.0336111     	((5.393288e+01 -5.027729e-17 7.627226e+02) (9.757322e+00 9.862512e-21 6.131664e-01)) ((7.245865e+02 -3.746090e+02 -5.123623e+01) (5.825080e-01 -2.020599e-01 -9.269455e+00))
0.034321      	((4.823303e+01 -4.936246e-17 6.880335e+02) (9.828071e+00 1.023537e-20 6.089972e-01)) ((6.536318e+02 -3.386989e+02 -4.582138e+01) (5.785474e-01 -1.972244e-01 -9.336667e+00))
0.0350309     	((4.844015e+01 -5.047577e-17 7.230797e+02) (9.897485e+00 1.027792e-20 6.069823e-01)) ((6.869257e+02 -3.579454e+02 -4.601814e+01) (5.766332e-01 -1.931924e-01 -9.402611e+00))
0.0357407     	((5.217423e+01 -4.805567e-17 7.409366e+02) (9.972099e+00 1.048289e-20 5.970610e-01)) ((7.038898e+02 -3.702734e+02 -4.956552e+01) (5.672080e-01 -1.861514e-01 -9.473494e+00))
0.0364506     	((5.020924e+01 -4.923269e-17 7.570081e+02) (1.004477e+01 1.032384e-20 5.887019e-01)) ((7.191577e+02 -3.764000e+02 -4.769878e+01) (5.592668e-01 -1.791849e-01 -9.542532e+00))
0.0371605     	((4.796148e+01 -7.036494e-17 7.131800e+02) (1.010611e+01 9.161898e-21 5.778975e-01)) ((6.775210e+02 -3.544389e+02 -4.556341e+01) (5.490027e-01 -1.701844e-01 -9.600809e+00))
0.0378704     	((4.285678e+01 -5.553044e-17 5.989816e+02) (1.015463e+01 9.221306e-21 5.709002e-01)) ((5.690326e+02 -3.149644e+02 -4.071394e+01) (5.423552e-01 -1.641520e-01 -9.646903e+00))
0.0385802     	((6.584364e+01 -5.628937e-17 3.423116e+02) (1.018575e+01 8.258007e-21 5.699805e-01)) ((3.251960e+02 -2.746016e+02 -6.255145e+01) (5.414815e-01 -1.597680e-01 -9.676466e+00))
0.0392901     	((4.889440e+01 -4.941183e-17 8.045644e+02) (1.021653e+01 7.656500e-21 5.689205e-01)) ((7.643362e+02 -4.016168e+02 -4.644968e+01) (5.404745e-01 -1.571764e-01 -9.705699e+00))
0.04          	((3.987129e+01 -6.733650e-17 6.675629e+02) (1.024701e+01 6.384192e-21 5.651698e-01)) ((6.341847e+02 -3.297967e+02 -3.787773e+01) (5.369113e-01 -1.542644e-01 -9.734663e+00))
0.0407143     	((4.683207e+01 -5.163612e-17 7.904333e+02) (1.027531e+01 5.837758e-21 5.515048e-01)) ((7.509117e+02 -3.967995e+02 -4.449047e+01) (5.239296e-01 -1.446908e-01 -9.761543e+00))
0.0414286     	((4.873376e+01 -5.052780e-17 7.918277e+02) (1.031002e+01 5.825593e-21 5.317863e-01)) ((7.522363e+02 -3.994980e+02 -4.629707e+01) (5.051970e-01 -1.332607e-01 -9.794521e+00))
0.0421429     	((4.288263e+01 -5.432994e-17 7.265798e+02) (1.034194e+01 6.247010e-21 5.175840e-01)) ((6.902508e+02 -3.671096e+02 -4.073850e+01) (4.917048e-01 -1.236957e-01 -9.824847e+00))
0.0428571     	((4.188222e+01 -6.593998e-17 4.232715e+02) (1.036296e+01 6.760880e-21 5.088695e-01)) ((4.021080e+02 -2.651819e+02 -3.978811e+01) (4.834260e-01 -1.165264e-01 -9.844814e+00))
0.0435714     	((4.683016e+01 -5.356111e-17 7.382824e+02) (1.039013e+01 7.043990e-21 4.855403e-01)) ((7.013683e+02 -3.842896e+02 -4.448865e+01) (4.612633e-01 -1.003914e-01 -9.870620e+00))
0.0442857     	((4.626764e+01 -5.327576e-17 7.598334e+02) (1.041532e+01 6.980830e-21 4.636657e-01)) ((7.218418e+02 -3.941018e+02 -4.395425e+01) (4.404824e-01 -8.464462e-02 -9.894555e+00))
0.045         	((3.393331e+01 -6.246993e-17 5.883013e+02) (1.043706e+01 6.346651e-21 4.505571e-01)) ((5.588862e+02 -3.013039e+02 -3.223665e+01) (4.280293e-01 -7.485043e-02 -9.915205e+00))
0.0457143     	((3.760377e+01 -5.423232e-17 7.802616e+02) (1.044936e+01 6.200791e-21 4.526712e-01)) ((7.412486e+02 -3.962242e+02 -3.572358e+01) (4.300376e-01 -8.356111e-02 -9.926890e+00))
0.0464286     	((4.611001e+01 -5.201436e-17 7.357444e+02) (1.046862e+01 6.260059e-21 4.369503e-01)) ((6.989572e+02 -3.763331e+02 -4.380451e+01) (4.151028e-01 -7.523572e-02 -9.945191e+00))
0.0471429     	((4.289316e+01 -5.355703e-17 7.536734e+02) (1.048629e+01 5.448847e-21 4.231544e-01)) ((7.159897e+02 -3.856326e+02 -4.074850e+01) (4.019967e-01 -6.891427e-02 -9.961972e+00))
0.0478571     	((2.728576e+01 -6.076491e-17 7.013688e+02) (1.049247e+01 1.438681e-21 4.138337e-01)) ((6.663004e+02 -3.598154e+02 -2.592147e+01) (3.931421e-01 -6.556630e-02 -9.967844e+00))
0.0485714     	((2.001794e+01 -6.488589e-17 7.471178e+02) (1.049234e+01 -1.226267e-21 3.928463e-01)) ((7.097619e+02 -3.862468e+02 -1.901704e+01) (3.732039e-01 -5.394653e-02 -9.967722e+00))
0.0492857     	((3.905105e+01 -5.473483e-17 7.695570e+02) (1.049890e+01 -3.628013e-21 3.744365e-01)) ((7.310792e+02 -3.941172e+02 -3.709850e+01) (3.557147e-01 -4.403468e-02 -9.973958e+00))
