# Force coefficients
# liftDir     : (9.781485e-01 2.079072e-01 0.000000e+00)
# dragDir     : (2.079072e-01 9.781485e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 8.500000e+00
# lRef        : 6.900000e-02
# Aref        : 8.280000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	9.784235e-03	2.807214e-03	1.320720e-02	1.638783e-02	-3.180635e-03
0.02          	1.614667e-01	4.632674e-02	2.179550e-01	2.704442e-01	-5.248920e-02
0.04          	1.208172e-01	3.466391e-02	1.630846e-01	2.023595e-01	-3.927497e-02
0.06          	2.442977e-02	7.009193e-03	3.297640e-02	4.091797e-02	-7.941568e-03
0.08          	4.328343e-02	1.241854e-02	5.842593e-02	7.249640e-02	-1.407047e-02
0.1           	8.505702e-03	2.440388e-03	1.148138e-02	1.424639e-02	-2.765012e-03
0.12          	3.399207e-03	9.752732e-04	4.588402e-03	5.693408e-03	-1.105006e-03
0.14          	1.764941e-03	5.063826e-04	2.382396e-03	2.956139e-03	-5.737425e-04
0.16          	2.053822e-03	5.892662e-04	2.772342e-03	3.439993e-03	-6.676514e-04
0.18          	-2.737243e-03	-7.853478e-04	-3.694854e-03	-4.584670e-03	8.898161e-04
0.2           	-3.174710e-03	-9.108624e-04	-4.285367e-03	-5.317394e-03	1.032027e-03
0.22          	-3.381319e-03	-9.701408e-04	-4.564256e-03	-5.663446e-03	1.099191e-03
0.24          	-1.693243e-03	-4.858118e-04	-2.285616e-03	-2.836051e-03	5.504353e-04
0.26          	-3.000285e-03	-8.608178e-04	-4.049920e-03	-5.025246e-03	9.753253e-04
0.28          	-2.118883e-03	-6.079330e-04	-2.860164e-03	-3.548965e-03	6.888013e-04
0.3           	-5.029896e-04	-1.443137e-04	-6.789580e-04	-8.424686e-04	1.635106e-04
0.32          	-7.936401e-03	-2.277049e-03	-1.071291e-02	-1.329286e-02	2.579945e-03
0.34          	-5.252032e-03	-1.506871e-03	-7.089430e-03	-8.796747e-03	1.707318e-03
0.36          	-9.438237e-03	-2.707943e-03	-1.274016e-02	-1.580832e-02	3.068159e-03
0.38          	-6.390100e-03	-1.833396e-03	-8.625644e-03	-1.070292e-02	2.077278e-03
0.4           	-1.066827e-02	-3.060855e-03	-1.440051e-02	-1.786853e-02	3.468015e-03
0.42          	-7.792692e-03	-2.235817e-03	-1.051893e-02	-1.305216e-02	2.533229e-03
0.44          	-8.003723e-03	-2.296364e-03	-1.080379e-02	-1.340562e-02	2.601830e-03
0.46          	-9.010931e-03	-2.585344e-03	-1.216336e-02	-1.509261e-02	2.929251e-03
0.48          	-8.904948e-03	-2.554936e-03	-1.202030e-02	-1.491510e-02	2.894798e-03
0.5           	-9.753845e-03	-2.798495e-03	-1.316618e-02	-1.633693e-02	3.170756e-03
0.52          	-1.270630e-02	-3.645590e-03	-1.715154e-02	-2.128207e-02	4.130533e-03
0.54          	-9.218063e-03	-2.644773e-03	-1.244296e-02	-1.543954e-02	2.996585e-03
0.56          	-9.907395e-03	-2.842550e-03	-1.337345e-02	-1.659412e-02	3.220671e-03
0.58          	-1.082261e-02	-3.105136e-03	-1.460884e-02	-1.812703e-02	3.518186e-03
0.6           	-1.019610e-02	-2.925383e-03	-1.376316e-02	-1.707768e-02	3.314523e-03
0.62          	-1.021666e-02	-2.931281e-03	-1.379090e-02	-1.711211e-02	3.321205e-03
0.64          	-1.022594e-02	-2.933945e-03	-1.380344e-02	-1.712766e-02	3.324224e-03
0.66          	-9.432930e-03	-2.706421e-03	-1.273299e-02	-1.579943e-02	3.066433e-03
0.68          	-1.046543e-02	-3.002657e-03	-1.412671e-02	-1.752878e-02	3.402076e-03
0.7           	-1.031162e-02	-2.958529e-03	-1.391910e-02	-1.727117e-02	3.352077e-03
0.72          	-1.002922e-02	-2.877505e-03	-1.353790e-02	-1.679817e-02	3.260275e-03
0.74          	-1.011524e-02	-2.902184e-03	-1.365401e-02	-1.694225e-02	3.288238e-03
0.76          	-1.072473e-02	-3.077052e-03	-1.447672e-02	-1.796309e-02	3.486367e-03
0.78          	-1.049964e-02	-3.012473e-03	-1.417289e-02	-1.758609e-02	3.413197e-03
0.8           	-1.123336e-02	-3.222985e-03	-1.516329e-02	-1.881501e-02	3.651712e-03
0.82          	-1.067756e-02	-3.063519e-03	-1.441305e-02	-1.788408e-02	3.471033e-03
0.84          	-1.059670e-02	-3.040320e-03	-1.430390e-02	-1.774865e-02	3.444749e-03
0.86          	-9.892376e-03	-2.838241e-03	-1.335317e-02	-1.656896e-02	3.215789e-03
0.88          	-1.091653e-02	-3.132082e-03	-1.473562e-02	-1.828433e-02	3.548717e-03
0.9           	-1.218948e-02	-3.497307e-03	-1.645391e-02	-2.041643e-02	3.962525e-03
0.92          	-1.194890e-02	-3.428282e-03	-1.612916e-02	-2.001348e-02	3.884318e-03
0.94          	-1.102776e-02	-3.163997e-03	-1.488577e-02	-1.847065e-02	3.584877e-03
0.96          	-1.084505e-02	-3.111574e-03	-1.463913e-02	-1.816461e-02	3.525481e-03
0.98          	-1.094722e-02	-3.140888e-03	-1.477705e-02	-1.833574e-02	3.558695e-03
1             	-1.192618e-02	-3.421764e-03	-1.609849e-02	-1.997543e-02	3.876932e-03
