# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.842171e-14 8.429467e-17 3.979039e-13) (5.131539e+00 -1.981657e-20 9.438166e-01)) ((1.065814e-14 -5.684342e-14 3.552714e-15) (-4.719083e-02 4.666340e+00 2.565770e-01))
1.19976e-05   	((8.584503e+04 -4.898558e-14 8.408824e+05) (5.170602e+00 -1.851214e-20 8.428293e-01)) ((-4.204412e+04 -2.313324e+05 4.292252e+03) (-4.214146e-02 4.746448e+00 2.585301e-01))
2.63878e-05   	((1.119826e+04 -1.053786e-14 1.415449e+05) (5.177106e+00 -2.690410e-20 8.079127e-01)) ((-7.077246e+03 -4.857778e+04 5.599131e+02) (-4.039564e-02 4.765113e+00 2.588553e-01))
4.36511e-05   	((5.933647e+03 -5.705965e-15 7.736829e+04) (5.190181e+00 -2.800574e-20 7.924247e-01)) ((-3.868414e+03 -2.616898e+04 2.966824e+02) (-3.962124e-02 4.784251e+00 2.595091e-01))
6.43527e-05   	((4.487777e+03 -3.780745e-15 5.413153e+04) (5.209706e+00 -2.849043e-20 7.832059e-01)) ((-2.706576e+03 -1.817908e+04 2.243888e+02) (-3.916030e-02 4.807595e+00 2.604853e-01))
8.91792e-05   	((2.908460e+03 -2.611820e-15 3.767915e+04) (5.233157e+00 -2.878353e-20 7.768312e-01)) ((-1.883957e+03 -1.282035e+04 1.454230e+02) (-3.884156e-02 4.833832e+00 2.616579e-01))
0.000118941   	((2.404313e+03 -1.888267e-15 2.791156e+04) (5.264692e+00 -1.804644e-20 7.796469e-01)) ((-1.395578e+03 -9.323002e+03 1.202156e+02) (-3.898234e-02 4.859315e+00 2.632346e-01))
0.000154634   	((1.846481e+03 -1.333893e-15 2.074326e+04) (5.303589e+00 -1.630511e-20 7.782856e-01)) ((-1.037163e+03 -6.783922e+03 9.232404e+01) (-3.891428e-02 4.897495e+00 2.651794e-01))
0.000197405   	((8.484486e+02 1.613509e-16 2.635945e+04) (5.345278e+00 -2.361126e-20 7.652956e-01)) ((-1.317973e+03 -1.325750e+04 4.242243e+01) (-3.826478e-02 4.951166e+00 2.672639e-01))
0.000248707   	((1.227066e+03 -6.109609e-16 1.360686e+04) (5.399583e+00 -2.480139e-20 7.621511e-01)) ((-6.803429e+02 -4.714698e+03 6.135329e+01) (-3.810756e-02 5.007732e+00 2.699791e-01))
0.000310237   	((1.383618e+03 -2.669641e-16 1.016457e+04) (5.473655e+00 -2.542474e-20 7.621761e-01)) ((-5.082286e+02 -3.194156e+03 6.918088e+01) (-3.810881e-02 5.083375e+00 2.736827e-01))
0.000383982   	((1.111386e+03 -3.512975e-16 8.828056e+03) (5.569515e+00 -2.541295e-20 7.611454e-01)) ((-4.414028e+02 -2.702324e+03 5.556929e+01) (-3.805727e-02 5.180636e+00 2.784758e-01))
0.000472342   	((1.057121e+03 -2.848598e-16 7.636436e+03) (5.697008e+00 -2.536952e-20 7.608661e-01)) ((-3.818218e+02 -2.244273e+03 5.285605e+01) (-3.804330e-02 5.309054e+00 2.848504e-01))
0.000577897   	((1.178252e+03 -1.353436e-16 6.577391e+03) (5.872731e+00 -2.573116e-20 7.587567e-01)) ((-3.288696e+02 -1.759504e+03 5.891258e+01) (-3.793784e-02 5.485495e+00 2.936365e-01))
0.000704014   	((1.267928e+03 -4.498322e-17 6.083285e+03) (6.113201e+00 -2.558667e-20 7.611965e-01)) ((-3.041642e+02 -1.550314e+03 6.339640e+01) (-3.805983e-02 5.724940e+00 3.056600e-01))
0.000854764   	((3.574952e+03 5.871250e-16 8.543131e+03) (6.508877e+00 -2.084536e-20 7.574727e-01)) ((-4.271566e+02 -1.089775e+03 1.787476e+02) (-3.787364e-02 6.118730e+00 3.254439e-01))
0.00103538    	((3.564754e+02 -2.136669e-16 4.023457e+03) (6.917439e+00 -1.808853e-20 7.743561e-01)) ((-2.011729e+02 -1.331978e+03 1.782377e+01) (-3.871781e-02 6.523774e+00 3.458720e-01))
0.00125089    	((2.932273e+02 -1.685671e-16 3.304678e+03) (7.383832e+00 -1.712543e-20 8.306298e-01)) ((-1.652339e+02 -1.108269e+03 1.466137e+01) (-4.153149e-02 6.980876e+00 3.691916e-01))
0.00150772    	((2.935700e+02 -1.325083e-16 2.671777e+03) (7.904838e+00 -1.771218e-20 8.600026e-01)) ((-1.335888e+02 -9.128062e+02 1.467850e+01) (-4.300013e-02 7.498576e+00 3.952419e-01))
0.00179222    	((5.016726e+02 9.938660e-17 2.035878e+03) (8.435220e+00 -1.732387e-20 8.922823e-01)) ((-1.017939e+02 -6.326768e+02 2.508363e+01) (-4.461412e-02 8.025895e+00 4.217610e-01))
0.00210615    	((4.164796e+02 2.244384e-16 1.644029e+03) (8.956707e+00 -8.207016e-21 9.237548e-01)) ((-8.220146e+01 -5.654530e+02 2.082398e+01) (-4.618774e-02 8.544566e+00 4.478353e-01))
0.00242007    	((1.881279e+02 -6.505401e-17 2.218791e+03) (9.417586e+00 -7.285123e-21 9.453231e-01)) ((-1.109396e+02 -8.135314e+02 9.406394e+00) (-4.726616e-02 9.004572e+00 4.708793e-01))
0.002734      	((1.554928e+02 -8.731103e-17 2.372503e+03) (9.829769e+00 -7.954919e-21 9.606326e-01)) ((-1.186252e+02 -9.581467e+02 7.774639e+00) (-4.803163e-02 9.416789e+00 4.914884e-01))
0.00304232    	((1.109582e+02 -3.749431e-16 5.368444e+03) (1.019843e+01 -9.491366e-21 1.002708e+00)) ((-2.684222e+02 -3.199676e+03 5.547912e+00) (-5.013538e-02 9.777718e+00 5.099217e-01))
0.00328809    	((1.846099e+02 -3.001369e-17 1.566330e+03) (1.045769e+01 -1.190973e-20 1.015928e+00)) ((-7.831651e+01 -4.886740e+02 9.230497e+00) (-5.079640e-02 1.003619e+01 5.228843e-01))
0.00353029    	((1.541367e+02 -3.405867e-17 1.538106e+03) (1.069233e+01 -1.248994e-20 1.024722e+00)) ((-7.690528e+01 -4.860104e+02 7.706835e+00) (-5.123608e-02 1.027073e+01 5.346165e-01))
0.00377611    	((1.385451e+02 -3.557280e-17 1.484375e+03) (1.091381e+01 -1.282322e-20 1.019563e+00)) ((-7.421875e+01 -4.845181e+02 6.927255e+00) (-5.097815e-02 1.049617e+01 5.456907e-01))
0.00403363    	((1.248962e+02 -3.562932e-17 1.437335e+03) (1.112449e+01 -1.237828e-20 1.022135e+00)) ((-7.186673e+01 -4.831877e+02 6.244808e+00) (-5.110673e-02 1.070892e+01 5.562245e-01))
0.00429973    	((1.066048e+02 -3.912881e-17 1.437030e+03) (1.132026e+01 -1.215813e-20 1.023645e+00)) ((-7.185152e+01 -5.132392e+02 5.330242e+00) (-5.118223e-02 1.090738e+01 5.660129e-01))
0.0045801     	((1.405862e+02 -7.475753e-17 8.615899e+02) (1.150074e+01 -1.065598e-20 1.042718e+00)) ((-4.307949e+01 -3.253681e+02 7.029310e+00) (-5.213591e-02 1.108547e+01 5.750368e-01))
0.00487663    	((1.090143e+02 -4.703791e-17 1.202994e+03) (1.166641e+01 -9.314010e-21 1.050212e+00)) ((-6.014970e+01 -4.383019e+02 5.450716e+00) (-5.251058e-02 1.125240e+01 5.833207e-01))
0.00518527    	((6.079055e+01 -8.942331e-17 1.954247e+03) (1.181816e+01 -9.067880e-21 1.055286e+00)) ((-9.771237e+01 -9.129015e+02 3.039527e+00) (-5.276429e-02 1.140672e+01 5.909078e-01))
0.00549391    	((7.340154e+01 -6.316659e-17 1.626831e+03) (1.195119e+01 -8.876844e-21 1.056741e+00)) ((-8.134153e+01 -7.012557e+02 3.670077e+00) (-5.283703e-02 1.154413e+01 5.975594e-01))
0.00580926    	((8.390428e+01 -4.240991e-17 1.350184e+03) (1.207059e+01 -8.436663e-21 1.055523e+00)) ((-6.750922e+01 -5.231932e+02 4.195214e+00) (-5.277615e-02 1.166911e+01 6.035293e-01))
0.00613178    	((8.703750e+01 -3.277811e-17 1.192573e+03) (1.217869e+01 -7.623550e-21 1.045878e+00)) ((-5.962867e+01 -4.274671e+02 4.351875e+00) (-5.229389e-02 1.178562e+01 6.089347e-01))
0.00647003    	((9.969475e+01 -3.496407e-17 9.216340e+02) (1.227591e+01 -6.973787e-21 1.051278e+00)) ((-4.608170e+01 -3.379918e+02 4.984737e+00) (-5.256389e-02 1.188644e+01 6.137957e-01))
