# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((1.136868e-13 6.764460e-14 3.410605e-13) (1.245201e+01 -4.300813e-18 9.320872e-01)) ((-2.248934e-14 1.136868e-13 2.716866e-14) (-2.300107e-18 1.199348e+01 8.994684e-17))
1.19976e-05   	((2.160898e+05 2.690647e-12 4.704173e+05) (1.264749e+01 -4.148603e-18 8.408335e-01)) ((-1.639877e-12 1.015259e+05 -2.126078e-12) (-8.205806e-18 1.220621e+01 9.619521e-17))
2.63878e-05   	((2.639825e+04 4.440172e-13 8.449392e+04) (1.273697e+01 -4.149732e-18 8.143513e-01)) ((-7.275467e-13 5.885696e+03 -2.927690e-13) (-9.463442e-18 1.230094e+01 9.753967e-17))
4.36511e-05   	((1.561344e+04 2.821674e-13 5.492320e+04) (1.286616e+01 -3.764698e-18 8.080604e-01)) ((-5.189822e-13 2.238577e+03 -1.750855e-13) (-1.005687e-17 1.242951e+01 9.884359e-17))
6.43527e-05   	((1.048735e+04 1.998564e-13 3.407169e+04) (1.303398e+01 -3.684533e-18 7.989899e-01)) ((-2.917572e-13 2.285522e+03 -1.065732e-13) (-1.021998e-17 1.259911e+01 1.000315e-16))
8.91792e-05   	((7.608995e+03 1.528192e-13 2.380135e+04) (1.324999e+01 -3.283486e-18 7.945254e-01)) ((-1.992152e-13 1.845787e+03 -7.132926e-14) (-1.060409e-17 1.281560e+01 1.015401e-16))
0.000118941   	((5.655065e+03 1.314513e-13 2.417381e+04) (1.353269e+01 -3.091630e-18 7.943525e-01)) ((-1.543424e-13 -1.542451e+03 -4.560453e-14) (-1.034713e-17 1.309629e+01 1.026265e-16))
0.000154634   	((4.600533e+03 1.156221e-13 1.197776e+04) (1.390255e+01 -2.746386e-18 7.979804e-01)) ((-9.377178e-14 1.467409e+03 -2.912822e-14) (-1.070408e-17 1.346242e+01 1.042827e-16))
0.000197405   	((3.467852e+03 8.729810e-14 1.014995e+04) (1.439472e+01 -2.382073e-18 8.025942e-01)) ((-8.143669e-14 8.593290e+02 -2.240914e-14) (-1.099831e-17 1.394935e+01 1.063380e-16))
0.000248707   	((2.906388e+03 7.879336e-14 1.235767e+04) (1.506591e+01 -1.988077e-18 8.075097e-01)) ((-1.828403e-14 -1.100877e+03 -1.320950e-14) (-1.236944e-17 1.461424e+01 1.091788e-16))
0.000310237   	((2.445038e+03 7.106576e-14 7.701783e+03) (1.599253e+01 -1.569649e-18 8.257324e-01)) ((-4.278713e-14 -3.599798e+01 -9.520430e-15) (-1.279458e-17 1.552715e+01 1.127849e-16))
0.000383982   	((2.021489e+03 6.377821e-14 6.659447e+03) (1.730080e+01 -1.533749e-18 8.610395e-01)) ((-3.270062e-14 -1.080648e+02 -5.684330e-15) (-1.368152e-17 1.681036e+01 1.186368e-16))
0.000472342   	((1.738804e+03 6.280912e-14 6.955906e+03) (1.901007e+01 -1.579070e-18 9.231631e-01)) ((1.836173e-14 -7.023072e+02 2.954058e-15) (-1.775956e-17 1.848405e+01 1.313562e-16))
0.000577897   	((1.581795e+03 6.823513e-14 4.781136e+03) (2.091760e+01 -1.438561e-18 9.999790e-01)) ((-4.380616e-14 -9.347720e+01 5.018683e-15) (-1.844975e-17 2.034762e+01 1.440122e-16))
0.000704014   	((1.448349e+03 6.398827e-14 3.760323e+03) (2.298683e+01 -1.361923e-18 1.082592e+00)) ((-3.728560e-14 1.248559e+02 5.831511e-15) (-1.991148e-17 2.236759e+01 1.596125e-16))
0.000854764   	((1.264823e+03 7.779908e-14 4.197551e+03) (2.514919e+01 -1.520370e-18 1.148933e+00)) ((-4.029095e-14 -3.101664e+02 1.944040e-14) (-2.735864e-17 2.449057e+01 1.877401e-16))
0.00103538    	((1.245436e+03 6.760689e-14 3.190940e+03) (2.732014e+01 -1.301323e-18 1.219227e+00)) ((-1.271694e-13 -7.998123e+01 3.900809e-15) (-1.528836e-17 2.663048e+01 2.054401e-16))
0.00125089    	((1.248657e+03 5.306791e-14 3.004358e+03) (2.941197e+01 3.468216e-20 1.230432e+00)) ((-2.554309e-14 -2.128378e+01 3.624970e-15) (-1.848803e-17 2.872400e+01 2.211079e-16))
0.00150772    	((3.570966e+03 9.986240e-14 6.615059e+02) (3.147796e+01 6.553642e-19 1.194987e+00)) ((5.417443e-15 2.103427e+03 7.583641e-15) (-2.207622e-17 3.081557e+01 2.478038e-16))
0.00181593    	((5.592878e+02 3.561871e-14 2.679858e+03) (3.293877e+01 -2.996679e-20 1.136482e+00)) ((-5.086748e-14 -4.330565e+02 -1.032404e-15) (-2.016471e-17 3.232913e+01 2.561323e-16))
0.00217248    	((5.340607e+02 2.941960e-14 1.724712e+03) (3.383012e+01 -1.462744e-18 1.101501e+00)) ((1.514914e-15 -1.899950e+02 1.207266e-15) (-2.078581e-17 3.327023e+01 2.570979e-16))
0.00257765    	((4.113398e+02 3.046627e-14 1.739445e+03) (3.423943e+01 -4.418068e-19 1.062177e+00)) ((-4.145744e-14 -2.397152e+02 4.223792e-16) (-1.725302e-17 3.371644e+01 2.673505e-16))
0.00303613    	((3.671183e+02 3.233616e-14 1.484394e+03) (3.429085e+01 -1.181179e-18 1.022556e+00)) ((-2.376918e-14 -1.632429e+02 4.154374e-15) (-8.341790e-18 3.379195e+01 2.694780e-16))
0.00353507    	((4.306212e+02 3.526417e-14 8.956766e+02) (3.389466e+01 -7.926189e-19 9.093978e-01)) ((-1.472329e-14 -1.813242e+00 5.638353e-15) (-1.144091e-17 3.348964e+01 2.818428e-16))
0.00401933    	((6.088385e+02 4.248067e-14 8.348060e+02) (3.354464e+01 -1.071529e-18 8.637735e-01)) ((-1.861975e-14 7.923289e+01 6.737441e-15) (-8.037814e-18 3.315087e+01 2.862513e-16))
0.00440911    	((3.261113e+02 3.550092e-14 1.470597e+03) (3.315557e+01 -2.921865e-19 8.266057e-01)) ((-1.858324e-14 -3.333809e+02 5.699997e-15) (-5.899641e-18 3.278375e+01 2.835142e-16))
0.00477168    	((3.227378e+02 3.701045e-14 8.392247e+02) (3.272919e+01 -2.756863e-19 8.071492e-01)) ((-1.255750e-14 -1.667035e+01 7.929177e-15) (-4.790035e-18 3.237354e+01 2.742669e-16))
0.00512583    	((2.742215e+02 3.053536e-14 1.439871e+03) (3.228047e+01 8.838212e-19 7.648090e-01)) ((-1.608734e-14 -3.891973e+02 2.779756e-15) (-2.213510e-18 3.195690e+01 2.554786e-16))
