# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 6.445847e-15 -6.821210e-13) (1.485505e+01 3.919056e-18 1.946937e+00)) ((-1.025239e-13 1.136868e-13 -3.521632e-15) (-4.482175e-18 1.392898e+01 1.060120e-17))
1.19976e-05   	((2.022111e+05 8.140199e-12 1.017941e+06) (1.505408e+01 3.631598e-18 1.715561e+00)) ((-2.648045e-11 -1.178041e+05 4.386248e-12) (2.883577e-18 1.418585e+01 7.917889e-18))
2.63878e-05   	((2.477546e+04 1.418837e-12 1.722108e+05) (1.504833e+01 3.655504e-18 1.629268e+00)) ((-4.218216e-12 -3.232434e+04 7.949265e-13) (4.624555e-18 1.420667e+01 7.214239e-18))
4.36511e-05   	((1.453166e+04 8.534696e-13 1.021360e+05) (1.505663e+01 3.525672e-18 1.571155e+00)) ((-2.554129e-12 -1.964540e+04 4.705423e-13) (5.392234e-18 1.423838e+01 6.707900e-18))
6.43527e-05   	((9.953395e+03 6.117513e-13 7.205982e+04) (1.506874e+01 3.419741e-18 1.520275e+00)) ((-1.821044e-12 -1.459520e+04 3.345511e-13) (5.746149e-18 1.427438e+01 6.254426e-18))
8.91792e-05   	((7.391874e+03 4.470138e-13 5.180507e+04) (1.508157e+01 3.198336e-18 1.469758e+00)) ((-1.348034e-12 -1.050952e+04 2.427793e-13) (6.072919e-18 1.431417e+01 5.493754e-18))
0.000118941   	((5.246106e+03 3.262638e-13 3.763110e+04) (1.509670e+01 2.965326e-18 1.407896e+00)) ((-9.913581e-13 -7.784344e+03 1.760936e-13) (5.798292e-18 1.436481e+01 4.449227e-18))
0.000154634   	((3.884359e+03 3.373134e-13 3.195936e+04) (1.511584e+01 2.611569e-18 1.327409e+00)) ((-8.334827e-13 -8.084779e+03 2.071800e-13) (5.087340e-18 1.443207e+01 3.135652e-18))
0.000197405   	((3.112684e+03 2.490579e-13 2.422270e+04) (1.513538e+01 1.858272e-18 1.241423e+00)) ((-6.602806e-13 -5.896412e+03 1.493755e-13) (5.363556e-18 1.450449e+01 1.431771e-18))
0.000247538   	((2.628974e+03 1.665471e-13 1.796348e+04) (1.517055e+01 1.413159e-18 1.157374e+00)) ((-5.217801e-13 -3.794444e+03 9.162954e-14) (6.104006e-18 1.458936e+01 -1.115977e-18))
