# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((-5.684342e-14 6.445847e-15 -5.684342e-13) (1.486022e+01 3.584944e-18 1.731296e+00)) ((-1.025239e-13 5.684342e-13 -3.521632e-15) (-4.054090e-18 1.403628e+01 1.042299e-17))
1.19976e-05   	((2.069057e+05 6.508514e-12 8.558776e+05) (1.505605e+01 2.661393e-18 1.531947e+00)) ((-2.344293e-11 -4.466699e+04 3.408788e-12) (3.876327e-18 1.427914e+01 6.516090e-18))
2.63878e-05   	((2.514238e+04 1.064143e-12 1.440486e+05) (1.504774e+01 2.309459e-18 1.455896e+00)) ((-3.596467e-12 -1.863366e+04 5.670577e-13) (5.778599e-18 1.429364e+01 5.324727e-18))
4.36511e-05   	((1.511526e+04 6.366319e-13 8.500839e+04) (1.505438e+01 1.893888e-18 1.408065e+00)) ((-2.203694e-12 -1.071970e+04 3.298871e-13) (7.656693e-18 1.431796e+01 4.336674e-18))
6.43527e-05   	((1.045963e+04 4.727572e-13 6.265761e+04) (1.506531e+01 1.626479e-18 1.369566e+00)) ((-1.662357e-12 -9.426875e+03 2.404731e-13) (9.681838e-18 1.434836e+01 3.373962e-18))
8.91792e-05   	((7.373989e+03 3.184438e-13 4.186626e+04) (1.508362e+01 1.371370e-18 1.320178e+00)) ((-1.122641e-12 -5.523024e+03 1.612563e-13) (1.042917e-17 1.439198e+01 6.367603e-19))
0.000118941   	((5.226919e+03 3.546223e-13 3.705170e+04) (1.510306e+01 1.285025e-18 1.263072e+00)) ((-6.942345e-13 -7.896184e+03 2.349412e-13) (4.384154e-18 1.444385e+01 1.424281e-18))
0.000154634   	((4.244512e+03 1.824317e-13 2.344036e+04) (1.513027e+01 9.870204e-19 1.205216e+00)) ((-6.461376e-13 -3.262843e+03 9.794838e-14) (2.197298e-18 1.450553e+01 4.015858e-18))
0.000197405   	((3.315803e+03 1.960836e-13 2.039863e+04) (1.516428e+01 7.185674e-19 1.130107e+00)) ((-6.398717e-13 -3.672110e+03 1.047523e-13) (1.410398e-18 1.458229e+01 7.688490e-18))
0.000248707   	((2.431460e+03 1.913444e-13 1.733015e+04) (1.521558e+01 3.481324e-19 1.053820e+00)) ((-6.076434e-13 -3.840560e+03 1.030119e-13) (3.046697e-18 1.467915e+01 1.213391e-17))
0.000310237   	((2.103824e+03 1.482902e-13 1.475078e+04) (1.530609e+01 9.559144e-19 9.853390e-01)) ((-4.813642e-13 -3.559924e+03 8.184515e-14) (1.570538e-18 1.481453e+01 1.496706e-17))
0.000383982   	((1.757980e+03 9.723638e-14 1.062869e+04) (1.544605e+01 9.358455e-19 9.314985e-01)) ((-3.383925e-13 -1.951177e+03 5.096291e-14) (6.875448e-19 1.498861e+01 1.945535e-17))
0.000471946   	((1.451215e+03 9.994649e-14 1.054044e+04) (1.565061e+01 7.220048e-19 8.995430e-01)) ((-3.488977e-13 -2.804564e+03 5.149317e-14) (1.867948e-18 1.522481e+01 1.932224e-17))
0.000574187   	((1.234809e+03 9.252245e-14 9.336235e+03) (1.591997e+01 9.626213e-19 8.870186e-01)) ((-2.601837e-13 -2.557383e+03 5.523390e-14) (2.153467e-19 1.551945e+01 1.745916e-17))
0.00069121    	((1.116729e+03 9.001529e-14 7.323161e+03) (1.624584e+01 7.278530e-19 9.051814e-01)) ((-2.489815e-13 -1.814546e+03 5.595269e-14) (6.985857e-19 1.585802e+01 1.159001e-17))
0.000822562   	((1.038278e+03 7.067130e-14 6.195668e+03) (1.662260e+01 3.910645e-19 9.417951e-01)) ((-2.157521e-13 -1.345234e+03 4.233711e-14) (2.035068e-18 1.623483e+01 4.143729e-18))
0.000968955   	((9.183719e+02 9.668754e-14 6.186690e+03) (1.699802e+01 -2.973740e-19 9.736248e-01)) ((-2.201764e-13 -1.751218e+03 6.714694e-14) (4.076390e-19 1.662209e+01 6.129656e-18))
0.00112624    	((9.146333e+02 4.978097e-14 4.663528e+03) (1.737996e+01 -8.672893e-19 1.022159e+00)) ((-1.837128e-13 -8.282885e+02 2.717238e-14) (-3.624777e-18 1.699353e+01 1.433442e-17))
0.00127603    	((8.915964e+02 7.721715e-14 5.480464e+03) (1.770509e+01 -3.665291e-19 1.043098e+00)) ((-2.526314e-13 -1.591466e+03 4.451677e-14) (-2.444762e-18 1.733065e+01 2.572938e-17))
0.00141472    	((9.971411e+02 4.862740e-14 4.362603e+03) (1.801559e+01 -2.130668e-18 1.072997e+00)) ((-1.876268e-13 -7.216106e+02 2.623072e-14) (-2.613185e-18 1.763275e+01 3.207276e-17))
0.00154748    	((9.560793e+02 7.080883e-14 5.538455e+03) (1.827063e+01 -2.361087e-19 1.078897e+00)) ((-2.592326e-13 -1.755046e+03 3.763289e-14) (-3.129252e-18 1.790318e+01 3.913581e-17))
0.00168119    	((1.053441e+03 4.730964e-14 4.062687e+03) (1.852813e+01 -6.200993e-19 1.090039e+00)) ((-1.894787e-13 -6.280806e+02 2.533819e-14) (-3.544949e-18 1.816268e+01 4.503346e-17))
0.0018179     	((1.151823e+03 4.740655e-14 3.715558e+03) (1.877518e+01 -1.553698e-18 1.116931e+00)) ((-1.989076e-13 -5.377160e+02 2.578496e-14) (-5.120813e-18 1.839860e+01 5.726809e-17))
0.0019546     	((1.278004e+03 6.214921e-14 5.300104e+03) (1.901236e+01 -2.481138e-19 1.099257e+00)) ((-2.619913e-13 -1.538720e+03 3.053577e-14) (-7.903164e-18 1.865940e+01 7.642415e-17))
0.00209131    	((2.093989e+03 6.192477e-14 3.976442e+03) (1.929727e+01 -1.191156e-19 1.084095e+00)) ((-2.769061e-13 -1.414940e+02 3.369560e-14) (-1.078025e-17 1.894979e+01 9.292339e-17))
0.00223014    	((4.665661e+03 1.003370e-13 4.245918e+03) (1.971786e+01 -7.955355e-19 1.066901e+00)) ((-4.934481e-13 1.022940e+03 5.720235e-14) (-1.540884e-17 1.936555e+01 9.542779e-17))
0.00237117    	((1.786690e+02 2.303506e-14 5.191872e+03) (1.995563e+01 -1.534479e-19 1.049447e+00)) ((-2.064221e-13 -2.311029e+03 -8.026641e-15) (-1.010857e-17 1.962567e+01 8.419319e-17))
0.00251449    	((2.779078e+02 2.932872e-14 3.056789e+03) (2.016158e+01 -4.690976e-19 1.077895e+00)) ((-1.319733e-13 -9.086576e+02 1.287947e-14) (-3.141553e-18 1.982825e+01 6.964859e-17))
0.00265551    	((2.768897e+02 2.908303e-14 2.824530e+03) (2.039580e+01 -7.097638e-19 1.106118e+00)) ((-1.195489e-13 -8.069652e+02 1.419388e-14) (1.455853e-18 2.005522e+01 5.323558e-17))
0.00279885    	((2.846166e+02 3.044049e-14 2.104637e+03) (2.066662e+01 -9.978845e-19 1.158972e+00)) ((-1.132247e-13 -6.966313e+02 1.456905e-14) (4.937842e-18 2.030838e+01 2.929031e-17))
0.00293757    	((9.017352e+01 1.539807e-14 4.957556e+03) (2.094722e+01 -3.746133e-19 1.153881e+00)) ((-8.543286e-14 -2.459800e+03 8.196381e-17) (-3.425579e-18 2.061713e+01 1.290204e-17))
0.00307298    	((2.202505e+02 3.411405e-14 3.123034e+03) (2.131925e+01 4.207092e-19 1.189624e+00)) ((-1.382555e-13 -1.079779e+03 1.746477e-14) (-1.965267e-18 2.097564e+01 5.430560e-18))
0.00320627    	((2.021893e+02 3.579153e-14 3.303366e+03) (2.190304e+01 1.021262e-18 1.203211e+00)) ((-1.314235e-13 -1.204821e+03 1.873781e-14) (-2.780400e-18 2.154592e+01 -3.128400e-18))
0.00333645    	((1.843518e+02 3.393303e-14 3.112410e+03) (2.256408e+01 1.555612e-18 1.225952e+00)) ((-1.297846e-13 -1.160472e+03 1.723259e-14) (-3.373992e-18 2.218686e+01 -9.669238e-18))
0.00346365    	((-4.780970e+01 2.741255e-14 5.849901e+03) (2.329283e+01 1.253358e-18 1.227756e+00)) ((-1.494032e-13 -3.483285e+03 2.096616e-15) (-1.979370e-18 2.291367e+01 -7.189446e-18))
0.00358348    	((1.772295e+02 3.455649e-14 3.350369e+03) (2.434318e+01 2.044380e-18 1.269708e+00)) ((-1.245716e-13 -1.346737e+03 1.721804e-14) (-2.016617e-18 2.389419e+01 4.402550e-18))
0.00370785    	((1.161550e+02 4.552773e-14 4.466664e+03) (2.554212e+01 2.557076e-18 1.332111e+00)) ((-1.505908e-13 -2.084684e+03 2.288272e-14) (-1.476436e-18 2.499419e+01 1.928309e-17))
0.00382677    	((2.257179e+02 2.396891e-14 1.043770e+03) (2.684378e+01 1.821586e-18 1.409013e+00)) ((-1.250135e-13 -2.226517e+02 9.005240e-15) (1.698218e-18 2.619280e+01 4.186243e-17))
0.00393987    	((-1.934880e+02 1.069488e-14 5.515893e+03) (2.788149e+01 8.698880e-19 1.396530e+00)) ((-1.207868e-13 -3.930190e+03 -8.790372e-15) (3.518073e-18 2.720873e+01 5.826495e-17))
0.0040301     	((2.529285e+02 1.131970e-14 5.214602e+02) (2.856298e+01 1.026385e-18 1.410941e+00)) ((-8.566841e-14 5.509970e+01 4.372654e-15) (4.134279e-18 2.784878e+01 6.730384e-17))
0.00411642    	((2.104025e+02 1.294816e-14 1.384855e+03) (2.906714e+01 1.175239e-18 1.418825e+00)) ((-7.810059e-14 -2.175939e+02 5.321338e-15) (5.018837e-18 2.832341e+01 7.507868e-17))
0.00420823    	((2.062100e+02 1.604542e-14 1.564348e+03) (2.947061e+01 1.161189e-18 1.430813e+00)) ((-8.367578e-14 -3.447584e+02 7.287814e-15) (5.300643e-18 2.869980e+01 8.108767e-17))
0.00430058    	((2.156584e+02 1.933219e-14 1.379874e+03) (2.981140e+01 8.141737e-19 1.451870e+00)) ((-7.262073e-14 -3.155240e+02 8.520777e-15) (4.532487e-18 2.901796e+01 8.694245e-17))
0.00438499    	((1.681170e+02 2.232619e-14 1.838985e+03) (3.002356e+01 6.606010e-19 1.453550e+00)) ((-9.241928e-14 -6.354186e+02 1.158841e-14) (4.120998e-18 2.921760e+01 8.894510e-17))
0.00446506    	((1.676923e+02 2.704856e-14 1.714630e+03) (3.017170e+01 7.212489e-19 1.458387e+00)) ((-9.674451e-14 -5.558372e+02 1.598427e-14) (3.671189e-18 2.935151e+01 9.070529e-17))
0.00454859    	((8.389014e+01 3.214577e-14 2.612578e+03) (3.027130e+01 5.088030e-19 1.461841e+00)) ((-1.152351e-13 -1.313257e+03 1.812975e-14) (5.698524e-18 2.943891e+01 9.314272e-17))
0.00463491    	((2.044518e+00 1.588361e-14 4.138457e+03) (3.033655e+01 5.812859e-19 1.453358e+00)) ((-1.025576e-13 -2.415706e+03 -3.652350e-16) (4.020939e-18 2.950050e+01 9.311756e-17))
0.00471841    	((-9.805293e+01 1.906209e-14 4.973976e+03) (3.036381e+01 6.713667e-19 1.443122e+00)) ((-1.564964e-13 -3.228969e+03 -5.976063e-15) (4.172231e-18 2.953371e+01 9.277611e-17))
0.00479927    	((1.426488e+02 1.959379e-14 2.314245e+03) (3.037026e+01 7.272257e-19 1.432434e+00)) ((-9.504006e-14 -9.767987e+02 7.923117e-15) (4.120582e-18 2.954410e+01 9.310130e-17))
0.00488325    	((1.818632e+02 2.123153e-14 2.452953e+03) (3.034889e+01 7.459067e-19 1.421174e+00)) ((-9.902887e-14 -1.016678e+03 8.739180e-15) (4.037558e-18 2.952788e+01 9.366291e-17))
0.00496677    	((9.937716e+01 2.044979e-14 2.452218e+03) (3.029303e+01 7.311996e-19 1.419966e+00)) ((-9.574203e-14 -1.113473e+03 8.290267e-15) (3.608443e-18 2.947392e+01 9.350339e-17))
0.00505122    	((8.879200e+01 2.269605e-14 2.024854e+03) (3.025121e+01 5.576948e-19 1.432693e+00)) ((-1.054483e-13 -1.214774e+03 9.071978e-15) (3.407623e-18 2.943262e+01 9.052929e-17))
0.00513568    	((-1.220681e+02 4.858029e-14 6.525309e+03) (3.026508e+01 5.198289e-19 1.426414e+00)) ((-1.697677e-13 -3.831986e+03 1.995951e-14) (3.446327e-18 2.945721e+01 8.891548e-17))
0.0052156     	((1.682725e+02 1.466867e-14 1.562391e+03) (3.035188e+01 4.016001e-19 1.414585e+00)) ((-8.083557e-14 -4.579645e+02 6.115160e-15) (3.826849e-18 2.956192e+01 8.829455e-17))
0.00529819    	((1.365939e+02 1.487077e-14 1.798725e+03) (3.047435e+01 4.426865e-19 1.409884e+00)) ((-8.477268e-14 -7.009965e+02 5.597711e-15) (4.104962e-18 2.970524e+01 8.728750e-17))
0.00538125    	((1.387359e+02 1.473018e-14 1.695892e+03) (3.062253e+01 3.581196e-19 1.404914e+00)) ((-8.540063e-14 -6.554721e+02 5.771336e-15) (4.773623e-18 2.987576e+01 8.436841e-17))
0.00546431    	((1.399947e+02 1.569562e-14 1.776555e+03) (3.076974e+01 2.452879e-19 1.406168e+00)) ((-8.519616e-14 -6.769324e+02 6.250037e-15) (5.734646e-18 3.004367e+01 8.132167e-17))
0.00554882    	((1.325724e+02 1.675488e-14 1.888554e+03) (3.090584e+01 8.246020e-21 1.393832e+00)) ((-8.770005e-14 -7.539414e+02 6.628512e-15) (6.042741e-18 3.020634e+01 7.760736e-17))
0.00563484    	((1.096718e+02 1.795751e-14 2.135631e+03) (3.107461e+01 -2.802916e-19 1.318845e+00)) ((-8.999320e-14 -9.309502e+02 7.168127e-15) (5.366232e-18 3.042924e+01 7.270628e-17))
0.0057219     	((3.654233e+01 2.677356e-14 3.418489e+03) (3.125318e+01 -5.069024e-19 1.182835e+00)) ((-1.129322e-13 -1.812542e+03 1.066358e-14) (2.922685e-18 3.068697e+01 6.654024e-17))
0.00580639    	((1.241285e+02 1.754813e-14 1.957264e+03) (3.142004e+01 -5.393116e-19 1.005449e+00)) ((-8.836339e-14 -8.220075e+02 6.963639e-15) (-3.397166e-18 3.094852e+01 5.940988e-17))
0.00589087    	((1.347336e+02 1.668868e-14 1.894373e+03) (3.158221e+01 -1.084192e-19 7.873727e-01)) ((-8.697399e-14 -7.608539e+02 6.642882e-15) (-1.186228e-17 3.122211e+01 5.193606e-17))
0.00597638    	((1.731433e+02 2.206504e-14 9.917715e+02) (3.178853e+01 3.854019e-19 5.467262e-01)) ((-1.063564e-13 -4.770272e+02 8.411993e-15) (-2.050086e-17 3.155304e+01 4.670363e-17))
0.00606295    	((1.238973e+02 1.654316e-14 1.805910e+03) (3.199670e+01 4.351640e-19 2.405725e-01)) ((-8.658776e-14 -7.413941e+02 6.532831e-15) (-3.047088e-17 3.191254e+01 3.738157e-17))
0.00614742    	((1.446664e+02 1.658688e-14 1.844130e+03) (3.225259e+01 4.663777e-19 -1.335082e-01)) ((-8.630092e-14 -7.203313e+02 6.695630e-15) (-4.240295e-17 3.234939e+01 2.610768e-17))
0.00622843    	((1.372877e+02 1.600682e-14 1.749451e+03) (3.255541e+01 6.395007e-19 -5.766565e-01)) ((-8.463728e-14 -6.800322e+02 6.451581e-15) (-5.646452e-17 3.286279e+01 1.312224e-17))
0.00630451    	((1.730535e+02 1.497660e-14 1.473996e+03) (3.287461e+01 1.520374e-18 -1.063449e+00)) ((-8.958540e-14 -6.000707e+02 5.633778e-15) (-7.214884e-17 3.341488e+01 1.495909e-18))
0.00638751    	((2.543429e+02 1.791191e-14 1.697312e+03) (3.323182e+01 3.858280e-18 -1.663135e+00)) ((-9.610884e-14 -6.255545e+02 7.218157e-15) (-9.190731e-17 3.405412e+01 -1.041465e-17))
0.00646712    	((1.492481e+02 1.598352e-14 1.730914e+03) (3.358300e+01 7.937452e-18 -2.306268e+00)) ((-8.477353e-14 -6.650703e+02 6.421734e-15) (-1.131705e-16 3.470316e+01 -1.976206e-17))
0.00654401    	((3.154424e+02 1.867180e-14 1.613914e+03) (3.390756e+01 1.176881e-17 -2.958039e+00)) ((-1.008384e-13 -5.647854e+02 7.813713e-15) (-1.339879e-16 3.532936e+01 -2.647751e-17))
0.00662918    	((1.736469e+02 1.532519e-14 1.494693e+03) (3.423615e+01 1.550357e-17 -3.702743e+00)) ((-8.722370e-14 -5.722250e+02 5.891246e-15) (-1.553549e-16 3.599539e+01 -3.352795e-17))
0.00671327    	((9.551855e+02 1.676818e-14 -1.113686e+03) (3.451058e+01 1.922174e-17 -4.414226e+00)) ((-1.724939e-13 3.395897e+02 4.245009e-15) (-1.710750e-16 3.659841e+01 -3.775686e-17))
0.00679899    	((1.559479e+02 1.703042e-14 1.873236e+03) (3.473273e+01 2.210040e-17 -5.141015e+00)) ((-8.569579e-14 -6.852095e+02 7.108882e-15) (-1.855566e-16 3.715283e+01 -3.810363e-17))
0.006887      	((1.181549e+02 1.499780e-14 1.637707e+03) (3.490381e+01 2.405787e-17 -5.867893e+00)) ((-7.977532e-14 -6.207130e+02 5.960616e-15) (-1.966624e-16 3.765497e+01 -3.659192e-17))
0.00698       	((1.831946e+02 1.996572e-14 2.134075e+03) (3.504195e+01 2.609321e-17 -6.600014e+00)) ((-9.436655e-14 -7.521773e+02 8.881953e-15) (-2.056276e-16 3.812599e+01 -3.324459e-17))
0.00707434    	((1.397010e+02 2.040176e-14 1.446961e+03) (3.514718e+01 2.825659e-17 -7.305731e+00)) ((-8.482240e-14 -5.501623e+02 7.906825e-15) (-2.125657e-16 3.855275e+01 -2.946199e-17))
0.00717009    	((1.465861e+02 2.426542e-14 1.174518e+03) (3.521488e+01 3.121183e-17 -7.961477e+00)) ((-8.556856e-14 -4.638433e+02 9.122132e-15) (-2.197074e-16 3.892231e+01 -2.638142e-17))
0.00726656    	((2.798342e+02 2.553153e-14 2.246119e+03) (3.526175e+01 3.328447e-17 -8.602228e+00)) ((-1.111230e-13 -7.529581e+02 1.153596e-14) (-2.241648e-16 3.926287e+01 -2.352281e-17))
0.0073623     	((8.698993e+02 5.190120e-14 3.250665e+03) (3.540184e+01 3.478313e-17 -9.212283e+00)) ((-2.212186e-13 -1.006054e+03 2.563304e-14) (-2.272154e-16 3.968432e+01 -2.042697e-17))
0.00745732    	((1.567616e+03 3.257292e-14 8.139837e+02) (3.541661e+01 3.559250e-17 -9.745533e+00)) ((-1.761281e-13 2.159604e+02 1.366031e-14) (-2.296266e-16 3.995768e+01 -1.678334e-17))
