# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.842171e-14 8.429467e-17 3.979039e-13) (5.148123e+00 -1.631347e-20 7.729532e-01)) ((1.065814e-14 -5.684342e-14 3.552714e-15) (-3.864766e-02 4.767141e+00 2.574061e-01))
1.19976e-05   	((9.339941e+04 -2.567913e-14 6.122316e+05) (5.188382e+00 -1.745657e-20 7.021893e-01)) ((-3.061158e+04 -1.123401e+05 4.669970e+03) (-3.510946e-02 4.832000e+00 2.594191e-01))
2.63878e-05   	((1.351344e+04 -6.200171e-15 1.053159e+05) (5.198727e+00 -2.027209e-20 6.794655e-01)) ((-5.265795e+03 -2.579819e+04 6.756721e+02) (-3.397327e-02 4.847930e+00 2.599364e-01))
4.36511e-05   	((7.474855e+03 -3.609909e-15 5.960685e+04) (5.216051e+00 -2.371461e-20 6.700840e-01)) ((-2.980343e+03 -1.476810e+04 3.737427e+02) (-3.350420e-02 4.867907e+00 2.608026e-01))
6.43527e-05   	((5.300575e+03 -2.262741e-15 4.047102e+04) (5.240260e+00 -2.343930e-20 6.650039e-01)) ((-2.023551e+03 -9.767848e+03 2.650288e+02) (-3.325020e-02 4.893584e+00 2.620130e-01))
8.91792e-05   	((3.762427e+03 -1.541751e-15 2.872613e+04) (5.269834e+00 -2.278990e-20 6.618969e-01)) ((-1.436307e+03 -7.071463e+03 1.881213e+02) (-3.309484e-02 4.924012e+00 2.634917e-01))
0.000118941   	((2.871460e+03 -1.139141e-15 2.140179e+04) (5.306593e+00 -2.212913e-20 6.588409e-01)) ((-1.070090e+03 -5.226432e+03 1.435730e+02) (-3.294205e-02 4.961490e+00 2.653297e-01))
0.000154634   	((2.375889e+03 -7.470133e-16 1.608143e+04) (5.351673e+00 -2.143497e-20 6.569036e-01)) ((-8.040714e+02 -3.785473e+03 1.187944e+02) (-3.284518e-02 5.006921e+00 2.675837e-01))
0.000197405   	((1.620292e+03 -1.026950e-15 1.450899e+04) (5.406234e+00 -2.339451e-20 6.524057e-01)) ((-7.254497e+02 -4.653000e+03 8.101459e+01) (-3.262028e-02 5.064617e+00 2.703117e-01))
0.000248707   	((1.560322e+03 -6.800112e-16 1.145226e+04) (5.474851e+00 -2.443279e-20 6.500950e-01)) ((-5.726130e+02 -3.206601e+03 7.801610e+01) (-3.250475e-02 5.135050e+00 2.737425e-01))
