# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 6.445847e-15 -6.821210e-13) (1.482143e+01 4.350376e-18 2.222610e+00)) ((-1.025239e-13 1.136868e-13 -3.521632e-15) (-5.022278e-18 1.376367e+01 1.086791e-17))
1.19976e-05   	((1.939887e+05 1.097661e-11 1.254607e+06) (1.502270e+01 3.247410e-18 1.946290e+00)) ((-3.140066e-11 -2.321833e+05 6.229308e-12) (3.118309e-18 1.404267e+01 8.734819e-18))
2.63878e-05   	((2.370934e+04 1.971729e-12 2.091884e+05) (1.501947e+01 2.911019e-18 1.844294e+00)) ((-5.134284e-12 -5.182301e+04 1.175417e-12) (5.176777e-18 1.407230e+01 8.522660e-18))
4.36511e-05   	((1.389994e+04 1.184659e-12 1.240134e+05) (1.502936e+01 2.561535e-18 1.782337e+00)) ((-3.108769e-12 -3.125512e+04 6.973614e-13) (5.951819e-18 1.410569e+01 8.250068e-18))
6.43527e-05   	((9.556534e+03 8.364220e-13 8.611388e+04) (1.504450e+01 2.183754e-18 1.722460e+00)) ((-2.198604e-12 -2.226066e+04 4.891559e-13) (6.302188e-18 1.414811e+01 7.985156e-18))
8.91792e-05   	((6.832029e+03 6.068975e-13 6.188042e+04) (1.506618e+01 1.890531e-18 1.661731e+00)) ((-1.606967e-12 -1.630210e+04 3.524549e-13) (6.256780e-18 1.420179e+01 8.166429e-18))
0.000118941   	((4.862576e+03 4.837513e-13 5.016126e+04) (1.508832e+01 2.103048e-18 1.582673e+00)) ((-1.373653e-12 -1.563966e+04 2.645120e-13) (5.818421e-18 1.427239e+01 1.010581e-17))
0.000154634   	((3.849351e+03 3.563803e-13 3.588444e+04) (1.510933e+01 1.828831e-18 1.495716e+00)) ((-9.690401e-13 -1.005165e+04 2.034846e-13) (5.372298e-18 1.434469e+01 1.057331e-17))
0.000197405   	((3.122150e+03 2.719607e-13 2.715184e+04) (1.513133e+01 1.420493e-18 1.402424e+00)) ((-7.588535e-13 -7.466312e+03 1.552942e-13) (4.710036e-18 1.442527e+01 1.090533e-17))
0.000247411   	((2.560742e+03 2.205900e-13 2.200134e+04) (1.516561e+01 9.544080e-19 1.300357e+00)) ((-6.181547e-13 -5.939922e+03 1.253156e-13) (2.899329e-18 1.452130e+01 1.299066e-17))
0.000304499   	((2.140618e+03 1.831888e-13 1.828278e+04) (1.522658e+01 6.344717e-19 1.215629e+00)) ((-5.213150e-13 -4.909891e+03 1.035137e-13) (-1.269754e-18 1.463368e+01 1.822781e-17))
