# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 6.445847e-15 -6.821210e-13) (1.483116e+01 4.350262e-18 2.223956e+00)) ((-1.025239e-13 1.136868e-13 -3.521632e-15) (-5.027358e-18 1.377333e+01 1.085087e-17))
1.19976e-05   	((1.939659e+05 1.097941e-11 1.255230e+06) (1.503372e+01 3.890021e-18 1.946693e+00)) ((-3.141730e-11 -2.323854e+05 6.227520e-12) (2.512230e-18 1.405365e+01 8.756873e-18))
2.63878e-05   	((2.360809e+04 1.993430e-12 2.108039e+05) (1.503048e+01 3.890536e-18 1.844683e+00)) ((-5.166855e-12 -5.269486e+04 1.190291e-12) (4.250395e-18 1.408324e+01 8.585764e-18))
4.36511e-05   	((1.384897e+04 1.172839e-12 1.230359e+05) (1.504010e+01 3.597293e-18 1.782807e+00)) ((-3.085579e-12 -3.083803e+04 6.897923e-13) (4.973603e-18 1.411624e+01 8.307912e-18))
6.43527e-05   	((9.663909e+03 8.446473e-13 8.678346e+04) (1.505582e+01 3.258590e-18 1.722939e+00)) ((-2.216571e-12 -2.245271e+04 4.943970e-13) (5.289506e-18 1.415925e+01 8.063221e-18))
8.91792e-05   	((6.752015e+03 6.066790e-13 6.202539e+04) (1.507708e+01 2.963347e-18 1.661858e+00)) ((-1.608500e-12 -1.643439e+04 3.516793e-13) (5.251320e-18 1.421271e+01 8.252311e-18))
0.000118941   	((4.757098e+03 4.800430e-13 4.976876e+04) (1.509849e+01 3.134992e-18 1.583210e+00)) ((-1.362426e-12 -1.558854e+04 2.622278e-13) (4.851836e-18 1.428246e+01 1.018185e-17))
0.000154634   	((3.849685e+03 3.573064e-13 3.600249e+04) (1.511950e+01 2.856452e-18 1.496216e+00)) ((-9.715031e-13 -1.008397e+04 2.039927e-13) (4.409485e-18 1.435478e+01 1.064951e-17))
0.000197405   	((3.062255e+03 2.690503e-13 2.690075e+04) (1.514091e+01 2.399120e-18 1.402530e+00)) ((-7.504229e-13 -7.401718e+03 1.534373e-13) (3.795719e-18 1.443480e+01 1.096206e-17))
0.000247411   	((2.635163e+03 2.237193e-13 2.233659e+04) (1.518112e+01 1.871699e-18 1.301573e+00)) ((-6.267879e-13 -5.986436e+03 1.273068e-13) (1.686735e-18 1.453510e+01 1.448933e-17))
0.000304499   	((2.112301e+03 1.821831e-13 1.823625e+04) (1.524182e+01 1.452223e-18 1.216731e+00)) ((-5.179023e-13 -4.904167e+03 1.029172e-13) (-2.381085e-18 1.464708e+01 1.987115e-17))
0.000368864   	((1.650773e+03 1.200806e-13 1.859676e+04) (1.532925e+01 1.749699e-18 1.128494e+00)) ((-6.163101e-13 -6.701358e+03 2.223598e-14) (-7.916977e-19 1.479938e+01 1.986487e-17))
0.00044025    	((1.538872e+03 1.233195e-13 1.359839e+04) (1.544349e+01 1.781512e-18 1.066938e+00)) ((-4.179077e-13 -3.909631e+03 5.986065e-14) (-2.322227e-18 1.496077e+01 2.070350e-17))
