# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 6.445847e-15 -6.821210e-13) (1.483815e+01 4.350120e-18 2.224915e+00)) ((-1.025239e-13 1.136868e-13 -3.521632e-15) (-5.031068e-18 1.378027e+01 1.083862e-17))
1.19976e-05   	((1.938662e+05 1.096295e-11 1.254426e+06) (1.504147e+01 3.587817e-18 1.946978e+00)) ((-3.138692e-11 -2.319405e+05 6.215353e-12) (2.832186e-18 1.406138e+01 8.714929e-18))
2.63878e-05   	((2.360569e+04 1.999019e-12 2.111336e+05) (1.503827e+01 3.316820e-18 1.844779e+00)) ((-5.177775e-12 -5.286017e+04 1.193565e-12) (4.831554e-18 1.409104e+01 8.520955e-18))
4.36511e-05   	((1.384765e+04 1.179440e-12 1.236415e+05) (1.504796e+01 2.975388e-18 1.782687e+00)) ((-3.099259e-12 -3.109236e+04 6.937086e-13) (5.612153e-18 1.412435e+01 8.256081e-18))
6.43527e-05   	((9.492007e+03 8.386806e-13 8.632775e+04) (1.506262e+01 2.595798e-18 1.723016e+00)) ((-2.201821e-12 -2.241214e+04 4.902200e-13) (5.960112e-18 1.416621e+01 7.982832e-18))
8.91792e-05   	((6.806446e+03 6.068079e-13 6.197271e+04) (1.508416e+01 2.273379e-18 1.662052e+00)) ((-1.605866e-12 -1.629357e+04 3.524999e-13) (5.937202e-18 1.421970e+01 8.120152e-18))
0.000118941   	((4.742576e+03 4.810137e-13 4.992422e+04) (1.510549e+01 2.428581e-18 1.583619e+00)) ((-1.365568e-12 -1.566707e+04 2.625672e-13) (5.556923e-18 1.428945e+01 1.006953e-17))
0.000154634   	((3.884609e+03 3.574652e-13 3.604762e+04) (1.512665e+01 2.186392e-18 1.496531e+00)) ((-9.727756e-13 -1.005034e+04 2.040543e-13) (5.078969e-18 1.436193e+01 1.053598e-17))
0.000197405   	((3.129677e+03 2.733302e-13 2.729086e+04) (1.514874e+01 1.679792e-18 1.402351e+00)) ((-7.613051e-13 -7.508707e+03 1.559868e-13) (4.537353e-18 1.444273e+01 1.087177e-17))
0.000247411   	((2.559759e+03 2.222405e-13 2.222967e+04) (1.518077e+01 1.224719e-18 1.298917e+00)) ((-6.218432e-13 -6.012338e+03 1.264447e-13) (2.837568e-18 1.453676e+01 1.286107e-17))
0.000304499   	((2.094598e+03 1.816429e-13 1.812425e+04) (1.523918e+01 9.038992e-19 1.213602e+00)) ((-5.166877e-13 -4.895441e+03 1.025088e-13) (-1.404338e-18 1.464635e+01 1.815907e-17))
0.000368864   	((1.691890e+03 1.236789e-13 1.855623e+04) (1.532419e+01 1.167430e-18 1.127477e+00)) ((-6.119722e-13 -6.602469e+03 2.675798e-14) (-3.060996e-19 1.479400e+01 1.798065e-17))
0.00044025    	((1.521397e+03 1.208885e-13 1.375991e+04) (1.543427e+01 1.277358e-18 1.064002e+00)) ((-4.247285e-13 -4.028051e+03 5.612215e-14) (-1.629598e-18 1.495240e+01 1.832700e-17))
0.000511118   	((1.534678e+03 1.123679e-13 1.188058e+04) (1.557261e+01 1.358949e-18 1.040968e+00)) ((-3.917132e-13 -3.187445e+03 5.703562e-14) (-1.359388e-18 1.512427e+01 1.822610e-17))
0.000579984   	((1.386089e+03 1.073620e-13 1.121282e+04) (1.574563e+01 1.237326e-18 1.038420e+00)) ((-3.527655e-13 -3.027347e+03 5.534320e-14) (7.498983e-19 1.531620e+01 1.322118e-17))
0.000651381   	((1.462947e+03 9.837807e-14 1.051964e+04) (1.594976e+01 2.363612e-19 1.068716e+00)) ((-3.405390e-13 -2.753121e+03 5.117660e-14) (9.476835e-18 1.551521e+01 2.636765e-18))
0.000720731   	((9.373802e+02 4.402193e-14 1.366350e+04) (1.613448e+01 6.528372e-19 1.055913e+00)) ((-2.065878e-13 -5.842857e+03 4.496024e-15) (2.392332e-18 1.573936e+01 -8.262931e-18))
0.000794882   	((1.235740e+03 8.283786e-14 9.415300e+03) (1.635831e+01 6.963912e-19 1.072826e+00)) ((-2.844952e-13 -2.631872e+03 4.148279e-14) (2.085561e-18 1.597400e+01 -1.334549e-17))
0.000866543   	((1.235433e+03 7.467733e-14 8.237532e+03) (1.657379e+01 7.481718e-19 1.101854e+00)) ((-2.764978e-13 -2.178352e+03 3.927913e-14) (2.279676e-18 1.619204e+01 -1.681857e-17))
0.000937407   	((1.099855e+03 7.882194e-14 8.792510e+03) (1.678921e+01 1.241118e-18 1.128892e+00)) ((-2.812088e-13 -2.771332e+03 3.918526e-14) (2.059940e-18 1.640821e+01 -1.938413e-17))
