# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((-7.105427e-15 -3.955919e-14 5.018208e-14) (9.181703e+00 4.005137e-18 1.688744e+00)) ((-5.701534e-14 -7.460699e-13 -2.905862e-14) (-2.493703e-17 8.348759e+00 1.125891e-16))
1.19976e-05   	((1.717910e+05 3.225106e-12 1.642924e+06) (9.244526e+00 3.965584e-18 1.507980e+00)) ((-4.858947e-11 -4.413337e+05 4.743667e-12) (-1.518407e-17 8.484211e+00 1.109329e-16))
2.63878e-05   	((2.317636e+04 5.024384e-13 2.941781e+05) (9.251583e+00 3.816066e-18 1.445864e+00)) ((-8.398553e-12 -1.035421e+05 5.839987e-13) (-1.291341e-17 8.512082e+00 1.105456e-16))
4.36511e-05   	((1.245858e+04 2.537760e-13 1.582822e+05) (9.262127e+00 3.729709e-18 1.417542e+00)) ((-4.534949e-12 -5.433399e+04 3.074224e-13) (-1.163595e-17 8.532602e+00 1.107801e-16))
6.43527e-05   	((8.617804e+03 1.732500e-13 1.070335e+05) (9.284636e+00 3.684708e-18 1.402068e+00)) ((-3.095281e-12 -3.599454e+04 2.131314e-13) (-1.087421e-17 8.561107e+00 1.112202e-16))
8.91792e-05   	((6.053734e+03 1.132096e-13 7.659098e+04) (9.312519e+00 3.699263e-18 1.405063e+00)) ((-2.224352e-12 -2.631008e+04 1.390829e-13) (-1.067811e-17 8.580137e+00 1.117213e-16))
0.000118941   	((4.798826e+03 8.148472e-14 5.494391e+04) (9.346494e+00 3.700424e-18 1.401807e+00)) ((-1.621228e-12 -1.799048e+04 1.081998e-13) (-1.040070e-17 8.613831e+00 1.123370e-16))
0.000154634   	((3.970443e+03 6.017871e-14 4.202439e+04) (9.386791e+00 3.689467e-18 1.399553e+00)) ((-1.262388e-12 -1.336907e+04 8.447750e-14) (-1.020413e-17 8.654174e+00 1.130403e-16))
0.000197405   	((1.645839e+03 2.178419e-14 5.168327e+04) (9.415561e+00 3.638560e-18 1.381368e+00)) ((-1.531524e-12 -2.667711e+04 -3.634299e-14) (-8.952950e-18 8.702006e+00 1.134660e-16))
0.000248707   	((2.392687e+03 2.909125e-14 2.596646e+04) (9.463072e+00 3.634368e-18 1.377928e+00)) ((-8.061180e-13 -8.852966e+03 3.949791e-14) (-8.633760e-18 8.752451e+00 1.145562e-16))
0.000310237   	((2.524480e+03 2.312301e-14 2.134006e+04) (9.525964e+00 3.612524e-18 1.374596e+00)) ((-6.930769e-13 -6.642291e+03 3.724887e-14) (-8.370418e-18 8.817579e+00 1.158203e-16))
