# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((1.136868e-13 6.764460e-14 1.136868e-13) (1.289755e+01 -8.305985e-18 2.371936e+00)) ((-2.248934e-14 0.000000e+00 2.716866e-14) (-8.993152e-18 1.173580e+01 8.949541e-17))
1.19976e-05   	((1.753513e+05 5.911013e-13 1.739608e+06) (1.307280e+01 -8.317066e-18 2.060947e+00)) ((-9.521374e-12 -4.866831e+05 -6.047617e-12) (-1.059692e-17 1.201691e+01 9.495483e-17))
2.63878e-05   	((2.048052e+04 -1.722094e-13 2.885114e+05) (1.312317e+01 -8.087331e-18 1.953102e+00)) ((-1.083219e-12 -9.881996e+04 -1.038454e-12) (-1.105600e-17 1.210278e+01 9.606770e-17))
4.36511e-05   	((1.230147e+04 -6.887838e-14 1.694147e+05) (1.319988e+01 -7.773903e-18 1.888473e+00)) ((-7.175928e-13 -5.763791e+04 -5.930426e-13) (-1.092746e-17 1.220215e+01 9.758996e-17))
6.43527e-05   	((8.049609e+03 -3.347020e-14 1.132799e+05) (1.331127e+01 -7.396001e-18 1.840351e+00)) ((-5.150422e-13 -3.888548e+04 -3.871638e-13) (-1.085850e-17 1.233232e+01 9.888821e-17))
8.91792e-05   	((6.388667e+03 -3.349747e-14 8.064185e+04) (1.346865e+01 -6.939135e-18 1.804285e+00)) ((-3.148801e-13 -2.765625e+04 -2.756805e-13) (-1.123909e-17 1.250617e+01 1.004946e-16))
0.000118941   	((4.601027e+03 1.570859e-16 5.836530e+04) (1.370307e+01 -6.356440e-18 1.765460e+00)) ((-2.716517e-13 -1.970478e+04 -1.936682e-13) (-1.122474e-17 1.275469e+01 1.025063e-16))
0.000154634   	((3.466224e+03 1.166221e-14 4.328979e+04) (1.409104e+01 -5.758183e-18 1.735114e+00)) ((-2.123409e-13 -1.444977e+04 -1.392774e-13) (-1.126009e-17 1.314922e+01 1.056416e-16))
0.000197405   	((2.887291e+03 1.366739e-14 3.376911e+04) (1.464958e+01 -5.106835e-18 1.734562e+00)) ((-1.563714e-13 -1.123471e+04 -1.084689e-13) (-1.198965e-17 1.368620e+01 1.109385e-16))
0.000248707   	((2.077518e+03 -5.419949e-15 2.804393e+04) (1.541607e+01 -4.250266e-18 1.741404e+00)) ((-7.142905e-14 -1.086975e+04 -9.235463e-14) (-1.328938e-17 1.443394e+01 1.181540e-16))
0.000310237   	((1.199206e+03 -3.427816e-14 3.054381e+04) (1.645697e+01 -3.344725e-18 1.711225e+00)) ((-3.257168e-14 -1.452697e+04 -1.113358e-13) (-1.272576e-17 1.548615e+01 1.290499e-16))
