# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((5.684342e-14 6.040500e-14 5.684342e-13) (1.475810e+01 -9.299703e-18 2.711254e+00)) ((-7.029300e-14 1.136868e-13 2.982665e-14) (-1.342385e-17 1.346666e+01 9.031715e-17))
1.19976e-05   	((1.746537e+05 -1.566805e-12 1.738236e+06) (1.496652e+01 -9.685615e-18 2.347264e+00)) ((-2.538354e-11 -4.859090e+05 -1.477095e-12) (-4.600545e-18 1.379819e+01 8.833899e-17))
2.63878e-05   	((2.023187e+04 -5.006352e-13 2.838601e+05) (1.496785e+01 -9.447552e-18 2.213103e+00)) ((-3.226887e-12 -9.703843e+04 -3.962769e-13) (-2.325901e-18 1.384647e+01 8.783320e-17))
4.36511e-05   	((1.216189e+04 -2.620276e-13 1.672019e+05) (1.498070e+01 -9.218486e-18 2.125343e+00)) ((-2.022759e-12 -5.666763e+04 -2.212621e-13) (-1.528617e-18 1.389598e+01 8.766800e-17))
6.43527e-05   	((8.338738e+03 -1.616801e-13 1.115371e+05) (1.499343e+01 -8.746612e-18 2.056388e+00)) ((-1.435703e-12 -3.781050e+04 -1.480693e-13) (-2.575489e-19 1.394475e+01 8.807023e-17))
8.91792e-05   	((6.160177e+03 -1.055159e-13 8.045038e+04) (1.501069e+01 -8.221938e-18 1.974964e+00)) ((-1.045107e-12 -2.704567e+04 -9.921959e-14) (5.928331e-19 1.400460e+01 8.850980e-17))
0.000118941   	((4.440840e+03 -6.893955e-14 5.803578e+04) (1.502655e+01 -7.533816e-18 1.887790e+00)) ((-7.611117e-13 -1.959445e+04 -6.812047e-14) (1.116723e-18 1.407034e+01 8.935371e-17))
0.000154634   	((3.714513e+03 -4.642759e-14 4.398595e+04) (1.504331e+01 -6.674225e-18 1.789310e+00)) ((-5.961070e-13 -1.470309e+04 -4.872467e-14) (1.561737e-18 1.414529e+01 9.170045e-17))
0.000197405   	((2.726988e+03 -2.959383e-14 3.398701e+04) (1.507050e+01 -5.680757e-18 1.677535e+00)) ((-4.559175e-13 -1.146182e+04 -3.432439e-14) (2.036959e-18 1.423733e+01 9.441309e-17))
0.000248707   	((2.408147e+03 -1.459713e-14 2.584851e+04) (1.513283e+01 -4.577313e-18 1.601330e+00)) ((-3.668229e-13 -8.420120e+03 -2.034057e-14) (8.720411e-19 1.433599e+01 9.736108e-17))
0.000310237   	((9.252373e+02 -7.843887e-14 3.267326e+04) (1.516606e+01 -3.607696e-18 1.449305e+00)) ((-2.387333e-13 -1.635396e+04 -6.918747e-14) (1.803819e-18 1.447867e+01 1.032971e-16))
0.000383982   	((1.753315e+03 9.037972e-15 1.582962e+04) (1.528898e+01 -3.590849e-18 1.353928e+00)) ((-2.796570e-13 -4.614580e+03 -4.408601e-15) (4.114394e-18 1.467390e+01 1.053373e-16))
