# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((5.684342e-14 4.864098e-14 -1.136868e-13) (1.894515e+01 -1.282000e-17 3.480241e+00)) ((-4.335934e-14 0.000000e+00 2.608116e-14) (-1.674771e-17 1.728800e+01 1.170890e-16))
1.19976e-05   	((1.751789e+05 -6.492377e-12 1.742963e+06) (1.921494e+01 -1.230689e-17 2.991193e+00)) ((-1.666027e-11 -4.875538e+05 -3.269630e-12) (-4.014338e-18 1.772486e+01 1.196073e-16))
2.63878e-05   	((2.047955e+04 -1.216239e-12 2.918325e+05) (1.921475e+01 -1.195902e-17 2.808844e+00)) ((-1.981865e-12 -1.001198e+05 -7.064013e-13) (-9.800463e-19 1.779341e+01 1.194561e-16))
4.36511e-05   	((1.220911e+04 -6.691118e-13 1.642720e+05) (1.922860e+01 -1.130176e-17 2.682703e+00)) ((-1.166155e-12 -5.578094e+04 -3.898742e-13) (4.559295e-19 1.786579e+01 1.197289e-16))
6.43527e-05   	((8.192960e+03 -4.566319e-13 1.134271e+05) (1.924602e+01 -1.032621e-17 2.559996e+00)) ((-8.489863e-13 -3.856842e+04 -2.656308e-13) (1.358609e-18 1.794747e+01 1.204391e-16))
8.91792e-05   	((6.167481e+03 -3.197368e-13 8.068293e+04) (1.926526e+01 -9.009345e-18 2.419089e+00)) ((-6.190940e-13 -2.723649e+04 -1.867507e-13) (1.758936e-18 1.804361e+01 1.214574e-16))
0.000118941   	((4.554687e+03 -2.193872e-13 5.790360e+04) (1.928072e+01 -7.447314e-18 2.265029e+00)) ((-4.627644e-13 -1.941156e+04 -1.290099e-13) (2.280812e-18 1.814965e+01 1.226064e-16))
0.000154634   	((3.674829e+03 -1.522968e-13 4.269915e+04) (1.929311e+01 -5.496276e-18 2.098108e+00)) ((-3.574276e-13 -1.410916e+04 -9.132368e-14) (2.950087e-18 1.826542e+01 1.239365e-16))
0.000197405   	((2.860759e+03 -1.164917e-13 3.320479e+04) (1.929791e+01 -3.608526e-18 1.906865e+00)) ((-2.815919e-13 -1.084031e+04 -6.823392e-14) (3.789743e-18 1.838433e+01 1.257130e-16))
0.000248707   	((2.352624e+03 -8.225916e-14 2.541459e+04) (1.929443e+01 -9.460512e-19 1.750881e+00)) ((-2.243562e-13 -8.186833e+03 -4.864280e-14) (3.297094e-18 1.846735e+01 1.291101e-16))
0.000310237   	((1.056211e+03 -1.291229e-13 3.015339e+04) (1.927368e+01 -2.581667e-18 1.564766e+00)) ((-1.125598e-13 -1.474657e+04 -8.567427e-14) (8.079189e-18 1.857200e+01 1.312486e-16))
0.000383982   	((1.826330e+03 -3.746275e-14 1.577867e+04) (1.929661e+01 -3.083438e-18 1.417818e+00)) ((-1.769341e-13 -4.291173e+03 -2.127601e-14) (1.045239e-17 1.868296e+01 1.327313e-16))
0.000458004   	((1.684616e+03 -2.756757e-14 1.394381e+04) (1.933166e+01 -2.707005e-18 1.323285e+00)) ((-1.666644e-13 -3.954736e+03 -1.891252e-14) (1.231932e-17 1.878001e+01 1.353057e-16))
0.00053434    	((1.690895e+03 -3.231063e-14 1.397073e+04) (1.936243e+01 -2.180621e-18 1.243796e+00)) ((-1.531274e-13 -3.960234e+03 -1.914634e-14) (1.324961e-17 1.886098e+01 1.377338e-16))
0.000613469   	((1.403354e+03 -1.883879e-14 1.159396e+04) (1.938047e+01 -1.625879e-18 1.192018e+00)) ((-1.357647e-13 -3.382536e+03 -1.393479e-14) (1.386065e-17 1.891958e+01 1.398356e-16))
0.000708037   	((1.420904e+03 -1.993757e-14 1.106216e+04) (1.939290e+01 -1.246035e-18 1.157717e+00)) ((-1.268479e-13 -3.067073e+03 -1.267994e-14) (1.441351e-17 1.896988e+01 1.422101e-16))
0.000814037   	((1.016940e+03 -1.359806e-14 9.254470e+03) (1.939739e+01 -6.489650e-19 1.146188e+00)) ((-1.036444e-13 -2.737608e+03 -8.517103e-15) (1.399871e-17 1.900752e+01 1.446360e-16))
0.000935467   	((9.565714e+02 -1.446198e-14 8.960997e+03) (1.941703e+01 -4.067336e-19 1.157610e+00)) ((-9.346822e-14 -3.091509e+03 -1.112485e-14) (1.464387e-17 1.906212e+01 1.463531e-16))
0.00107362    	((8.958489e+02 -8.640086e-15 7.698120e+03) (1.946405e+01 2.412853e-20 1.188364e+00)) ((-8.635629e-14 -2.335242e+03 -6.086004e-15) (1.605502e-17 1.913591e+01 1.472577e-16))
0.00123401    	((7.442604e+02 -1.844955e-14 7.785722e+03) (1.954268e+01 5.395361e-19 1.234666e+00)) ((-6.484140e-14 -2.906449e+03 -1.141686e-14) (1.774104e-17 1.923448e+01 1.491016e-16))
0.00134774    	((8.609631e+02 -1.861889e-14 8.525135e+03) (1.960100e+01 9.195631e-19 1.264949e+00)) ((-7.226009e-14 -3.168575e+03 -1.291370e-14) (1.928709e-17 1.930779e+01 1.491820e-16))
0.00143829    	((9.281551e+02 -1.202427e-14 7.744758e+03) (1.964604e+01 1.121565e-18 1.282417e+00)) ((-8.134819e-14 -2.518557e+03 -8.454051e-15) (2.056578e-17 1.936683e+01 1.485906e-16))
0.00154684    	((1.057780e+03 -1.664299e-14 6.378538e+03) (1.971814e+01 1.367522e-18 1.307573e+00)) ((-6.878599e-14 -1.890295e+03 -6.846032e-15) (2.117881e-17 1.945503e+01 1.476826e-16))
0.00166986    	((9.196013e+02 -9.986621e-15 6.837260e+03) (1.979111e+01 1.558840e-18 1.327209e+00)) ((-7.336526e-14 -2.191169e+03 -6.647584e-15) (2.159230e-17 1.954532e+01 1.482116e-16))
0.0018165     	((1.063058e+03 -9.470391e-15 6.591713e+03) (1.990387e+01 1.729160e-18 1.339852e+00)) ((-7.552546e-14 -1.969177e+03 -6.455182e-15) (2.123915e-17 1.967839e+01 1.434183e-16))
0.00198967    	((2.003166e+03 -2.757353e-14 7.710516e+03) (2.006928e+01 1.960852e-18 1.359235e+00)) ((-1.048931e-13 -2.050121e+03 -1.705995e-14) (2.285083e-17 1.986288e+01 1.339371e-16))
0.00218127    	((3.394704e+03 -4.301153e-14 1.000429e+04) (2.042663e+01 2.637252e-18 1.313156e+00)) ((-1.412161e-13 -2.141263e+03 -2.772990e-14) (2.171690e-17 2.025441e+01 1.192545e-16))
0.0023934     	((1.726850e+02 -3.008182e-15 5.363395e+03) (2.069011e+01 2.023341e-18 1.355922e+00)) ((-5.681589e-14 -2.308926e+03 -4.317544e-15) (2.459087e-17 2.054324e+01 1.129570e-16))
0.00254261    	((1.056708e+02 -1.176678e-14 6.602840e+03) (2.095281e+01 1.967520e-18 1.432608e+00)) ((-3.610891e-14 -3.036154e+03 -8.701569e-15) (2.576077e-17 2.082024e+01 1.105034e-16))
