# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((5.684342e-14 4.864098e-14 0.000000e+00) (1.622564e+01 -1.098229e-17 2.980736e+00)) ((-4.335934e-14 0.000000e+00 2.608116e-14) (-1.433971e-17 1.480597e+01 1.002964e-16))
1.19976e-05   	((1.749492e+05 -6.462344e-12 1.742722e+06) (1.645582e+01 -1.050520e-17 2.571389e+00)) ((-1.673920e-11 -4.867285e+05 -3.247036e-12) (-3.592495e-18 1.517444e+01 1.023637e-16))
2.63878e-05   	((2.048842e+04 -1.221566e-12 2.871561e+05) (1.645715e+01 -1.008711e-17 2.423119e+00)) ((-1.868612e-12 -9.899245e+04 -7.122385e-13) (-1.198755e-18 1.522957e+01 1.022225e-16))
4.36511e-05   	((1.229721e+04 -6.776625e-13 1.666834e+05) (1.647156e+01 -9.714136e-18 2.327786e+00)) ((-1.188566e-12 -5.666409e+04 -3.947461e-13) (8.813883e-20 1.528651e+01 1.022901e-16))
6.43527e-05   	((8.210823e+03 -4.597638e-13 1.135296e+05) (1.648966e+01 -9.203956e-18 2.237074e+00)) ((-8.423991e-13 -3.871526e+04 -2.678073e-13) (9.510124e-19 1.534964e+01 1.026797e-16))
8.91792e-05   	((6.207382e+03 -3.152609e-13 8.033565e+04) (1.650782e+01 -7.993356e-18 2.138436e+00)) ((-6.254440e-13 -2.692006e+04 -1.836999e-13) (1.001747e-18 1.542111e+01 1.038567e-16))
0.000118941   	((4.528539e+03 -2.123404e-13 5.698787e+04) (1.651874e+01 -7.322860e-18 2.035111e+00)) ((-4.554302e-13 -1.931306e+04 -1.274314e-13) (2.067009e-18 1.549431e+01 1.046266e-16))
0.000154634   	((3.684814e+03 -1.588856e-13 4.345257e+04) (1.653351e+01 -6.331930e-18 1.909563e+00)) ((-3.619941e-13 -1.425333e+04 -9.326928e-14) (2.826704e-18 1.558391e+01 1.057496e-16))
0.000197405   	((2.732405e+03 -1.224706e-13 3.377788e+04) (1.653011e+01 -4.905812e-18 1.766581e+00)) ((-2.679566e-13 -1.142024e+04 -7.234221e-14) (3.486704e-18 1.566400e+01 1.085910e-16))
0.000248707   	((2.389896e+03 -8.285324e-14 2.551889e+04) (1.656736e+01 -2.286394e-18 1.659052e+00)) ((-2.228255e-13 -8.300348e+03 -4.933368e-14) (2.104495e-18 1.575435e+01 1.125170e-16))
0.000310237   	((8.766510e+02 -1.407919e-13 3.170640e+04) (1.654757e+01 -2.660517e-18 1.482341e+00)) ((-9.936419e-14 -1.601030e+04 -9.369797e-14) (5.585414e-18 1.585364e+01 1.171624e-16))
0.000383982   	((1.788211e+03 -4.289573e-14 1.646791e+04) (1.659644e+01 -2.805541e-18 1.347878e+00)) ((-1.702614e-13 -4.764826e+03 -2.480319e-14) (7.449305e-18 1.598551e+01 1.183197e-16))
0.000472342   	((1.566231e+03 -2.523967e-14 1.294436e+04) (1.667377e+01 -2.796604e-18 1.258988e+00)) ((-1.519472e-13 -3.678813e+03 -1.720885e-14) (9.579522e-18 1.613231e+01 1.193858e-16))
