# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((1.136868e-13 6.764460e-14 1.136868e-13) (1.253029e+01 -8.120567e-18 2.304667e+00)) ((-2.248934e-14 0.000000e+00 2.716866e-14) (-8.917212e-18 1.139670e+01 8.792294e-17))
1.19976e-05   	((1.751994e+05 6.359067e-13 1.726098e+06) (1.271971e+01 -8.085197e-18 2.009519e+00)) ((-9.522289e-12 -4.800298e+05 -5.988388e-12) (-1.043309e-17 1.168791e+01 9.303859e-17))
2.63878e-05   	((2.047421e+04 -2.125836e-13 2.995383e+05) (1.279552e+01 -8.245170e-18 1.910631e+00)) ((-1.071705e-12 -1.044719e+05 -1.087921e-12) (-1.056323e-17 1.179685e+01 9.387944e-17))
4.36511e-05   	((1.221054e+04 -7.264161e-14 1.686559e+05) (1.289630e+01 -8.123678e-18 1.853341e+00)) ((-7.031804e-13 -5.754234e+04 -5.925326e-13) (-1.034414e-17 1.191807e+01 9.505291e-17))
6.43527e-05   	((8.072396e+03 -3.564055e-14 1.135931e+05) (1.303619e+01 -7.836378e-18 1.813055e+00)) ((-5.107339e-13 -3.908475e+04 -3.889497e-13) (-1.033826e-17 1.207443e+01 9.578845e-17))
8.91792e-05   	((6.391491e+03 -2.930529e-14 7.954026e+04) (1.322092e+01 -7.455329e-18 1.785234e+00)) ((-3.189500e-13 -2.706325e+04 -2.699980e-13) (-1.080234e-17 1.227331e+01 9.675192e-17))
0.000118941   	((4.604401e+03 1.452896e-15 5.835127e+04) (1.346903e+01 -6.971064e-18 1.750831e+00)) ((-2.754503e-13 -1.966116e+04 -1.934430e-13) (-1.067875e-17 1.253617e+01 9.771017e-17))
0.000154634   	((3.427794e+03 1.091274e-14 4.335383e+04) (1.380415e+01 -6.398505e-18 1.723298e+00)) ((-2.109643e-13 -1.452816e+04 -1.397997e-13) (-1.072667e-17 1.288331e+01 9.906171e-17))
0.000197405   	((2.884689e+03 1.445414e-14 3.349023e+04) (1.427328e+01 -5.736829e-18 1.728727e+00)) ((-1.566856e-13 -1.109422e+04 -1.071739e-13) (-1.147892e-17 1.333428e+01 1.014258e-16))
0.000248707   	((1.274599e+03 -6.234228e-14 3.768604e+04) (1.491539e+01 -5.039483e-18 1.706437e+00)) ((-5.209465e-15 -1.871247e+04 -1.407105e-13) (-1.153005e-17 1.399676e+01 1.067748e-16))
0.000310237   	((1.816964e+03 1.066492e-14 2.310098e+04) (1.587835e+01 -4.173417e-18 1.713194e+00)) ((-8.759656e-14 -8.427601e+03 -7.364789e-14) (-1.176814e-17 1.495412e+01 1.137475e-16))
0.000383982   	((1.691220e+03 2.305630e-14 1.721932e+04) (1.724567e+01 -3.245735e-18 1.760963e+00)) ((-8.037933e-14 -5.555199e+03 -5.070211e-14) (-1.229844e-17 1.629769e+01 1.233230e-16))
0.000472342   	((1.502034e+03 2.236584e-14 1.386322e+04) (1.893496e+01 -2.535072e-18 1.868979e+00)) ((-4.832416e-14 -4.428820e+03 -3.852572e-14) (-1.329313e-17 1.794990e+01 1.342183e-16))
0.000577897   	((1.227817e+03 2.562000e-14 1.179563e+04) (2.072331e+01 -2.231063e-18 1.970443e+00)) ((-5.478130e-14 -3.720639e+03 -3.142738e-14) (-1.315091e-17 1.970429e+01 1.456180e-16))
0.000704014   	((1.203781e+03 2.820748e-14 1.039835e+04) (2.254913e+01 -2.371583e-18 2.087812e+00)) ((-4.091993e-14 -3.217707e+03 -2.648878e-14) (-1.329101e-17 2.149299e+01 1.563858e-16))
0.000854764   	((1.001192e+03 2.755114e-14 8.912055e+03) (2.434610e+01 -2.673066e-18 2.202918e+00)) ((-3.546249e-14 -2.799630e+03 -2.126274e-14) (-1.341726e-17 2.325357e+01 1.665728e-16))
0.00103538    	((7.980424e+02 2.773954e-14 7.408701e+03) (2.605382e+01 -2.615939e-18 2.286737e+00)) ((-3.398888e-14 -2.311484e+03 -1.570300e-14) (-1.318062e-17 2.493480e+01 1.763225e-16))
0.00124847    	((7.741674e+02 3.128385e-14 6.451396e+03) (2.754917e+01 -2.311525e-18 2.374699e+00)) ((-2.609764e-14 -2.006179e+03 -1.202309e-14) (-1.378441e-17 2.640951e+01 1.859534e-16))
0.0014952     	((6.678898e+02 2.827374e-14 5.916267e+03) (2.877270e+01 -2.317896e-18 2.406617e+00)) ((-2.564570e-14 -1.836155e+03 -1.065842e-14) (-1.293122e-17 2.763269e+01 1.934317e-16))
0.00177557    	((6.704104e+02 3.100740e-14 5.082615e+03) (2.966341e+01 -1.936707e-18 2.418587e+00)) ((-1.542194e-14 -1.571731e+03 -7.442926e-15) (-1.344064e-17 2.853658e+01 1.969757e-16))
0.0019475     	((9.190762e+02 2.742269e-14 6.229839e+03) (3.011123e+01 -1.903480e-18 2.393205e+00)) ((-1.432597e-14 -1.908273e+03 -1.349956e-14) (-1.308243e-17 2.900474e+01 1.982270e-16))
0.00211781    	((1.225445e+03 4.008432e-14 6.148756e+03) (3.046322e+01 -2.107690e-18 2.367429e+00)) ((9.571564e-16 -1.818329e+03 -1.210837e-14) (-1.384390e-17 2.937997e+01 1.920776e-16))
0.00228493    	((4.545683e+03 4.638669e-14 1.147353e+04) (3.098162e+01 -2.220023e-18 2.302099e+00)) ((7.258887e-14 -2.010790e+03 -4.524720e-14) (-1.542964e-17 2.992841e+01 1.916542e-16))
