# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 8.429467e-17 5.115908e-13) (5.131539e+00 -1.981657e-20 9.438166e-01)) ((8.881784e-15 -1.136868e-13 3.552714e-15) (-4.719083e-02 4.666340e+00 2.565770e-01))
1.19976e-05   	((8.636495e+04 -4.890072e-14 8.426511e+05) (5.171288e+00 -1.841626e-20 8.430214e-01)) ((-4.213256e+04 -2.308837e+05 4.318248e+03) (-4.215107e-02 4.747144e+00 2.585644e-01))
2.63878e-05   	((1.136020e+04 -1.042949e-14 1.379053e+05) (5.176527e+00 -2.697348e-20 8.072967e-01)) ((-6.895267e+03 -4.675488e+04 5.680100e+02) (-4.036484e-02 4.764497e+00 2.588263e-01))
4.36511e-05   	((6.015271e+03 -5.818932e-15 7.860830e+04) (5.186821e+00 -2.847269e-20 7.921455e-01)) ((-3.930415e+03 -2.671981e+04 3.007635e+02) (-3.960727e-02 4.780659e+00 2.593411e-01))
6.43527e-05   	((4.477877e+03 -3.797380e-15 5.440972e+04) (5.205329e+00 -2.892114e-20 7.829541e-01)) ((-2.720486e+03 -1.830495e+04 2.238939e+02) (-3.914770e-02 4.802978e+00 2.602665e-01))
8.91792e-05   	((2.910233e+03 -2.614413e-15 3.760908e+04) (5.229470e+00 -2.924032e-20 7.764213e-01)) ((-1.880454e+03 -1.282413e+04 1.455117e+02) (-3.882106e-02 4.830065e+00 2.614735e-01))
0.000118941   	((2.437916e+03 -1.815548e-15 2.740558e+04) (5.261112e+00 -2.853457e-20 7.710512e-01)) ((-1.370279e+03 -8.945375e+03 1.218958e+02) (-3.855256e-02 4.863710e+00 2.630556e-01))
0.000154634   	((1.826853e+03 -1.345521e-15 2.071422e+04) (5.299551e+00 -1.768065e-20 7.753420e-01)) ((-1.035711e+03 -6.823290e+03 9.134266e+01) (-3.876710e-02 4.895830e+00 2.649776e-01))
0.000197405   	((1.654583e+03 -9.354499e-16 1.706454e+04) (5.348635e+00 -1.639755e-20 7.740840e-01)) ((-8.532271e+02 -5.584054e+03 8.272916e+01) (-3.870420e-02 4.944924e+00 2.674317e-01))
0.000248707   	((5.673001e+02 2.421012e-16 2.091328e+04) (5.396672e+00 -2.570004e-20 7.613370e-01)) ((-1.045664e+03 -1.081645e+04 2.836501e+01) (-3.806685e-02 5.004995e+00 2.698336e-01))
0.000310237   	((1.385510e+03 -2.552172e-16 1.016480e+04) (5.470881e+00 -2.621011e-20 7.611923e-01)) ((-5.082402e+02 -3.190839e+03 6.927548e+01) (-3.805961e-02 5.080903e+00 2.735440e-01))
0.000383982   	((1.111809e+03 -3.288760e-16 8.683307e+03) (5.566443e+00 -2.615493e-20 7.601118e-01)) ((-4.341653e+02 -2.628627e+03 5.559046e+01) (-3.800559e-02 5.177856e+00 2.783221e-01))
0.000472342   	((1.074315e+03 -2.735512e-16 7.609368e+03) (5.693809e+00 -2.615206e-20 7.598569e-01)) ((-3.804684e+02 -2.202963e+03 5.371576e+01) (-3.799285e-02 5.306093e+00 2.846904e-01))
0.000577897   	((1.174317e+03 -1.241380e-16 6.522831e+03) (5.869011e+00 -2.625583e-20 7.577655e-01)) ((-3.261415e+02 -1.736738e+03 5.871586e+01) (-3.788827e-02 5.481946e+00 2.934506e-01))
0.000704014   	((1.259508e+03 -3.186968e-17 5.940071e+03) (6.108792e+00 -2.612525e-20 7.599955e-01)) ((-2.970035e+02 -1.468534e+03 6.297538e+01) (-3.799978e-02 5.720664e+00 3.054396e-01))
0.000854764   	((3.577707e+03 6.040002e-16 8.490530e+03) (6.503248e+00 -2.098209e-20 7.564855e-01)) ((-4.245265e+02 -1.074981e+03 1.788853e+02) (-3.782428e-02 6.113122e+00 3.251624e-01))
0.00103538    	((3.554334e+02 -2.043374e-16 4.006938e+03) (6.909624e+00 -1.771695e-20 7.735069e-01)) ((-2.003469e+02 -1.331742e+03 1.777167e+01) (-3.867535e-02 6.515934e+00 3.454812e-01))
0.00125089    	((2.890900e+02 -1.592169e-16 3.286989e+03) (7.371943e+00 -1.620074e-20 8.288916e-01)) ((-1.643494e+02 -1.114779e+03 1.445450e+01) (-4.144458e-02 6.969187e+00 3.685972e-01))
0.00150772    	((2.966722e+02 -1.169366e-16 2.612321e+03) (7.888908e+00 -1.654727e-20 8.580205e-01)) ((-1.306161e+02 -8.879415e+02 1.483361e+01) (-4.290103e-02 7.482987e+00 3.944454e-01))
0.00181593    	((4.892679e+02 9.918822e-17 1.950056e+03) (8.455417e+00 -1.541248e-20 8.895911e-01)) ((-9.750280e+01 -6.019560e+02 2.446340e+01) (-4.447956e-02 8.046694e+00 4.227708e-01))
0.00217961    	((3.525915e+02 1.734637e-16 1.670184e+03) (9.040845e+00 -5.574470e-21 9.249270e-01)) ((-8.350920e+01 -5.827830e+02 1.762958e+01) (-4.624635e-02 8.629095e+00 4.520422e-01))
0.00261425    	((1.623457e+02 -5.817394e-17 1.953621e+03) (9.633332e+00 -5.073469e-21 9.537063e-01)) ((-9.768106e+01 -6.951244e+02 8.117287e+00) (-4.768531e-02 9.219831e+00 4.816666e-01))
0.0031256     	((1.333832e+02 -6.860264e-17 1.928277e+03) (1.021366e+01 -6.764510e-21 9.766436e-01)) ((-9.641385e+01 -7.493417e+02 6.669162e+00) (-4.883218e-02 9.799398e+00 5.106830e-01))
0.00370748    	((1.012045e+02 -2.054132e-16 3.340750e+03) (1.072694e+01 -1.086210e-20 1.029426e+00)) ((-1.670375e+02 -1.844007e+03 5.060227e+00) (-5.147128e-02 1.030336e+01 5.363469e-01))
0.00435918    	((9.073327e+01 -2.686106e-17 1.318503e+03) (1.109344e+01 -1.305923e-20 1.013615e+00)) ((-6.592516e+01 -4.607892e+02 4.536663e+00) (-5.068077e-02 1.067081e+01 5.546720e-01))
0.00469196    	((9.876327e+01 -3.039879e-17 1.337857e+03) (1.126377e+01 -1.397921e-20 9.928953e-01)) ((-6.689283e+01 -4.466598e+02 4.938163e+00) (-4.964476e-02 1.084286e+01 5.631887e-01))
0.00503214    	((1.061570e+02 -4.703890e-17 1.104547e+03) (1.140905e+01 -1.256824e-20 9.898228e-01)) ((-5.522735e+01 -3.580491e+02 5.307850e+00) (-4.949114e-02 1.098676e+01 5.704523e-01))
0.00536476    	((1.048709e+02 -3.909845e-17 1.059067e+03) (1.153316e+01 -1.041784e-20 9.834144e-01)) ((-5.295336e+01 -3.235179e+02 5.243544e+00) (-4.917072e-02 1.111161e+01 5.766578e-01))
0.00573064    	((1.252139e+02 -4.713057e-17 8.223415e+02) (1.165369e+01 -1.087377e-20 9.684645e-01)) ((-4.111708e+01 -2.603567e+02 6.260694e+00) (-4.842323e-02 1.123619e+01 5.826844e-01))
0.00609652    	((9.910579e+01 -2.522539e-17 1.052908e+03) (1.176886e+01 -7.123299e-21 9.546236e-01)) ((-5.264540e+01 -3.181691e+02 4.955290e+00) (-4.773118e-02 1.135741e+01 5.884429e-01))
0.00649376    	((9.390010e+01 -2.563009e-17 1.038630e+03) (1.188417e+01 -4.766250e-21 9.372186e-01)) ((-5.193152e+01 -3.228393e+02 4.695005e+00) (-4.686093e-02 1.148152e+01 5.942086e-01))
