# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((-3.552714e-15 4.864098e-14 5.917489e-14) (2.161012e+01 -1.462040e-17 3.969715e+00)) ((-4.335934e-14 -2.291500e-13 2.608116e-14) (-1.910843e-17 1.972034e+01 1.335429e-16))
1.19976e-05   	((1.763659e+05 -6.112637e-12 1.700271e+06) (2.191020e+01 -1.429926e-17 3.402808e+00)) ((-1.706772e-11 -4.589446e+05 -3.016251e-12) (-4.388121e-18 2.021799e+01 1.361359e-16))
2.63878e-05   	((1.949241e+04 -1.485467e-12 3.186367e+05) (2.191318e+01 -1.352867e-17 3.176650e+00)) ((-1.618245e-12 -1.193460e+05 -8.862515e-13) (-8.446686e-19 2.030693e+01 1.364165e-16))
4.36511e-05   	((1.213304e+04 -6.750451e-13 1.664060e+05) (2.192492e+01 -1.281431e-17 3.016827e+00)) ((-1.182173e-12 -5.687932e+04 -3.944968e-13) (9.554253e-19 2.039600e+01 1.366183e-16))
6.43527e-05   	((8.322063e+03 -4.577577e-13 1.137221e+05) (2.194059e+01 -1.166632e-17 2.854429e+00)) ((-8.555603e-13 -3.852764e+04 -2.661296e-13) (2.234642e-18 2.049920e+01 1.374444e-16))
8.91792e-05   	((6.009429e+03 -3.149338e-13 8.011691e+04) (2.195465e+01 -1.022296e-17 2.669236e+00)) ((-6.221340e-13 -2.700214e+04 -1.836992e-13) (3.136556e-18 2.061770e+01 1.385247e-16))
0.000118941   	((4.553365e+03 -2.241056e-13 5.868693e+04) (2.196420e+01 -8.485205e-18 2.462789e+00)) ((-4.668251e-13 -1.970914e+04 -1.311323e-13) (4.032687e-18 2.074810e+01 1.398859e-16))
0.000154634   	((3.736923e+03 -1.548550e-13 4.321777e+04) (2.196807e+01 -6.586584e-18 2.251912e+00)) ((-3.611067e-13 -1.436474e+04 -9.371095e-14) (5.560980e-18 2.088404e+01 1.409032e-16))
0.000197405   	((2.793178e+03 -1.143861e-13 3.309841e+04) (2.196172e+01 -4.924438e-18 2.025532e+00)) ((-2.847511e-13 -1.075919e+04 -6.674689e-14) (7.237466e-18 2.101527e+01 1.422933e-16))
0.000248707   	((2.366940e+03 -8.398682e-14 2.560103e+04) (2.194669e+01 -4.258347e-18 1.830128e+00)) ((-2.271407e-13 -8.185914e+03 -4.939896e-14) (9.408670e-18 2.111419e+01 1.429206e-16))
0.000310237   	((1.553686e+03 -9.039566e-14 2.492418e+04) (2.190395e+01 -4.508172e-18 1.663723e+00)) ((-1.580012e-13 -1.038861e+04 -5.828720e-14) (1.225807e-17 2.117870e+01 1.431558e-16))
0.000383982   	((1.446489e+03 -6.846210e-14 2.001126e+04) (2.183140e+01 -4.618054e-18 1.506021e+00)) ((-1.395322e-13 -7.837961e+03 -4.324506e-14) (1.503621e-17 2.120967e+01 1.461773e-16))
0.000472342   	((1.318917e+03 -4.434346e-14 1.542100e+04) (2.175441e+01 -4.118589e-18 1.396729e+00)) ((-1.263736e-13 -5.693827e+03 -3.039592e-14) (1.736170e-17 2.120887e+01 1.491461e-16))
0.000577897   	((1.330546e+03 -2.716938e-14 1.214665e+04) (2.172135e+01 -3.598349e-18 1.309879e+00)) ((-1.233520e-13 -3.690374e+03 -1.648938e-14) (1.870582e-17 2.123013e+01 1.531615e-16))
0.000701605   	((1.054806e+03 -1.217126e-14 9.426584e+03) (2.168765e+01 -3.090435e-18 1.236510e+00)) ((-1.074440e-13 -2.870958e+03 -9.181873e-15) (1.951290e-17 2.123611e+01 1.593691e-16))
0.000809417   	((1.209526e+03 -1.957679e-14 1.045322e+04) (2.166511e+01 -2.557016e-18 1.198512e+00)) ((-1.096152e-13 -3.206902e+03 -1.278987e-14) (2.007022e-17 2.124542e+01 1.630997e-16))
0.00092099    	((1.086598e+03 -1.495215e-14 9.380922e+03) (2.163587e+01 -2.144981e-18 1.165789e+00)) ((-1.031345e-13 -2.785439e+03 -9.448064e-15) (2.003512e-17 2.125247e+01 1.650907e-16))
0.00103256    	((1.002358e+03 -9.604331e-15 8.210923e+03) (2.160024e+01 -1.635798e-18 1.166951e+00)) ((-9.932444e-14 -2.542241e+03 -8.071361e-15) (1.994967e-17 2.124762e+01 1.667919e-16))
0.00114348    	((9.401171e+02 -9.356213e-15 7.975992e+03) (2.155833e+01 -1.372306e-18 1.178081e+00)) ((-9.104346e-14 -2.405047e+03 -6.553857e-15) (2.043819e-17 2.123403e+01 1.671597e-16))
0.00125777    	((8.955820e+02 -8.486714e-15 7.540627e+03) (2.151552e+01 -1.059538e-18 1.201422e+00)) ((-8.631823e-14 -2.277804e+03 -5.752746e-15) (2.194846e-17 2.121615e+01 1.662775e-16))
0.00136486    	((1.038154e+03 -1.086954e-14 6.787065e+03) (2.151556e+01 -7.114143e-19 1.235014e+00)) ((-8.588174e-14 -1.952541e+03 -5.880795e-15) (2.347125e-17 2.122797e+01 1.672387e-16))
0.00144996    	((9.496024e+02 -1.090222e-14 7.698811e+03) (2.153502e+01 -5.570962e-19 1.257433e+00)) ((-8.520714e-14 -2.423963e+03 -7.586683e-15) (2.459890e-17 2.125558e+01 1.665882e-16))
0.00153505    	((9.607954e+02 -1.798253e-14 8.544535e+03) (2.154856e+01 -4.418613e-19 1.276278e+00)) ((-7.803810e-14 -3.014165e+03 -1.250770e-14) (2.544492e-17 2.127807e+01 1.652414e-16))
0.00161498    	((1.204525e+03 -3.409034e-14 8.224335e+03) (2.156910e+01 -2.155938e-19 1.300464e+00)) ((-6.355930e-14 -2.861714e+03 -1.625640e-14) (2.605406e-17 2.130583e+01 1.616779e-16))
