# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 5.400319e-14 -2.273737e-13) (1.063098e+01 -7.167381e-18 1.955455e+00)) ((-4.848146e-14 3.410605e-13 3.015271e-14) (-1.146648e-17 9.667785e+00 8.190375e-17))
1.19976e-05   	((1.760935e+05 -2.518542e-12 1.694884e+06) (1.076007e+01 -7.455109e-18 1.715433e+00)) ((-2.228053e-11 -4.601131e+05 -1.638580e-12) (-6.789115e-18 9.874613e+00 8.112309e-17))
2.63878e-05   	((2.025671e+04 -7.467738e-13 3.022099e+05) (1.078990e+01 -7.506343e-18 1.631406e+00)) ((-2.837360e-12 -1.081861e+05 -4.819076e-13) (-5.052083e-18 9.933876e+00 8.116360e-17))
4.36511e-05   	((1.177840e+04 -3.765577e-13 1.670362e+05) (1.082672e+01 -7.403142e-18 1.594042e+00)) ((-1.725987e-12 -5.773708e+04 -2.443748e-13) (-4.228955e-18 9.983075e+00 8.134524e-17))
6.43527e-05   	((8.186417e+03 -2.445744e-13 1.145654e+05) (1.087569e+01 -7.328371e-18 1.569410e+00)) ((-1.221734e-12 -3.949907e+04 -1.601508e-13) (-3.659158e-18 1.004043e+01 8.151795e-17))
8.91792e-05   	((5.888782e+03 -1.577322e-13 7.886266e+04) (1.093793e+01 -7.240593e-18 1.551662e+00)) ((-8.657249e-13 -2.699880e+04 -1.035207e-13) (-3.235393e-18 1.010915e+01 8.157350e-17))
0.000118941   	((5.033228e+03 -1.416771e-13 5.821946e+04) (1.101578e+01 -7.170865e-18 1.540144e+00)) ((-6.397271e-13 -1.963303e+04 -7.650193e-14) (-2.910106e-18 1.019215e+01 8.170719e-17))
0.000154634   	((3.275216e+03 -7.760029e-14 4.225490e+04) (1.110915e+01 -7.001896e-18 1.528432e+00)) ((-4.804733e-13 -1.439599e+04 -4.845110e-14) (-2.644459e-18 1.029039e+01 8.181317e-17))
0.000197405   	((2.892492e+03 -5.274046e-14 3.343600e+04) (1.122921e+01 -6.777361e-18 1.516444e+00)) ((-3.929162e-13 -1.103185e+04 -3.285704e-14) (-2.393633e-18 1.041505e+01 8.199299e-17))
0.000248707   	((2.386600e+03 -3.409602e-14 2.570984e+04) (1.138540e+01 -6.603686e-18 1.516469e+00)) ((-3.132870e-13 -8.307252e+03 -2.077951e-14) (-2.286900e-18 1.056502e+01 8.234741e-17))
