# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((5.684342e-14 6.445847e-15 -1.136868e-13) (1.476379e+01 5.115264e-18 2.712233e+00)) ((-1.025239e-13 3.410605e-13 -3.521632e-15) (-5.985527e-18 1.347230e+01 1.132463e-17))
1.19976e-05   	((1.759545e+05 1.484109e-11 1.716457e+06) (1.497185e+01 4.109588e-18 2.347189e+00)) ((-4.066230e-11 -4.695219e+05 8.177598e-12) (3.036130e-18 1.380376e+01 8.507562e-18))
2.63878e-05   	((2.059598e+04 2.483587e-12 2.843139e+05) (1.497384e+01 4.259637e-18 2.220624e+00)) ((-6.583528e-12 -9.587516e+04 1.371496e-12) (4.838404e-18 1.384533e+01 8.315716e-18))
4.36511e-05   	((1.106016e+04 1.455334e-12 1.800874e+05) (1.499315e+01 3.573318e-18 2.127793e+00)) ((-4.012720e-12 -6.712667e+04 7.577978e-13) (5.764153e-18 1.390654e+01 7.565400e-18))
6.43527e-05   	((8.281375e+03 9.915094e-13 1.132147e+05) (1.501203e+01 3.750073e-18 2.059167e+00)) ((-2.717146e-12 -3.886047e+04 5.287364e-13) (6.323296e-18 1.396120e+01 7.624863e-18))
8.91792e-05   	((5.969510e+03 7.150540e-13 8.157199e+04) (1.503359e+01 3.471065e-18 1.979238e+00)) ((-1.958236e-12 -2.796223e+04 3.816891e-13) (6.707424e-18 1.402428e+01 7.350473e-18))
0.000118941   	((4.521278e+03 5.169523e-13 5.862990e+04) (1.506274e+01 3.189136e-18 1.893082e+00)) ((-1.429835e-12 -1.983223e+04 2.752543e-13) (6.592592e-18 1.410176e+01 7.214417e-18))
0.000154634   	((3.656836e+03 3.871958e-13 4.328921e+04) (1.509495e+01 2.904977e-18 1.796212e+00)) ((-1.087696e-12 -1.428387e+04 2.058787e-13) (6.055190e-18 1.419115e+01 7.783460e-18))
0.000197405   	((2.734402e+03 2.978080e-13 3.393367e+04) (1.512833e+01 2.563534e-18 1.682441e+00)) ((-8.476916e-13 -1.137751e+04 1.563918e-13) (5.533604e-18 1.429113e+01 8.043919e-18))
0.000248707   	((2.455661e+03 2.370994e-13 2.671635e+04) (1.518605e+01 2.083880e-18 1.569741e+00)) ((-6.842189e-13 -8.818944e+03 1.251457e-13) (4.135419e-18 1.442163e+01 8.294263e-18))
0.000310237   	((1.871201e+03 1.870124e-13 2.113179e+04) (1.527430e+01 2.081839e-18 1.452050e+00)) ((-5.500811e-13 -6.866817e+03 9.758692e-14) (1.891952e-18 1.458408e+01 9.149260e-18))
0.000383982   	((1.642167e+03 1.551550e-13 1.730479e+04) (1.542471e+01 3.216006e-18 1.415596e+00)) ((-4.776526e-13 -5.733752e+03 7.840001e-14) (-1.399421e-18 1.474648e+01 1.141116e-17))
0.000472342   	((8.432000e+02 1.452060e-13 2.187075e+04) (1.555606e+01 3.054653e-18 1.305031e+00)) ((-5.015429e-13 -1.056995e+04 5.769634e-14) (-1.200424e-18 1.497917e+01 1.497679e-17))
0.000577897   	((1.343124e+03 1.068893e-13 1.088131e+04) (1.578967e+01 2.931011e-18 1.284674e+00)) ((-3.330345e-13 -2.935556e+03 5.673309e-14) (-2.354270e-18 1.526807e+01 1.587774e-17))
0.000700048   	((1.132713e+03 9.139944e-14 9.457311e+03) (1.604268e+01 2.546182e-18 1.287114e+00)) ((-2.891318e-13 -2.550391e+03 4.857877e-14) (-2.957034e-18 1.557111e+01 1.617910e-17))
0.000802708   	((1.336585e+03 9.713269e-14 1.007951e+04) (1.625445e+01 2.322183e-18 1.306151e+00)) ((-3.110821e-13 -2.727157e+03 5.147795e-14) (-3.433512e-18 1.581857e+01 1.511618e-17))
0.00090877    	((1.172490e+03 8.833726e-14 8.975271e+03) (1.646529e+01 2.078958e-18 1.323141e+00)) ((-2.862702e-13 -2.470592e+03 4.642476e-14) (-3.304669e-18 1.606126e+01 9.869177e-18))
0.00101912    	((1.033771e+03 8.081029e-14 8.824246e+03) (1.667747e+01 1.810791e-18 1.341359e+00)) ((-2.691964e-13 -2.665415e+03 4.068470e-14) (-2.445581e-18 1.630271e+01 2.214341e-18))
0.00113416    	((9.799536e+02 7.658540e-14 8.051253e+03) (1.688660e+01 1.560924e-18 1.352708e+00)) ((-2.586973e-13 -2.369407e+03 3.920668e-14) (-1.700138e-18 1.654095e+01 -6.036364e-18))
0.00125281    	((9.277606e+02 6.896149e-14 7.205657e+03) (1.708011e+01 1.522949e-18 1.372892e+00)) ((-2.463136e-13 -2.084479e+03 3.490869e-14) (6.549691e-19 1.675777e+01 -1.072755e-17))
0.00137615    	((8.759393e+02 6.620253e-14 6.904053e+03) (1.728794e+01 1.709044e-18 1.386444e+00)) ((-2.284208e-13 -2.003868e+03 3.368356e-14) (1.138815e-18 1.698227e+01 -1.389119e-17))
0.00150548    	((8.273702e+02 6.054534e-14 6.649248e+03) (1.747326e+01 1.661594e-18 1.404891e+00)) ((-2.279440e-13 -2.138764e+03 3.082584e-14) (1.925634e-18 1.718438e+01 -1.511994e-17))
0.0016395     	((6.644595e+02 6.433164e-14 8.144940e+03) (1.766220e+01 1.135124e-18 1.391454e+00)) ((-2.368499e-13 -3.404505e+03 2.849030e-14) (2.560977e-18 1.740963e+01 -1.719111e-17))
0.00177966    	((7.387479e+02 5.746729e-14 6.918954e+03) (1.782308e+01 1.185191e-18 1.395610e+00)) ((-2.268390e-13 -2.670623e+03 2.715056e-14) (2.328641e-18 1.759178e+01 -1.580864e-17))
0.00190531    	((9.638108e+02 6.049695e-14 6.261283e+03) (1.798212e+01 1.077512e-18 1.386164e+00)) ((-2.229995e-13 -1.856151e+03 3.063962e-14) (2.477949e-18 1.777209e+01 -1.498731e-17))
0.00202358    	((1.205265e+03 6.782598e-14 6.960046e+03) (1.814305e+01 1.050322e-18 1.373460e+00)) ((-2.549895e-13 -2.148249e+03 3.406975e-14) (2.858003e-18 1.795199e+01 -1.563022e-17))
0.00213735    	((2.154126e+03 9.059583e-14 8.859576e+03) (1.833775e+01 1.055897e-18 1.362664e+00)) ((-3.526136e-13 -2.506723e+03 4.605912e-14) (2.810419e-18 1.816415e+01 -1.745431e-17))
0.00225565    	((5.606134e+03 1.623216e-13 1.385517e+04) (1.873119e+01 5.459163e-19 1.279392e+00)) ((-6.649410e-13 -2.449042e+03 8.607312e-14) (1.963549e-18 1.858898e+01 -2.224779e-17))
0.00236319    	((3.943776e+02 6.343234e-14 6.418895e+03) (1.889857e+01 4.066217e-19 1.290459e+00)) ((-2.329345e-13 -2.907381e+03 2.871085e-14) (3.619641e-18 1.876891e+01 -2.165076e-17))
0.00245602    	((1.723903e+02 6.822745e-14 8.207766e+03) (1.904650e+01 3.336433e-19 1.281639e+00)) ((-2.175749e-13 -3.818509e+03 3.230531e-14) (3.488680e-18 1.893096e+01 -2.139912e-17))
0.00254553    	((1.972438e+02 6.119981e-14 7.097747e+03) (1.915929e+01 1.064108e-18 1.309281e+00)) ((-1.983322e-13 -3.253066e+03 2.878976e-14) (2.299705e-18 1.904868e+01 -2.038978e-17))
0.00263237    	((1.151475e+02 6.841731e-14 8.385312e+03) (1.929658e+01 1.070396e-18 1.313938e+00)) ((-2.193244e-13 -4.169892e+03 3.140040e-14) (1.762628e-18 1.919608e+01 -1.986363e-17))
0.00271586    	((-8.575967e+00 8.186456e-14 1.038991e+04) (1.944227e+01 1.064917e-18 1.326113e+00)) ((-2.578079e-13 -5.657122e+03 3.596696e-14) (1.236627e-18 1.935008e+01 -1.972432e-17))
0.00279303    	((-3.506465e+02 1.471859e-13 1.884876e+04) (1.962328e+01 7.692972e-19 1.360474e+00)) ((-4.513631e-13 -1.177563e+04 5.986645e-14) (1.333559e-18 1.953382e+01 -2.359726e-17))
0.00286625    	((3.695187e+02 3.290474e-14 3.828740e+03) (1.977768e+01 8.659933e-19 1.370521e+00)) ((-1.499847e-13 -1.383944e+03 1.559526e-14) (9.036687e-19 1.969767e+01 -2.489539e-17))
0.00292878    	((6.595927e+02 3.759394e-14 3.097768e+03) (1.994158e+01 1.081272e-18 1.371654e+00)) ((-1.879439e-13 -1.190868e+03 1.603776e-14) (4.371820e-19 1.987235e+01 -2.624723e-17))
0.00299201    	((2.994604e+02 3.577952e-14 3.971805e+03) (2.009674e+01 1.162461e-18 1.374481e+00)) ((-1.407932e-13 -1.450091e+03 1.629241e-14) (4.688248e-19 2.003780e+01 -2.860563e-17))
0.00305667    	((3.460996e+02 3.483766e-14 3.124015e+03) (2.027218e+01 5.752701e-19 1.401766e+00)) ((-1.587886e-13 -1.228148e+03 1.457043e-14) (2.648206e-18 2.021864e+01 -2.838950e-17))
0.00312286    	((2.834681e+02 3.185944e-14 3.641474e+03) (2.043617e+01 7.740726e-19 1.386079e+00)) ((-1.324678e-13 -1.345580e+03 1.443730e-14) (2.695491e-18 2.039572e+01 -2.738772e-17))
0.0031901     	((3.387372e+02 3.173662e-14 3.029647e+03) (2.061546e+01 9.123731e-19 1.376327e+00)) ((-1.432383e-13 -1.183968e+03 1.329148e-14) (3.546099e-18 2.058271e+01 -2.551412e-17))
0.00325871    	((2.748753e+02 2.942741e-14 3.078488e+03) (2.080226e+01 9.765790e-19 1.366401e+00)) ((-1.312887e-13 -1.190817e+03 1.273773e-14) (4.545086e-18 2.077033e+01 -2.581371e-17))
0.00332965    	((2.355960e+02 2.379144e-14 2.589925e+03) (2.101681e+01 5.849834e-19 1.380580e+00)) ((-1.222426e-13 -1.048760e+03 1.132156e-14) (5.488337e-18 2.097816e+01 -2.020962e-17))
0.00340865    	((2.518726e+02 2.976308e-14 3.409964e+03) (2.123804e+01 4.339062e-19 1.374599e+00)) ((-1.328490e-13 -1.386943e+03 1.344322e-14) (6.387256e-18 2.119065e+01 -1.809850e-17))
0.00350346    	((2.183315e+02 3.257736e-14 3.878112e+03) (2.131622e+01 1.562821e-18 1.389035e+00)) ((-1.523729e-13 -1.989613e+03 1.221316e-14) (8.541632e-18 2.122510e+01 -1.435182e-18))
0.00361723    	((1.956697e+02 3.801660e-14 4.754306e+03) (2.221255e+01 1.603782e-18 1.433375e+00)) ((-1.476043e-13 -2.248608e+03 1.618212e-14) (1.026777e-17 2.202616e+01 1.290830e-17))
0.00374935    	((2.962248e+02 2.331924e-14 2.783737e+03) (2.356286e+01 7.649660e-19 1.528135e+00)) ((-1.049227e-13 -1.063766e+03 1.107521e-14) (8.956957e-18 2.324862e+01 2.700222e-17))
0.00390561    	((1.540610e+02 2.679160e-14 3.139295e+03) (2.542420e+01 5.892611e-19 1.629340e+00)) ((-1.150084e-13 -1.301530e+03 1.160872e-14) (7.519709e-18 2.493164e+01 5.978215e-17))
0.00408247    	((1.081251e+02 3.285439e-14 3.864155e+03) (2.696735e+01 3.449770e-19 1.746544e+00)) ((-1.352624e-13 -1.912378e+03 1.362939e-14) (7.260644e-18 2.630223e+01 8.812846e-17))
0.00428396    	((2.114813e+02 2.241853e-14 2.319859e+03) (2.845820e+01 2.056975e-19 1.832335e+00)) ((-1.162402e-13 -9.776563e+02 9.665073e-15) (7.500003e-18 2.766307e+01 8.023155e-17))
0.00450847    	((1.789263e+02 2.253869e-14 2.586795e+03) (2.918067e+01 3.277976e-19 1.846799e+00)) ((-1.016132e-13 -9.257781e+02 9.939731e-15) (4.796588e-18 2.831481e+01 8.879465e-17))
0.00461314    	((7.025667e+02 4.615674e-14 5.226741e+03) (2.943042e+01 5.351990e-19 1.873389e+00)) ((-1.953903e-13 -1.657507e+03 2.418217e-14) (3.067827e-18 2.853728e+01 9.263782e-17))
0.00472074    	((2.336233e+02 2.590710e-14 2.283235e+03) (2.955150e+01 7.031617e-19 1.913063e+00)) ((-1.094510e-13 -8.695081e+02 1.102818e-14) (2.642874e-18 2.863381e+01 9.189375e-17))
0.00483563    	((1.772611e+02 2.313310e-14 2.408804e+03) (2.958836e+01 7.580023e-19 1.928951e+00)) ((-1.015469e-13 -8.844560e+02 1.000550e-14) (3.295987e-18 2.865384e+01 9.373984e-17))
0.00494964    	((1.867305e+02 2.289205e-14 2.237071e+03) (2.955653e+01 7.790095e-19 1.941828e+00)) ((-1.035354e-13 -8.244248e+02 9.623314e-15) (3.857759e-18 2.861002e+01 9.496120e-17))
0.00506631    	((1.886723e+02 2.040557e-14 2.150681e+03) (2.951672e+01 9.056479e-19 1.934583e+00)) ((-9.982785e-14 -7.874603e+02 8.545809e-15) (5.229287e-18 2.856932e+01 9.928815e-17))
0.00520588    	((2.191300e+02 1.908166e-14 1.229134e+03) (2.940412e+01 6.482467e-19 1.956807e+00)) ((-1.240304e-13 -5.458156e+02 7.500824e-15) (7.023180e-18 2.844828e+01 1.009860e-16))
0.00536669    	((1.897205e+02 2.014614e-14 2.141348e+03) (2.910677e+01 1.535302e-19 1.967860e+00)) ((-9.514395e-14 -7.963709e+02 8.521984e-15) (8.420694e-18 2.814302e+01 1.156807e-16))
0.00554514    	((2.617793e+02 1.990358e-14 1.983446e+03) (2.999679e+01 -9.733526e-20 1.914834e+00)) ((-9.976817e-14 -7.212880e+02 7.986594e-15) (6.059387e-18 2.909932e+01 6.232270e-17))
0.00570399    	((1.821974e+02 1.899438e-14 2.153435e+03) (2.999020e+01 -1.834905e-19 1.888309e+00)) ((-9.297979e-14 -7.739778e+02 7.881066e-15) (5.777075e-18 2.912517e+01 6.390328e-17))
0.00585447    	((1.429765e+02 1.875194e-14 1.985414e+03) (2.999534e+01 -4.765413e-19 1.862828e+00)) ((-9.965835e-14 -7.441711e+02 7.453617e-15) (6.863731e-18 2.916305e+01 7.027458e-17))
0.00600337    	((1.404407e+02 1.952106e-14 2.080696e+03) (2.984470e+01 -1.349509e-19 1.833502e+00)) ((-9.308466e-14 -7.853035e+02 7.866705e-15) (6.415044e-18 2.904038e+01 7.816116e-17))
0.00615387    	((1.382831e+02 1.821855e-14 2.066954e+03) (2.956845e+01 -1.660143e-19 1.807885e+00)) ((-9.073894e-14 -7.737478e+02 7.342205e-15) (7.390868e-18 2.877888e+01 8.994023e-17))
0.00630772    	((1.459635e+02 1.819908e-14 1.979047e+03) (2.937399e+01 1.288629e-19 1.768042e+00)) ((-9.423509e-14 -7.531494e+02 7.271196e-15) (7.242470e-18 2.860594e+01 9.262086e-17))
