# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((-5.684342e-14 6.445847e-15 -5.684342e-13) (1.484530e+01 3.919180e-18 1.945759e+00)) ((-1.025239e-13 5.684342e-13 -3.521632e-15) (-4.476798e-18 1.391930e+01 1.061839e-17))
1.19976e-05   	((2.025449e+05 8.059822e-12 1.011766e+06) (1.504318e+01 2.902943e-18 1.714008e+00)) ((-2.641626e-11 -1.137452e+05 4.326629e-12) (3.375852e-18 1.417602e+01 8.164390e-18))
2.63878e-05   	((2.502699e+04 1.387263e-12 1.696250e+05) (1.503728e+01 2.811228e-18 1.629191e+00)) ((-4.206815e-12 -3.059359e+04 7.693527e-13) (5.382383e-18 1.419553e+01 7.829803e-18))
4.36511e-05   	((1.478320e+04 8.356179e-13 1.009719e+05) (1.504532e+01 2.597568e-18 1.574981e+00)) ((-2.563710e-12 -1.854532e+04 4.542253e-13) (6.744175e-18 1.422380e+01 7.501205e-18))
6.43527e-05   	((1.010295e+04 6.179295e-13 7.290315e+04) (1.505940e+01 2.390016e-18 1.523614e+00)) ((-1.861702e-12 -1.468503e+04 3.346313e-13) (7.342069e-18 1.426226e+01 6.891119e-18))
8.91792e-05   	((6.759982e+03 5.024666e-13 5.557040e+04) (1.507704e+01 2.316607e-18 1.464022e+00)) ((-1.339919e-12 -1.384714e+04 2.912592e-13) (6.713106e-18 1.431470e+01 4.832567e-18))
0.000118941   	((5.559039e+03 3.273644e-13 3.768305e+04) (1.509701e+01 2.079266e-18 1.406404e+00)) ((-1.002619e-12 -7.484454e+03 1.769467e-13) (6.653187e-18 1.436618e+01 3.136110e-18))
0.000154634   	((4.017768e+03 2.450752e-13 2.829455e+04) (1.512541e+01 1.802747e-18 1.333372e+00)) ((-7.548927e-13 -5.722487e+03 1.315472e-13) (6.289631e-18 1.443602e+01 1.016739e-18))
0.000197405   	((3.081318e+03 3.112986e-13 2.640909e+04) (1.515505e+01 1.262846e-18 1.242375e+00)) ((-7.156354e-13 -7.381929e+03 2.011549e-13) (6.230152e-18 1.452312e+01 -1.841990e-18))
0.000248707   	((2.551775e+03 1.745380e-13 1.819683e+04) (1.519617e+01 6.342427e-19 1.157229e+00)) ((-5.188170e-13 -4.023630e+03 9.907311e-14) (7.135388e-18 1.461560e+01 -5.526811e-18))
