# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((-1.421085e-14 1.504542e-17 0.000000e+00) (4.605688e+00 -2.192305e-20 6.915114e-01)) ((-1.421085e-14 -5.684342e-14 3.552714e-15) (-3.457557e-02 4.264612e+00 2.302844e-01))
1.19976e-05   	((9.295298e+04 -3.710451e-14 6.103545e+05) (4.637708e+00 -1.784186e-20 6.261127e-01)) ((-3.051773e+04 -1.121097e+05 4.647649e+03) (-3.130564e-02 4.318850e+00 2.318854e-01))
2.63878e-05   	((1.363149e+04 -7.471510e-15 1.029230e+05) (4.642479e+00 -2.150065e-20 6.043560e-01)) ((-5.146151e+03 -2.469766e+04 6.815745e+02) (-3.021780e-02 4.329844e+00 2.321240e-01))
4.36511e-05   	((7.905739e+03 -4.015238e-15 5.624802e+04) (4.651944e+00 -1.698137e-20 5.971725e-01)) ((-2.812401e+03 -1.308372e+04 3.952869e+02) (-2.985863e-02 4.340708e+00 2.325972e-01))
6.43527e-05   	((4.928408e+03 -2.798169e-15 3.936628e+04) (4.665398e+00 -1.535196e-20 5.923936e-01)) ((-1.968314e+03 -9.756309e+03 2.464204e+02) (-2.961968e-02 4.355347e+00 2.332699e-01))
8.91792e-05   	((3.882587e+03 -2.121079e-15 2.880535e+04) (4.681553e+00 -1.425818e-20 5.893767e-01)) ((-1.440268e+03 -6.963987e+03 1.941293e+02) (-2.946883e-02 4.372187e+00 2.340777e-01))
0.000118941   	((2.573555e+03 -1.484883e-15 2.060535e+04) (4.699555e+00 -1.351286e-20 5.874801e-01)) ((-1.030268e+03 -5.213298e+03 1.286778e+02) (-2.937400e-02 4.390591e+00 2.349778e-01))
0.000154634   	((2.404164e+03 -1.255554e-15 1.639462e+04) (4.722556e+00 -1.264621e-20 5.863140e-01)) ((-8.197312e+02 -3.865836e+03 1.202082e+02) (-2.931570e-02 4.413724e+00 2.361278e-01))
0.000197405   	((1.587507e+03 -8.940998e-16 1.202605e+04) (4.747676e+00 -1.153931e-20 5.861429e-01)) ((-6.013025e+02 -2.986835e+03 7.937533e+01) (-2.930715e-02 4.438696e+00 2.373838e-01))
0.000248707   	((1.384572e+03 -1.353648e-15 1.257495e+04) (4.779347e+00 -1.387608e-20 5.826685e-01)) ((-6.287475e+02 -4.310081e+03 6.922862e+01) (-2.913343e-02 4.473465e+00 2.389673e-01))
0.000310237   	((1.281090e+03 -7.219385e-16 8.022628e+03) (4.815812e+00 -1.421234e-20 5.833714e-01)) ((-4.011314e+02 -2.124783e+03 6.405451e+01) (-2.916857e-02 4.510245e+00 2.407906e-01))
0.000383982   	((1.035294e+03 -6.262618e-16 6.914752e+03) (4.860208e+00 -1.165288e-20 5.865386e-01)) ((-3.457376e+02 -1.811533e+03 5.176472e+01) (-2.932693e-02 4.552214e+00 2.430104e-01))
