# Residuals   
# Time        	p_rgh         	Ux            	Uz            	alpha.water   	k             	omega         
0             	N/A	N/A	N/A	N/A	N/A
1.19976e-05   	1.000000e+00	9.999622e-01	9.998978e-01	1.000000e+00	1.000000e+00	6.377466e-02
2.63878e-05   	3.281274e-05	9.347795e-02	3.229374e-01	3.218522e-05	9.476674e-01	7.749319e-02
4.36511e-05   	7.802797e-07	7.770403e-02	2.050033e-01	2.224286e-06	9.062396e-01	9.445125e-02
6.43527e-05   	1.603568e-06	3.064150e-02	8.731924e-02	3.481258e-06	8.740133e-01	1.154720e-01
8.91792e-05   	1.815508e-06	2.837771e-02	7.584355e-02	3.380441e-06	8.487624e-01	1.417920e-01
0.000118941   	2.310915e-06	3.166725e-02	7.115874e-02	3.571721e-06	8.283848e-01	1.749872e-01
0.000154634   	3.405497e-06	2.354291e-02	4.842060e-02	4.202559e-06	8.119549e-01	2.175393e-01
0.000197405   	4.744949e-06	2.052662e-02	4.065987e-02	4.534035e-06	7.983979e-01	2.725587e-01
0.000248707   	5.169466e-06	2.611017e-02	4.715399e-02	4.341401e-06	7.871615e-01	3.458985e-01
0.000310237   	2.881640e-06	7.252354e-02	9.586596e-02	3.363839e-06	7.775344e-01	4.457749e-01
0.000383982   	4.823135e-06	4.385941e-02	5.323759e-02	3.993172e-06	7.688069e-01	5.864377e-01
0.000472342   	9.573975e-06	2.652858e-02	3.103622e-02	4.604216e-06	7.607538e-01	7.954166e-01
0.000577897   	1.106844e-05	3.030070e-02	2.971868e-02	4.531970e-06	7.527691e-01	8.702735e-01
0.000704014   	1.578315e-05	2.701613e-02	2.392998e-02	4.733602e-06	7.450247e-01	8.888137e-01
0.000854764   	1.624800e-05	3.482511e-02	2.890966e-02	4.145166e-06	7.375582e-01	9.045149e-01
0.00103538    	1.791721e-05	2.798119e-02	2.485026e-02	3.628932e-06	7.298785e-01	9.181467e-01
0.00125089    	1.872029e-05	3.288947e-02	2.839595e-02	3.441403e-06	7.206736e-01	9.295724e-01
0.00150772    	2.110606e-05	3.189813e-02	2.555004e-02	3.241307e-06	7.100792e-01	9.393239e-01
0.00181593    	2.119707e-05	3.899042e-02	2.973204e-02	2.979900e-06	6.995851e-01	9.480063e-01
0.00217961    	1.888067e-05	4.827112e-02	3.639536e-02	2.555075e-06	6.833950e-01	9.547653e-01
0.00261425    	2.118815e-05	3.367966e-02	2.411130e-02	2.547076e-06	6.681483e-01	9.610449e-01
0.0031256     	2.196544e-05	3.318689e-02	2.301457e-02	2.339121e-06	6.470272e-01	9.653742e-01
0.00372826    	2.124989e-05	3.345813e-02	2.223499e-02	2.111522e-06	6.242628e-01	9.680494e-01
0.00443572    	9.551856e-06	1.153825e-01	8.896893e-02	1.318548e-06	5.974752e-01	9.690395e-01
0.0052549     	1.016690e-05	4.489557e-02	2.952639e-02	1.400323e-06	5.638021e-01	9.677824e-01
0.0062379     	1.027951e-05	3.727279e-02	2.327169e-02	1.258441e-06	5.380242e-01	9.662185e-01
0.00738474    	9.056822e-06	3.780753e-02	2.187771e-02	1.133220e-06	5.036634e-01	9.613241e-01
0.00864627    	9.079580e-06	3.587040e-02	2.273870e-02	9.563919e-07	4.560401e-01	9.514351e-01
0.00931414    	6.404922e-06	1.653313e-02	1.161661e-02	8.448219e-07	2.619424e-01	8.538698e-01
0.009982      	5.890679e-06	1.574418e-02	1.118892e-02	7.791411e-07	2.378100e-01	8.098641e-01
0.0106976     	6.028626e-06	1.541882e-02	1.185806e-02	7.278882e-07	2.279927e-01	7.797400e-01
0.0114131     	5.661437e-06	1.462669e-02	1.169248e-02	6.783021e-07	2.073691e-01	7.369331e-01
0.0121287     	5.078301e-06	1.347350e-02	1.163151e-02	6.443924e-07	1.892699e-01	6.959452e-01
0.0128443     	4.982651e-06	1.248066e-02	1.125261e-02	6.129228e-07	1.733540e-01	6.562710e-01
0.0134948     	4.652736e-06	1.058788e-02	9.785281e-03	5.772102e-07	1.474878e-01	5.945469e-01
0.0141453     	4.694438e-06	9.852454e-03	9.233301e-03	5.441171e-07	1.368108e-01	5.610691e-01
0.0147958     	5.046895e-06	9.374373e-03	9.374932e-03	5.346513e-07	1.272092e-01	5.294921e-01
0.0154464     	4.265553e-06	9.411162e-03	9.796502e-03	5.062212e-07	1.185711e-01	4.998281e-01
0.0160969     	4.840058e-06	8.831094e-03	9.681852e-03	4.988988e-07	1.107549e-01	4.719949e-01
0.0167474     	4.484836e-06	8.755803e-03	9.759830e-03	4.778467e-07	1.036950e-01	4.458712e-01
