# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((5.684342e-14 -3.955919e-14 9.094947e-13) (9.087123e+00 5.063952e-18 2.409371e+00)) ((-5.701534e-14 0.000000e+00 -2.905862e-14) (-3.466308e-17 7.898742e+00 1.121796e-16))
1.19976e-05   	((1.344264e+05 4.967861e-12 2.762893e+06) (9.132612e+00 5.042276e-18 2.087159e+00)) ((-7.573289e-11 -1.020249e+06 5.270639e-12) (-2.232044e-17 8.098732e+00 1.111795e-16))
2.63878e-05   	((1.388193e+04 6.591541e-13 4.134779e+05) (9.116088e+00 4.837754e-18 1.977621e+00)) ((-1.108557e-11 -1.778666e+05 5.355793e-13) (-1.857622e-17 8.126837e+00 1.109083e-16))
4.36511e-05   	((5.410539e+03 3.691198e-13 2.318236e+05) (9.106011e+00 4.784741e-18 1.924890e+00)) ((-6.197187e-12 -1.031759e+05 2.568836e-13) (-1.678310e-17 8.139525e+00 1.110965e-16))
6.43527e-05   	((3.951990e+03 2.512330e-13 1.513968e+05) (9.112977e+00 4.726528e-18 1.893047e+00)) ((-4.089804e-12 -6.589049e+04 1.843453e-13) (-1.575825e-17 8.161165e+00 1.114148e-16))
8.91792e-05   	((4.275552e+03 1.750904e-13 1.075595e+05) (9.128579e+00 4.683424e-18 1.873480e+00)) ((-2.964056e-12 -4.481418e+04 1.512488e-13) (-1.512853e-17 8.187464e+00 1.113684e-16))
0.000118941   	((2.642124e+03 1.226907e-13 7.687631e+04) (9.145546e+00 4.641997e-18 1.857580e+00)) ((-2.115009e-12 -3.178468e+04 1.030731e-13) (-1.466218e-17 8.213256e+00 1.118792e-16))
0.000154634   	((2.828400e+03 8.803328e-14 6.125585e+04) (9.168152e+00 4.596323e-18 1.844190e+00)) ((-1.704910e-12 -2.462126e+04 8.392393e-14) (-1.433689e-17 8.243647e+00 1.125501e-16))
0.000197405   	((2.145657e+03 5.963509e-14 4.965751e+04) (9.190924e+00 4.545075e-18 1.832749e+00)) ((-1.377149e-12 -2.070454e+04 5.429850e-14) (-1.406600e-17 8.273642e+00 1.133736e-16))
0.000248707   	((2.158959e+03 4.457960e-14 3.859326e+04) (9.221032e+00 4.489940e-18 1.822483e+00)) ((-1.089759e-12 -1.510059e+04 5.046065e-14) (-1.386664e-17 8.310768e+00 1.143853e-16))
0.000310237   	((1.701364e+03 3.265816e-14 2.826583e+04) (9.255714e+00 4.487357e-18 1.815553e+00)) ((-8.418180e-13 -1.110297e+04 3.404342e-14) (-1.346808e-17 8.352236e+00 1.150744e-16))
0.000383982   	((1.826444e+03 2.271565e-14 2.503266e+04) (9.303649e+00 4.418925e-18 1.806781e+00)) ((-7.312422e-13 -9.281094e+03 3.393781e-14) (-1.333403e-17 8.407235e+00 1.164670e-16))
0.000472342   	((1.534101e+03 1.600228e-14 2.085782e+04) (9.363305e+00 4.322304e-18 1.798058e+00)) ((-6.131302e-13 -7.657956e+03 2.752313e-14) (-1.324971e-17 8.474161e+00 1.181060e-16))
0.000577897   	((1.519836e+03 1.175550e-14 1.801607e+04) (9.442654e+00 4.193177e-18 1.789442e+00)) ((-5.423120e-13 -6.409627e+03 2.433482e-14) (-1.317147e-17 8.560949e+00 1.199915e-16))
0.000704014   	((1.627222e+03 1.001832e-14 1.567071e+04) (9.550346e+00 4.060294e-18 1.784058e+00)) ((-5.055715e-13 -5.490116e+03 1.958509e-14) (-1.291648e-17 8.675877e+00 1.220513e-16))
0.000854764   	((1.328955e+03 3.813250e-15 1.358333e+04) (9.690943e+00 3.928346e-18 1.776790e+00)) ((-4.227826e-13 -4.729291e+03 1.672700e-14) (-1.289045e-17 8.823779e+00 1.246354e-16))
0.00103538    	((1.376892e+03 8.401724e-15 1.153360e+04) (9.880826e+00 3.762072e-18 1.775155e+00)) ((-3.990491e-13 -3.870166e+03 1.437757e-14) (-1.288938e-17 9.019621e+00 1.268409e-16))
0.00125089    	((1.122114e+03 2.462682e-15 1.060422e+04) (1.013547e+01 3.530376e-18 1.777999e+00)) ((-3.513526e-13 -3.692232e+03 1.115836e-14) (-1.282076e-17 9.278613e+00 1.298371e-16))
0.00150772    	((1.417346e+03 4.959732e-15 1.048728e+04) (1.049259e+01 3.264398e-18 1.781847e+00)) ((-3.758540e-13 -3.460444e+03 1.252021e-14) (-1.255133e-17 9.638936e+00 1.330760e-16))
0.00181593    	((3.387594e+03 2.499786e-14 1.444101e+04) (1.108555e+01 3.255164e-18 1.764017e+00)) ((-6.243657e-13 -3.703072e+03 2.946319e-14) (-1.099479e-17 1.023883e+01 1.351198e-16))
0.00217961    	((-2.058771e+02 -3.610479e-15 1.183033e+04) (1.154062e+01 2.812074e-18 1.829768e+00)) ((-3.262291e-13 -6.526343e+03 -9.975693e-15) (-9.780638e-18 1.068986e+01 1.437931e-16))
0.00259404    	((-1.340169e+01 -9.364023e-15 7.948765e+03) (1.198644e+01 2.540339e-18 1.887201e+00)) ((-2.452365e-13 -4.144299e+03 -9.759952e-15) (-6.438530e-18 1.113085e+01 1.578872e-16))
0.00305209    	((1.454536e+02 -9.935295e-15 5.178670e+03) (1.245459e+01 2.208946e-18 1.900574e+00)) ((-1.705741e-13 -2.214033e+03 -4.778584e-15) (-3.754195e-18 1.159813e+01 1.711825e-16))
0.00353632    	((1.836553e+02 -1.014402e-14 4.224098e+03) (1.287302e+01 2.133861e-18 1.910740e+00)) ((-1.481951e-13 -1.730732e+03 -4.277793e-15) (-4.222832e-18 1.201176e+01 1.851316e-16))
0.00402054    	((2.099981e+02 -8.395331e-15 4.146446e+03) (1.325102e+01 2.197180e-18 1.894737e+00)) ((-1.493359e-13 -1.579484e+03 -3.464833e-15) (-4.428396e-18 1.238697e+01 1.927028e-16))
0.00446442    	((2.177219e+02 -8.194361e-15 3.668371e+03) (1.357145e+01 2.008902e-18 1.876122e+00)) ((-1.304134e-13 -1.393364e+03 -2.813945e-15) (-6.925225e-18 1.270438e+01 1.960846e-16))
0.0048843     	((2.834031e+02 -8.383735e-15 4.378330e+03) (1.396145e+01 1.969513e-18 1.797691e+00)) ((-1.577498e-13 -1.547593e+03 -1.374101e-15) (-7.320658e-18 1.310428e+01 1.988527e-16))
0.00530418    	((2.327171e+02 -1.212215e-14 3.238497e+03) (1.434095e+01 2.129443e-18 1.755978e+00)) ((-1.316457e-13 -1.200182e+03 -4.684368e-15) (-5.902025e-18 1.348815e+01 2.020705e-16))
0.00571239    	((2.315686e+02 -8.008471e-15 3.164871e+03) (1.472048e+01 1.341698e-18 1.718371e+00)) ((-1.371239e-13 -1.148479e+03 -5.202892e-15) (-4.583075e-18 1.387105e+01 2.066841e-16))
0.00612061    	((2.704262e+02 -1.287105e-14 2.666490e+03) (1.510371e+01 9.344791e-19 1.693765e+00)) ((-1.252376e-13 -1.000087e+03 -6.569220e-15) (-5.508526e-18 1.425608e+01 2.101594e-16))
0.00651717    	((2.495231e+02 -9.712258e-15 2.862967e+03) (1.546950e+01 1.251558e-18 1.670481e+00)) ((-1.323233e-13 -1.035107e+03 -6.239512e-15) (-3.947925e-18 1.462448e+01 2.148859e-16))
