# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((1.136868e-13 6.764460e-14 3.410605e-13) (1.201362e+01 -1.357821e-17 4.295423e+00)) ((-2.248934e-14 1.136868e-13 2.716866e-14) (-1.863975e-17 9.900500e+00 8.040572e-17))
1.19976e-05   	((9.272342e+04 -5.392446e-12 4.112255e+06) (1.211304e+01 -1.310282e-17 3.590884e+00)) ((-1.554887e-11 -1.699826e+06 -1.438182e-11) (-1.628217e-17 1.034385e+01 8.797544e-17))
2.63878e-05   	((-1.354258e+02 -1.600636e-12 6.109873e+05) (1.205567e+01 -1.259331e-17 3.337677e+00)) ((-8.743544e-13 -3.010016e+05 -2.383254e-12) (-1.571269e-17 1.039863e+01 9.074603e-17))
4.36511e-05   	((1.143491e+02 -7.866590e-13 3.353159e+05) (1.202386e+01 -1.205102e-17 3.188651e+00)) ((-7.990432e-13 -1.621807e+05 -1.251479e-12) (-1.504041e-17 1.043686e+01 9.236294e-17))
6.43527e-05   	((1.072845e+02 -4.661010e-13 2.156688e+05) (1.201986e+01 -1.139881e-17 3.072489e+00)) ((-6.373999e-13 -1.033713e+05 -7.809905e-13) (-1.447692e-17 1.049048e+01 9.273140e-17))
8.91792e-05   	((5.815448e+02 -3.413990e-13 1.571261e+05) (1.203738e+01 -1.064377e-17 2.970117e+00)) ((-4.149685e-13 -7.552230e+04 -5.759807e-13) (-1.384117e-17 1.056073e+01 9.314890e-17))
0.000118941   	((1.020650e+03 -1.872135e-13 1.055863e+05) (1.210882e+01 -9.794112e-18 2.871366e+00)) ((-3.727266e-13 -4.875148e+04 -3.705378e-13) (-1.332608e-17 1.068364e+01 9.211217e-17))
0.000154634   	((7.058388e+02 -1.264408e-13 7.836292e+04) (1.225110e+01 -8.814185e-18 2.780105e+00)) ((-2.854485e-13 -3.597715e+04 -2.709033e-13) (-1.289040e-17 1.087058e+01 9.111256e-17))
0.000197405   	((1.185229e+03 -9.832490e-14 6.391878e+04) (1.259813e+01 -8.138438e-18 2.742374e+00)) ((-1.984978e-13 -2.876846e+04 -2.271197e-13) (-1.282211e-17 1.123047e+01 9.343794e-17))
0.000248707   	((1.705466e+03 -5.157309e-14 5.179090e+04) (1.313254e+01 -7.476219e-18 2.732011e+00)) ((-1.922064e-13 -2.198717e+04 -1.822780e-13) (-1.238575e-17 1.176860e+01 9.675834e-17))
