# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((1.136868e-13 6.764460e-14 3.410605e-13) (1.229509e+01 -8.902836e-18 2.597460e+00)) ((-2.248934e-14 1.136868e-13 2.716866e-14) (-1.038010e-17 1.101728e+01 8.566544e-17))
1.19976e-05   	((1.616539e+05 -2.413177e-14 2.061391e+06) (1.246233e+01 -8.837554e-18 2.234873e+00)) ((-1.071328e-11 -6.499100e+05 -7.102309e-12) (-1.124284e-17 1.132400e+01 9.093760e-17))
2.63878e-05   	((1.643688e+04 -6.312791e-13 3.855459e+05) (1.251047e+01 -8.713708e-18 2.113809e+00)) ((-7.503358e-13 -1.595880e+05 -1.496083e-12) (-1.149191e-17 1.141659e+01 9.238177e-17))
4.36511e-05   	((1.052237e+04 -2.445614e-13 2.008069e+05) (1.257739e+01 -8.429666e-18 2.053651e+00)) ((-6.518140e-13 -7.784482e+04 -7.307421e-13) (-1.151618e-17 1.150940e+01 9.355718e-17))
6.43527e-05   	((7.038210e+03 -1.125661e-13 1.345907e+05) (1.268407e+01 -8.190967e-18 2.002384e+00)) ((-5.342969e-13 -5.137908e+04 -4.721743e-13) (-1.146037e-17 1.163784e+01 9.396762e-17))
8.91792e-05   	((5.636371e+03 -5.328404e-14 9.365273e+04) (1.282782e+01 -7.844576e-18 1.960063e+00)) ((-4.025186e-13 -3.476018e+04 -3.226720e-13) (-1.142338e-17 1.180102e+01 9.441638e-17))
0.000118941   	((3.636675e+03 -4.743661e-14 7.052777e+04) (1.301182e+01 -7.376475e-18 1.922836e+00)) ((-2.772543e-13 -2.749291e+04 -2.424647e-13) (-1.133615e-17 1.200320e+01 9.542271e-17))
0.000154634   	((3.672951e+03 -3.038318e-14 4.988637e+04) (1.327560e+01 -6.708975e-18 1.893384e+00)) ((-2.002986e-13 -1.815978e+04 -1.718300e-13) (-1.134353e-17 1.228365e+01 9.670161e-17))
0.000197405   	((2.614641e+03 -1.180067e-15 3.885205e+04) (1.364219e+01 -6.012814e-18 1.859940e+00)) ((-1.764968e-13 -1.412249e+04 -1.273573e-13) (-1.110223e-17 1.266596e+01 9.816904e-17))
0.000248707   	((2.018618e+03 8.102422e-15 2.957229e+04) (1.415758e+01 -5.223348e-18 1.837213e+00)) ((-1.395451e-13 -1.067757e+04 -9.368234e-14) (-1.107876e-17 1.319218e+01 1.004418e-16))
0.000310237   	((2.100350e+03 7.129957e-15 2.371683e+04) (1.493439e+01 -4.336200e-18 1.848089e+00)) ((-8.786557e-14 -8.252987e+03 -7.519191e-14) (-1.201851e-17 1.396395e+01 1.053108e-16))
0.000383982   	((1.657511e+03 1.647649e-14 1.951918e+04) (1.606366e+01 -3.505632e-18 1.880680e+00)) ((-8.761619e-14 -6.737562e+03 -5.983747e-14) (-1.208107e-17 1.507396e+01 1.127577e-16))
0.000472342   	((1.259077e+03 1.712517e-14 1.632898e+04) (1.756229e+01 -2.616575e-18 1.966861e+00)) ((-7.067452e-14 -5.810150e+03 -4.847643e-14) (-1.234386e-17 1.653698e+01 1.229390e-16))
0.000577897   	((1.313174e+03 1.782659e-14 1.317811e+04) (1.920945e+01 -2.027632e-18 2.096921e+00)) ((-4.427100e-14 -4.491492e+03 -3.763989e-14) (-1.339100e-17 1.814613e+01 1.348407e-16))
0.000704014   	((1.185078e+03 2.185981e-14 1.229226e+04) (2.093517e+01 -1.832986e-18 2.209206e+00)) ((-5.205431e-14 -4.094423e+03 -3.476423e-14) (-1.289242e-17 1.983681e+01 1.465742e-16))
0.000854764   	((1.004315e+03 2.171248e-14 1.015426e+04) (2.265596e+01 -2.128191e-18 2.335195e+00)) ((-3.568924e-14 -3.421182e+03 -2.665829e-14) (-1.276626e-17 2.152000e+01 1.577386e-16))
0.00103538    	((8.596301e+02 2.336963e-14 8.645123e+03) (2.431568e+01 -2.270986e-18 2.449603e+00)) ((-3.340588e-14 -2.884973e+03 -2.119492e-14) (-1.277638e-17 2.314496e+01 1.681969e-16))
0.00124847    	((7.625075e+02 2.551615e-14 7.613497e+03) (2.582821e+01 -2.110665e-18 2.530401e+00)) ((-3.063023e-14 -2.516326e+03 -1.721049e-14) (-1.246926e-17 2.463427e+01 1.780414e-16))
0.0014952     	((7.050322e+02 2.634420e-14 6.746973e+03) (2.708802e+01 -2.067295e-18 2.598716e+00)) ((-2.345165e-14 -2.246102e+03 -1.405671e-14) (-1.274153e-17 2.588120e+01 1.857340e-16))
0.00166042    	((8.275389e+02 2.392236e-14 7.545399e+03) (2.779438e+01 -2.053717e-18 2.602651e+00)) ((-2.502833e-14 -2.503826e+03 -1.805481e-14) (-1.211231e-17 2.659366e+01 1.918278e-16))
0.00182564    	((8.892481e+02 2.871893e-14 6.916388e+03) (2.835797e+01 -2.063276e-18 2.612465e+00)) ((-1.513251e-14 -2.323407e+03 -1.543485e-14) (-1.190880e-17 2.716663e+01 1.974166e-16))
0.00198937    	((8.171747e+02 2.415368e-14 6.947466e+03) (2.880469e+01 -1.953178e-18 2.593061e+00)) ((-1.844235e-14 -2.321881e+03 -1.635532e-14) (-1.121496e-17 2.763156e+01 2.010554e-16))
0.00215163    	((1.080764e+03 2.434118e-14 7.147707e+03) (2.919463e+01 -1.921907e-18 2.538477e+00)) ((-8.802206e-15 -2.284363e+03 -1.844084e-14) (-9.251567e-18 2.804919e+01 2.048890e-16))
0.00231099    	((4.193847e+03 3.222956e-14 1.210296e+04) (2.973129e+01 -1.766109e-18 2.511487e+00)) ((7.012655e-14 -2.601895e+03 -4.901400e-14) (-1.101474e-17 2.860872e+01 2.142994e-16))
0.00246348    	((2.241806e+03 1.145175e-14 1.241197e+04) (3.011773e+01 -1.798072e-18 2.422209e+00)) ((3.152164e-14 -4.296636e+03 -4.635410e-14) (-1.008810e-17 2.903192e+01 2.177075e-16))
0.00260491    	((7.339679e+02 4.051980e-14 8.397462e+03) (3.030921e+01 -7.647536e-19 2.394849e+00)) ((2.151141e-14 -3.904823e+03 -1.939619e-14) (-1.399442e-17 2.924772e+01 2.016587e-16))
0.00273769    	((-1.275906e+02 -6.356045e-14 2.216532e+04) (3.043788e+01 -6.381360e-19 2.350645e+00)) ((9.146608e-14 -1.286769e+04 -9.518837e-14) (-1.792487e-17 2.940242e+01 1.964642e-16))
0.00283984    	((4.958309e+02 2.373784e-14 6.686266e+03) (3.050300e+01 -5.860677e-19 2.299359e+00)) ((-1.741386e-14 -2.595046e+03 -1.444903e-14) (-1.958074e-17 2.949213e+01 1.938460e-16))
0.00294078    	((8.765018e+02 6.675735e-14 5.327820e+03) (3.060226e+01 -5.018678e-19 2.328264e+00)) ((-6.626046e-14 -2.303873e+03 -8.485705e-15) (-1.297251e-17 2.960179e+01 1.962036e-16))
0.00306177    	((2.642634e+02 1.519768e-14 6.646958e+03) (3.041208e+01 -6.547953e-19 2.307051e+00)) ((-6.739012e-15 -3.007817e+03 -1.642168e-14) (-8.472865e-18 2.941274e+01 2.165099e-16))
0.00320654    	((1.092619e+02 4.509727e-15 7.872019e+03) (3.030079e+01 -6.516582e-19 2.283417e+00)) ((8.578030e-15 -4.055715e+03 -2.387881e-14) (-2.672294e-18 2.929611e+01 2.240603e-16))
0.0033779     	((2.166701e+02 2.024061e-14 4.821376e+03) (3.021158e+01 -4.754755e-19 2.289854e+00)) ((-7.493708e-15 -2.058725e+03 -8.599521e-15) (-3.915796e-18 2.921732e+01 2.188797e-16))
0.00357578    	((2.645669e+02 2.129894e-14 3.813944e+03) (3.002137e+01 -5.142300e-19 2.278710e+00)) ((2.735102e-15 -1.521396e+03 -4.995186e-15) (-4.895259e-18 2.904539e+01 2.212958e-16))
0.00380077    	((3.879150e+02 4.099869e-14 2.912754e+03) (2.982707e+01 -6.639756e-19 2.199101e+00)) ((-1.966387e-14 -1.092880e+03 5.179095e-16) (-5.615190e-18 2.888758e+01 2.181005e-16))
0.00405388    	((1.718022e+02 2.585864e-14 3.230694e+03) (2.965927e+01 -2.749907e-19 2.177367e+00)) ((-1.561670e-14 -1.197841e+03 -1.450736e-15) (-4.178899e-18 2.873889e+01 1.997503e-16))
0.00419626    	((1.848404e+02 2.290325e-14 3.336425e+03) (2.950103e+01 -7.888632e-20 2.155866e+00)) ((-1.885237e-14 -1.272688e+03 -3.289163e-15) (-2.862542e-18 2.859127e+01 1.994530e-16))
0.0043512     	((1.759054e+02 2.540908e-14 3.274772e+03) (2.932098e+01 -8.527725e-20 2.110523e+00)) ((-1.485010e-14 -1.222494e+03 -1.809869e-15) (-1.445101e-18 2.842826e+01 2.038533e-16))
0.00450769    	((1.895035e+02 2.328799e-14 3.029179e+03) (2.911592e+01 -3.511238e-19 2.082052e+00)) ((-8.354755e-15 -1.135724e+03 -1.715075e-15) (-7.437146e-19 2.823508e+01 2.100696e-16))
0.0046674     	((1.996098e+02 2.797695e-14 2.696312e+03) (2.888885e+01 2.066463e-19 2.090048e+00)) ((-2.043643e-14 -1.006802e+03 -2.061585e-16) (1.113706e-18 2.800812e+01 2.212852e-16))
0.00483051    	((2.030941e+02 2.851860e-14 2.578877e+03) (2.862279e+01 4.315178e-19 2.101563e+00)) ((-1.542256e-14 -9.608581e+02 4.791610e-16) (3.985969e-18 2.773378e+01 2.371353e-16))
0.00499721    	((1.887944e+02 2.751364e-14 2.710427e+03) (2.903651e+01 6.881180e-19 2.016126e+00)) ((-1.014358e-14 -9.803438e+02 5.430407e-16) (-2.117248e-18 2.821977e+01 1.810643e-16))
0.00516208    	((1.887509e+02 2.815128e-14 2.611876e+03) (2.889908e+01 7.078847e-19 1.964466e+00)) ((-1.173991e-14 -9.439637e+02 8.207379e-16) (-3.429388e-18 2.810849e+01 1.829468e-16))
0.00533263    	((2.108914e+02 3.224190e-14 2.296250e+03) (2.875019e+01 6.212793e-19 1.915380e+00)) ((-2.230061e-14 -8.482406e+02 1.512028e-15) (6.778868e-20 2.798631e+01 1.903300e-16))
0.00550934    	((2.754937e+02 4.274936e-14 1.800113e+03) (2.855954e+01 4.124310e-19 1.883189e+00)) ((-1.099925e-14 -7.043347e+02 5.123494e-15) (1.684415e-20 2.781761e+01 1.938749e-16))
0.00569277    	((2.435447e+02 3.340133e-14 1.789904e+03) (2.836710e+01 6.112765e-19 1.895280e+00)) ((-1.459697e-14 -6.910823e+02 2.434026e-15) (-4.112505e-19 2.763503e+01 2.049669e-16))
0.00588353    	((1.669515e+02 2.768252e-14 2.487730e+03) (2.814002e+01 6.180990e-19 1.870798e+00)) ((-1.103059e-14 -8.785485e+02 1.354429e-15) (-2.039318e-19 2.742284e+01 2.068585e-16))
0.00611122    	((1.628909e+02 2.762426e-14 2.428213e+03) (2.776775e+01 7.365079e-19 1.851469e+00)) ((-1.031720e-14 -8.652662e+02 1.507712e-15) (1.799364e-18 2.705287e+01 2.182808e-16))
0.00638355    	((1.513725e+02 2.694460e-14 2.457570e+03) (2.697853e+01 3.962161e-19 1.830728e+00)) ((-9.021960e-15 -9.170363e+02 1.185454e-15) (5.832965e-18 2.625605e+01 2.650783e-16))
0.00669301    	((1.487537e+02 2.682494e-14 2.392256e+03) (2.766888e+01 1.306995e-18 1.715194e+00)) ((-8.215763e-15 -8.974787e+02 1.325652e-15) (-4.225093e-18 2.703920e+01 1.521191e-16))
0.00703422    	((1.529325e+02 2.563763e-14 2.224648e+03) (2.731325e+01 1.285818e-18 1.666911e+00)) ((-1.867199e-15 -8.425667e+02 1.233249e-15) (-4.203131e-18 2.670385e+01 1.435382e-16))
0.00740467    	((1.568934e+02 2.765339e-14 2.116829e+03) (2.690913e+01 1.345871e-18 1.600958e+00)) ((-7.089010e-15 -7.958610e+02 2.002723e-15) (-3.441484e-18 2.632229e+01 1.455537e-16))
0.00776453    	((1.544315e+02 2.801073e-14 2.129337e+03) (2.646431e+01 1.555215e-18 1.545620e+00)) ((-8.613373e-15 -8.078036e+02 2.061981e-15) (-1.998233e-18 2.589004e+01 1.571990e-16))
0.00810441    	((1.371360e+02 2.670095e-14 2.274910e+03) (2.626284e+01 1.767768e-18 1.468939e+00)) ((-7.559862e-15 -8.593305e+02 1.743814e-15) (-3.596302e-18 2.572214e+01 1.479185e-16))
0.00844428    	((1.421766e+02 2.566476e-14 2.105327e+03) (2.599185e+01 2.121295e-18 1.370529e+00)) ((-5.897010e-15 -7.902154e+02 1.666634e-15) (-3.647600e-18 2.548411e+01 1.491883e-16))
0.00877444    	((1.384289e+02 2.607108e-14 2.160351e+03) (2.578109e+01 2.551451e-18 1.241865e+00)) ((-4.582343e-15 -8.219120e+02 1.752430e-15) (-2.785720e-18 2.531954e+01 1.587794e-16))
0.00909518    	((1.453550e+02 2.727055e-14 2.044859e+03) (2.567415e+01 2.533462e-18 1.054204e+00)) ((-6.487701e-15 -7.954699e+02 2.066480e-15) (3.250060e-18 2.529221e+01 1.843154e-16))
0.00940674    	((1.392114e+02 2.689341e-14 2.107973e+03) (2.580296e+01 4.229609e-18 8.758671e-01)) ((-6.648440e-15 -8.183122e+02 1.993571e-15) (1.270569e-17 2.550335e+01 1.863018e-16))
0.00967836    	((1.360708e+02 2.690533e-14 2.145062e+03) (2.575795e+01 3.804327e-18 6.970316e-01)) ((-7.159845e-15 -8.101228e+02 2.144886e-15) (2.430429e-17 2.553021e+01 2.063524e-16))
0.00992412    	((1.346316e+02 2.683318e-14 2.147051e+03) (2.570122e+01 2.220261e-18 5.043331e-01)) ((-7.299326e-15 -8.170418e+02 2.107907e-15) (3.647701e-17 2.555034e+01 2.237569e-16))
0.0101217     	((1.456968e+02 2.656892e-14 1.884641e+03) (2.557710e+01 1.135805e-18 3.313434e-01)) ((-1.985949e-14 -7.534866e+02 1.969427e-15) (4.874744e-17 2.548522e+01 2.480676e-16))
0.0102981     	((1.411673e+02 2.668290e-14 2.002570e+03) (2.537072e+01 7.862474e-19 1.696420e-01)) ((-1.379282e-14 -7.842499e+02 2.004047e-15) (6.062502e-17 2.533249e+01 2.813746e-16))
0.0104598     	((1.333400e+02 2.679510e-14 2.138535e+03) (2.508891e+01 1.097312e-18 2.326530e-02)) ((-7.313555e-15 -8.172669e+02 2.107842e-15) (7.146330e-17 2.509855e+01 3.188634e-16))
0.0106162     	((1.333849e+02 2.682039e-14 2.140299e+03) (2.485121e+01 1.753636e-18 -1.111692e-01)) ((-7.025086e-15 -8.220992e+02 2.085411e-15) (8.034138e-17 2.490882e+01 3.453288e-16))
0.0107675     	((1.324168e+02 2.691072e-14 2.124383e+03) (2.466063e+01 2.715570e-18 -2.167772e-01)) ((-6.984967e-15 -8.136264e+02 2.182498e-15) (8.708861e-17 2.475634e+01 3.590047e-16))
0.0109164     	((1.321022e+02 2.689574e-14 2.131521e+03) (2.448886e+01 4.552161e-18 -2.916011e-01)) ((-6.810521e-15 -8.224144e+02 2.122784e-15) (9.103559e-17 2.461012e+01 3.624108e-16))
0.0110678     	((1.314748e+02 2.704036e-14 2.093089e+03) (2.433640e+01 7.338395e-18 -3.437617e-01)) ((-6.848564e-15 -7.984553e+02 2.337626e-15) (9.183911e-17 2.447467e+01 3.583290e-16))
0.0112273     	((1.315743e+02 2.700617e-14 2.072191e+03) (2.419045e+01 9.591170e-18 -3.952310e-01)) ((-6.761220e-15 -7.878786e+02 2.399731e-15) (9.181584e-17 2.434528e+01 3.499498e-16))
0.0113993     	((1.308762e+02 2.695597e-14 2.057326e+03) (2.404947e+01 9.224317e-18 -4.600675e-01)) ((-6.659019e-15 -7.808141e+02 2.445920e-15) (9.399981e-17 2.422796e+01 3.375082e-16))
0.011568      	((1.306423e+02 2.692542e-14 2.054345e+03) (2.392977e+01 6.174514e-18 -5.356410e-01)) ((-6.609042e-15 -7.803820e+02 2.443258e-15) (9.920511e-17 2.413746e+01 3.245449e-16))
0.0117241     	((1.303106e+02 2.691365e-14 2.056035e+03) (2.383407e+01 2.946913e-18 -6.221126e-01)) ((-6.569889e-15 -7.825715e+02 2.430276e-15) (1.050380e-16 2.407637e+01 3.144397e-16))
0.0118693     	((1.300572e+02 2.691829e-14 2.064832e+03) (2.374842e+01 3.642746e-19 -7.250498e-01)) ((-6.498014e-15 -7.900236e+02 2.385023e-15) (1.099790e-16 2.403642e+01 3.081784e-16))
0.0120071     	((1.287706e+02 2.693605e-14 2.060712e+03) (2.366754e+01 -1.685302e-18 -8.391214e-01)) ((-6.478139e-15 -7.873995e+02 2.434188e-15) (1.138546e-16 2.400930e+01 3.048891e-16))
0.0121426     	((1.294809e+02 2.694925e-14 2.053001e+03) (2.358715e+01 -2.591735e-18 -9.579156e-01)) ((-6.442743e-15 -7.853518e+02 2.436477e-15) (1.156475e-16 2.398875e+01 3.037645e-16))
0.0122758     	((1.290577e+02 2.710611e-14 2.037149e+03) (2.350654e+01 -1.660252e-18 -1.072534e+00)) ((-6.519235e-15 -7.770801e+02 2.539955e-15) (1.142354e-16 2.397027e+01 3.045407e-16))
0.0124067     	((1.432843e+02 3.291692e-14 1.550365e+03) (2.345438e+01 -6.051923e-19 -1.179154e+00)) ((-1.677810e-14 -6.329450e+02 4.371899e-15) (1.115566e-16 2.398269e+01 3.099940e-16))
0.0125376     	((1.298295e+02 2.729205e-14 1.998518e+03) (2.337103e+01 5.202967e-19 -1.272620e+00)) ((-6.959965e-15 -7.625369e+02 2.659402e-15) (1.070681e-16 2.396218e+01 3.123591e-16))
0.0126685     	((1.295284e+02 2.711409e-14 2.022775e+03) (2.326648e+01 1.160462e-20 -1.349746e+00)) ((-6.510135e-15 -7.755362e+02 2.527844e-15) (1.023659e-16 2.391780e+01 3.131498e-16))
0.0128018     	((1.290910e+02 2.720605e-14 1.999925e+03) (2.313759e+01 -1.168092e-18 -1.412080e+00)) ((-6.549639e-15 -7.621504e+02 2.652277e-15) (9.634285e-17 2.384694e+01 3.118948e-16))
0.0129377     	((1.291104e+02 2.722214e-14 1.990184e+03) (2.299645e+01 -2.910410e-18 -1.469970e+00)) ((-6.466815e-15 -7.558714e+02 2.701027e-15) (8.950292e-17 2.376528e+01 3.087895e-16))
0.0130761     	((1.283470e+02 2.720282e-14 1.980234e+03) (2.286296e+01 -5.270708e-18 -1.525322e+00)) ((-6.437673e-15 -7.503374e+02 2.749584e-15) (8.211025e-17 2.369329e+01 3.046686e-16))
0.0132234     	((1.279879e+02 2.710185e-14 1.979492e+03) (2.274513e+01 -7.774422e-18 -1.598566e+00)) ((-6.462143e-15 -7.527114e+02 2.707595e-15) (7.485307e-17 2.364780e+01 3.001791e-16))
0.0133775     	((1.279349e+02 2.707917e-14 1.967292e+03) (2.264474e+01 -7.079698e-18 -1.688239e+00)) ((-6.489546e-15 -7.446816e+02 2.756270e-15) (6.407671e-17 2.362817e+01 2.961871e-16))
0.013528      	((1.277919e+02 2.704857e-14 1.967174e+03) (2.256870e+01 -6.136689e-18 -1.788593e+00)) ((-6.522496e-15 -7.443125e+02 2.748915e-15) (5.359626e-17 2.363403e+01 2.917747e-16))
0.0136939     	((1.280658e+02 2.705526e-14 1.958217e+03) (2.251900e+01 -5.235156e-18 -1.911095e+00)) ((-6.525454e-15 -7.413267e+02 2.758577e-15) (4.277023e-17 2.367423e+01 2.870938e-16))
0.0138644     	((1.272933e+02 2.701549e-14 1.949846e+03) (2.249950e+01 -5.029704e-18 -2.050274e+00)) ((-6.480597e-15 -7.356896e+02 2.806552e-15) (3.388878e-17 2.374636e+01 2.808996e-16))
0.0140348     	((1.272848e+02 2.702378e-14 1.944782e+03) (2.251830e+01 -5.346594e-18 -2.196505e+00)) ((-6.501882e-15 -7.343420e+02 2.811991e-15) (2.673194e-17 2.384906e+01 2.744689e-16))
0.0141645     	((1.266154e+02 2.696204e-14 1.966858e+03) (2.255772e+01 -5.312578e-18 -2.318719e+00)) ((-6.519031e-15 -7.449333e+02 2.736634e-15) (2.245481e-17 2.394766e+01 2.683421e-16))
0.0142941     	((1.264674e+02 2.719810e-14 1.971950e+03) (2.263428e+01 -4.876477e-18 -2.446681e+00)) ((-6.353619e-15 -7.541632e+02 2.711145e-15) (1.788814e-17 2.407744e+01 2.619125e-16))
0.0144155     	((1.352958e+02 3.631871e-14 1.467902e+03) (2.275739e+01 -4.365165e-18 -2.569458e+00)) ((-1.023258e-14 -5.994005e+02 5.508703e-15) (1.486925e-17 2.424447e+01 2.603918e-16))
0.0145454     	((1.274877e+02 2.737987e-14 1.927370e+03) (2.288110e+01 -3.563641e-18 -2.694765e+00)) ((-6.688502e-15 -7.322584e+02 2.876764e-15) (1.162568e-17 2.440204e+01 2.543548e-16))
0.0146666     	((1.266502e+02 2.713092e-14 1.953526e+03) (2.300707e+01 -2.573536e-18 -2.805179e+00)) ((-6.535815e-15 -7.449833e+02 2.729687e-15) (8.399007e-18 2.454583e+01 2.483725e-16))
0.0147755     	((1.260134e+02 2.706304e-14 1.950713e+03) (2.312531e+01 -2.897022e-18 -2.894965e+00)) ((-6.438889e-15 -7.404426e+02 2.756400e-15) (6.650655e-18 2.466626e+01 2.412859e-16))
0.014897      	((1.261875e+02 2.714260e-14 1.925662e+03) (2.325877e+01 -4.105835e-18 -2.978605e+00)) ((-6.359530e-15 -7.297531e+02 2.828040e-15) (5.621562e-18 2.478536e+01 2.306416e-16))
0.0150185     	((1.260908e+02 2.708259e-14 1.929816e+03) (2.340194e+01 -6.159255e-18 -3.058455e+00)) ((-6.285776e-15 -7.327704e+02 2.781710e-15) (7.015411e-18 2.490227e+01 2.197555e-16))
0.0151268     	((1.255744e+02 2.701647e-14 1.937802e+03) (2.353068e+01 -8.496891e-18 -3.125972e+00)) ((-6.199899e-15 -7.367799e+02 2.735703e-15) (1.027590e-17 2.499483e+01 2.117058e-16))
0.0152262     	((1.250619e+02 2.699820e-14 1.941176e+03) (2.366659e+01 -1.019204e-17 -3.203777e+00)) ((-6.402942e-15 -7.375780e+02 2.738999e-15) (1.538865e-17 2.509417e+01 2.046790e-16))
0.0153372     	((1.249384e+02 2.696574e-14 1.935817e+03) (2.382502e+01 -1.134092e-17 -3.299142e+00)) ((-6.545601e-15 -7.361453e+02 2.735125e-15) (2.264408e-17 2.520652e+01 1.986610e-16))
0.0154599     	((1.253145e+02 2.701483e-14 1.911314e+03) (2.403147e+01 -9.971611e-18 -3.413006e+00)) ((-6.718493e-15 -7.205137e+02 2.845091e-15) (2.966019e-17 2.535989e+01 1.936130e-16))
0.0155707     	((1.253653e+02 2.702388e-14 1.926297e+03) (2.422651e+01 -7.129376e-18 -3.527890e+00)) ((-6.881863e-15 -7.307601e+02 2.746500e-15) (3.543753e-17 2.550540e+01 1.898654e-16))
0.0156713     	((1.249170e+02 2.693211e-14 1.923760e+03) (2.440023e+01 -4.008542e-18 -3.639775e+00)) ((-6.935779e-15 -7.261823e+02 2.758330e-15) (4.120250e-17 2.563214e+01 1.910360e-16))
0.0157654     	((1.247490e+02 2.689179e-14 1.931901e+03) (2.456182e+01 9.479588e-20 -3.750984e+00)) ((-7.034857e-15 -7.324143e+02 2.676825e-15) (4.563769e-17 2.575015e+01 1.929041e-16))
0.0158555     	((1.241392e+02 2.679530e-14 1.930390e+03) (2.471339e+01 3.924200e-18 -3.864072e+00)) ((-7.035578e-15 -7.299514e+02 2.671020e-15) (4.951183e-17 2.586242e+01 1.916680e-16))
0.0159566     	((1.239924e+02 2.679877e-14 1.914823e+03) (2.487041e+01 7.574654e-18 -4.001232e+00)) ((-6.981210e-15 -7.217308e+02 2.736346e-15) (5.317323e-17 2.598514e+01 1.911328e-16))
0.0160689     	((1.244676e+02 2.690107e-14 1.896002e+03) (2.504473e+01 1.069175e-17 -4.170027e+00)) ((-6.952764e-15 -7.122804e+02 2.840198e-15) (5.587114e-17 2.614009e+01 1.925826e-16))
0.0161752     	((1.250417e+02 2.699373e-14 1.897891e+03) (2.520673e+01 1.320476e-17 -4.346864e+00)) ((-6.940509e-15 -7.141970e+02 2.868240e-15) (5.634962e-17 2.630039e+01 1.923158e-16))
0.0162733     	((1.245740e+02 2.695019e-14 1.917344e+03) (2.533277e+01 1.523262e-17 -4.518665e+00)) ((-6.810390e-15 -7.256686e+02 2.817760e-15) (5.553649e-17 2.643348e+01 1.929970e-16))
0.0163664     	((1.243794e+02 2.694736e-14 1.938382e+03) (2.544712e+01 1.697499e-17 -4.685051e+00)) ((-6.754453e-15 -7.410991e+02 2.721022e-15) (5.387377e-17 2.656083e+01 1.954870e-16))
0.0164573     	((1.246361e+02 2.698176e-14 1.924314e+03) (2.553149e+01 1.856405e-17 -4.842045e+00)) ((-6.731390e-15 -7.313130e+02 2.811122e-15) (5.116477e-17 2.665813e+01 1.950543e-16))
0.0165437     	((1.252265e+02 2.735843e-14 1.881169e+03) (2.562563e+01 1.823743e-17 -4.986104e+00)) ((-6.413025e-15 -7.133557e+02 2.969097e-15) (4.929697e-17 2.676666e+01 1.917294e-16))
0.0166397     	((1.293862e+02 3.244339e-14 1.340851e+03) (2.574724e+01 1.668451e-17 -5.124287e+00)) ((3.894937e-15 -5.424980e+02 4.080430e-15) (4.714541e-17 2.690217e+01 1.902238e-16))
0.0167447     	((1.262999e+02 2.701450e-14 1.881079e+03) (2.578680e+01 1.510460e-17 -5.244979e+00)) ((-6.507716e-15 -7.085174e+02 2.980168e-15) (4.338874e-17 2.694600e+01 1.889825e-16))
0.0168532     	((1.263030e+02 2.691053e-14 1.868068e+03) (2.579571e+01 1.338090e-17 -5.334324e+00)) ((-6.452265e-15 -6.990183e+02 3.022150e-15) (3.737434e-17 2.695092e+01 1.848070e-16))
0.0169617     	((1.268347e+02 2.692021e-14 1.853063e+03) (2.578797e+01 1.096961e-17 -5.398893e+00)) ((-6.511315e-15 -6.894625e+02 3.069966e-15) (3.020158e-17 2.693472e+01 1.815391e-16))
0.0170702     	((1.268784e+02 2.685499e-14 1.844619e+03) (2.573823e+01 8.002877e-18 -5.442935e+00)) ((-6.638057e-15 -6.855772e+02 3.029219e-15) (2.080838e-17 2.687128e+01 1.710560e-16))
0.0171787     	((1.260302e+02 2.664991e-14 1.852995e+03) (2.566104e+01 4.969340e-18 -5.472946e+00)) ((-6.697441e-15 -6.917705e+02 2.889624e-15) (9.594932e-18 2.677892e+01 1.626934e-16))
0.0172872     	((1.259651e+02 2.683838e-14 1.868212e+03) (2.560657e+01 2.737684e-18 -5.518016e+00)) ((-6.524190e-15 -7.021412e+02 2.955334e-15) (-3.919527e-18 2.671964e+01 1.523390e-16))
0.0173958     	((1.262841e+02 2.722773e-14 1.830753e+03) (2.553401e+01 1.317009e-18 -5.566828e+00)) ((-5.994001e-15 -6.864420e+02 3.126051e-15) (-1.836469e-17 2.664498e+01 1.455708e-16))
0.0175043     	((1.262852e+02 2.730167e-14 1.831905e+03) (2.549107e+01 3.591383e-19 -5.621740e+00)) ((-6.007221e-15 -6.877580e+02 3.145120e-15) (-3.350797e-17 2.660663e+01 1.372797e-16))
