# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -1.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 8.429467e-17 5.115908e-13) (5.156414e+00 -1.433941e-20 6.766731e-01)) ((8.881784e-15 -1.136868e-13 3.552714e-15) (-3.383365e-02 4.822888e+00 2.578207e-01))
1.19976e-05   	((9.580044e+04 -1.668117e-14 5.048182e+05) (5.199240e+00 -1.577087e-20 6.173743e-01)) ((-2.524091e+04 -6.151861e+04 4.790022e+03) (-3.086872e-02 4.884028e+00 2.599620e-01))
2.63878e-05   	((1.494095e+04 -3.898115e-15 8.799101e+04) (5.211978e+00 -1.858235e-20 6.008615e-01)) ((-4.399550e+03 -1.518591e+04 7.470475e+02) (-3.004307e-02 4.900140e+00 2.605989e-01))
4.36511e-05   	((8.466650e+03 -1.814622e-15 4.547669e+04) (5.231159e+00 -2.248821e-20 5.949221e-01)) ((-2.273834e+03 -7.248711e+03 4.233325e+02) (-2.974611e-02 4.920905e+00 2.615579e-01))
6.43527e-05   	((5.683905e+03 -1.372382e-15 3.322257e+04) (5.256479e+00 -2.237182e-20 5.917292e-01)) ((-1.661129e+03 -5.683939e+03 2.841953e+02) (-2.958646e-02 4.946920e+00 2.628239e-01))
8.91792e-05   	((4.316680e+03 -8.429895e-16 2.387435e+04) (5.288147e+00 -2.197790e-20 5.898640e-01)) ((-1.193717e+03 -3.990596e+03 2.158340e+02) (-2.949320e-02 4.978885e+00 2.644074e-01))
0.000118941   	((3.044400e+03 -5.442846e-16 1.699187e+04) (5.325629e+00 -2.018657e-20 5.898701e-01)) ((-8.495934e+02 -2.902089e+03 1.522200e+02) (-2.949350e-02 5.015600e+00 2.662814e-01))
0.000154634   	((2.745225e+03 -3.209371e-16 1.339898e+04) (5.373834e+00 -1.764424e-20 5.905320e-01)) ((-6.699489e+02 -2.034712e+03 1.372613e+02) (-2.952660e-02 5.062517e+00 2.686917e-01))
0.000197405   	((1.671412e+03 -6.717770e-16 1.320683e+04) (5.431916e+00 -1.860606e-20 5.873788e-01)) ((-6.603415e+02 -3.987713e+03 8.357059e+01) (-2.936894e-02 5.122079e+00 2.715958e-01))
0.000248707   	((2.009981e+03 -9.333200e-17 8.742626e+03) (5.506848e+00 -1.771177e-20 5.858496e-01)) ((-4.371313e+02 -1.321582e+03 1.004990e+02) (-2.929248e-02 5.196872e+00 2.753424e-01))
0.000310237   	((1.431124e+03 -6.904858e-17 6.538101e+03) (5.597964e+00 -1.630786e-20 5.857816e-01)) ((-3.269050e+02 -1.023257e+03 7.155622e+01) (-2.928908e-02 5.287246e+00 2.798982e-01))
0.000383982   	((1.544594e+03 1.646627e-17 6.074338e+03) (5.718313e+00 -1.669189e-20 5.880198e-01)) ((-3.037169e+02 -9.027528e+02 7.722968e+01) (-2.940099e-02 5.404602e+00 2.859157e-01))
0.000472342   	((2.494907e+03 3.891841e-16 6.350294e+03) (5.886657e+00 -1.708978e-20 5.875997e-01)) ((-3.175147e+02 -1.141261e+03 1.247454e+02) (-2.937999e-02 5.572312e+00 2.943328e-01))
0.000577897   	((3.533695e+03 7.688432e-16 6.307766e+03) (6.131090e+00 -1.825463e-20 5.724971e-01)) ((-3.153883e+02 2.232605e+02 1.766848e+02) (-2.862486e-02 5.817091e+00 3.065545e-01))
0.000704014   	((6.639967e+02 -6.847018e-17 3.407830e+03) (6.402461e+00 -1.775032e-20 5.776398e-01)) ((-1.703915e+02 -6.640261e+02 3.319984e+01) (-2.888199e-02 6.084637e+00 3.201231e-01))
0.000854764   	((8.202697e+02 8.419727e-17 2.840137e+03) (6.769022e+00 -1.049590e-20 6.002595e-01)) ((-1.420068e+02 -1.057119e+03 4.101348e+01) (-3.001298e-02 6.442498e+00 3.384511e-01))
0.00103538    	((4.521627e+02 -3.101624e-17 2.366745e+03) (7.217657e+00 -3.458092e-21 6.236102e-01)) ((-1.183372e+02 -4.824459e+02 2.260813e+01) (-3.118051e-02 6.882602e+00 3.608828e-01))
0.00125089    	((3.652123e+02 -6.317899e-17 2.178757e+03) (7.730748e+00 6.004165e-22 6.460967e-01)) ((-1.089379e+02 -5.395830e+02 1.826061e+01) (-3.230484e-02 7.390091e+00 3.865374e-01))
0.00150772    	((4.426114e+02 -2.049517e-16 1.659821e+03) (8.295650e+00 -4.133021e-21 6.872881e-01)) ((-8.299106e+01 -6.371814e+02 2.213057e+01) (-3.436441e-02 7.942676e+00 4.147825e-01))
0.00181593    	((2.759341e+02 -2.682999e-17 1.524577e+03) (8.904126e+00 1.486454e-21 7.216639e-01)) ((-7.622884e+01 -3.222596e+02 1.379671e+01) (-3.608319e-02 8.540269e+00 4.452063e-01))
0.00217961    	((1.858281e+02 -1.316084e-16 2.037314e+03) (9.549273e+00 5.030910e-21 7.461715e-01)) ((-1.018657e+02 -8.246504e+02 9.291406e+00) (-3.730858e-02 9.180328e+00 4.774637e-01))
0.00261425    	((2.671623e+02 -5.314123e-17 8.063599e+02) (1.021707e+01 5.850458e-21 7.943720e-01)) ((-4.031799e+01 -1.494005e+02 1.335811e+01) (-3.971860e-02 9.828081e+00 5.108534e-01))
0.0031256     	((1.347052e+02 -9.786095e-17 1.667370e+03) (1.087291e+01 2.227456e-20 8.251442e-01)) ((-8.336849e+01 -7.057339e+02 6.735258e+00) (-4.125721e-02 1.047382e+01 5.436455e-01))
0.00370748    	((1.575161e+02 -1.956290e-17 1.044626e+03) (1.146919e+01 2.741920e-20 8.525534e-01)) ((-5.223131e+01 -3.223500e+02 7.875807e+00) (-4.262767e-02 1.106486e+01 5.734597e-01))
0.00435918    	((9.766667e+01 1.764738e-17 1.564956e+03) (1.197128e+01 8.542280e-21 8.319621e-01)) ((-7.824778e+01 -7.337467e+02 4.883333e+00) (-4.159811e-02 1.159952e+01 5.985640e-01))
0.00507012    	((5.883861e+01 -1.223749e-16 2.400818e+03) (1.240485e+01 3.424571e-21 8.314739e-01)) ((-1.200409e+02 -1.253402e+03 2.941931e+00) (-4.157370e-02 1.204907e+01 6.202427e-01))
0.00550924    	((1.292238e+02 -3.129713e-18 8.553311e+02) (1.263563e+01 -3.181315e-22 8.338767e-01)) ((-4.276655e+01 -2.790764e+02 6.461188e+00) (-4.169383e-02 1.228816e+01 6.317817e-01))
0.00602676    	((9.840491e+01 -2.254290e-17 1.070004e+03) (1.285782e+01 -2.621011e-21 8.264102e-01)) ((-5.350019e+01 -3.845152e+02 4.920246e+00) (-4.132051e-02 1.252394e+01 6.428910e-01))
0.0066343     	((8.250849e+01 -2.396393e-17 1.017793e+03) (1.305393e+01 -4.809217e-21 8.206919e-01)) ((-5.088963e+01 -3.851508e+02 4.125424e+00) (-4.103460e-02 1.273435e+01 6.526967e-01))
0.00705197    	((8.735337e+01 -1.939759e-17 9.426709e+02) (1.316905e+01 -5.281993e-21 8.167710e-01)) ((-4.713354e+01 -3.394408e+02 4.367668e+00) (-4.083855e-02 1.285853e+01 6.584526e-01))
0.00746965    	((9.359425e+01 -1.389220e-17 8.335483e+02) (1.326424e+01 -5.528731e-21 8.091726e-01)) ((-4.167742e+01 -3.060197e+02 4.679713e+00) (-4.045863e-02 1.296397e+01 6.632121e-01))
0.00788733    	((7.641191e+01 -1.790419e-17 9.064120e+02) (1.333801e+01 -5.430257e-21 8.002433e-01)) ((-4.532060e+01 -3.230436e+02 3.820595e+00) (-4.001216e-02 1.304837e+01 6.669003e-01))
0.00831993    	((7.483779e+01 -1.632369e-17 8.645898e+02) (1.339619e+01 -5.080953e-21 7.913363e-01)) ((-4.322949e+01 -3.018404e+02 3.741890e+00) (-3.956681e-02 1.311732e+01 6.698095e-01))
0.00878713    	((7.448640e+01 -1.505907e-17 7.922108e+02) (1.344245e+01 -4.231218e-21 7.864747e-01)) ((-3.961054e+01 -2.774918e+02 3.724320e+00) (-3.932374e-02 1.317313e+01 6.721225e-01))
0.0092968     	((7.042618e+01 -1.383627e-17 8.060253e+02) (1.344172e+01 -3.869928e-21 7.814509e-01)) ((-4.030127e+01 -3.107262e+02 3.521309e+00) (-3.907254e-02 1.317970e+01 6.720858e-01))
0.00986013    	((5.587656e+01 -1.891116e-17 1.013534e+03) (1.334618e+01 -1.048131e-20 7.802501e-01)) ((-5.067668e+01 -4.382562e+02 2.793828e+00) (-3.901250e-02 1.308590e+01 6.673088e-01))
0.0104235     	((5.602979e+01 -1.724613e-17 9.932608e+02) (1.347314e+01 -7.102399e-21 7.705860e-01)) ((-4.966304e+01 -4.265616e+02 2.801489e+00) (-3.852930e-02 1.322089e+01 6.736570e-01))
0.0109868     	((6.336678e+01 -1.472297e-17 8.540664e+02) (1.344445e+01 -7.540209e-21 7.465606e-01)) ((-4.270332e+01 -3.278603e+02 3.168339e+00) (-3.732803e-02 1.321163e+01 6.722225e-01))
0.0115501     	((6.687193e+01 -1.294078e-17 7.839832e+02) (1.341272e+01 -4.553314e-21 7.211685e-01)) ((-3.919916e+01 -2.832838e+02 3.343596e+00) (-3.605843e-02 1.319656e+01 6.706361e-01))
0.0120782     	((6.777352e+01 -1.166861e-17 6.836703e+02) (1.337248e+01 -3.048907e-21 7.065967e-01)) ((-3.418352e+01 -2.438539e+02 3.388676e+00) (-3.532983e-02 1.316514e+01 6.686238e-01))
0.0126441     	((6.615207e+01 -1.215496e-17 7.579264e+02) (1.331074e+01 -2.125126e-21 6.855917e-01)) ((-3.789632e+01 -2.687195e+02 3.307604e+00) (-3.427958e-02 1.311352e+01 6.655370e-01))
0.0131695     	((6.496162e+01 -1.207525e-17 7.585141e+02) (1.323861e+01 -2.943886e-21 6.652697e-01)) ((-3.792570e+01 -2.720182e+02 3.248081e+00) (-3.326349e-02 1.304936e+01 6.619307e-01))
0.0136949     	((6.119451e+01 -1.262189e-17 7.962532e+02) (1.319572e+01 1.016430e-21 6.437723e-01)) ((-3.981266e+01 -3.038665e+02 3.059725e+00) (-3.218862e-02 1.301337e+01 6.597858e-01))
0.0142203     	((6.218609e+01 -1.272489e-17 7.660413e+02) (1.312329e+01 7.668634e-22 6.187107e-01)) ((-3.830207e+01 -2.858455e+02 3.109304e+00) (-3.093554e-02 1.294985e+01 6.561647e-01))
0.0147458     	((6.177838e+01 -1.191341e-17 7.620820e+02) (1.305163e+01 -5.774987e-22 5.901406e-01)) ((-3.810410e+01 -2.836404e+02 3.088919e+00) (-2.950703e-02 1.288810e+01 6.525814e-01))
0.0152712     	((5.955703e+01 -1.188367e-17 7.119753e+02) (1.296666e+01 3.751937e-22 5.712641e-01)) ((-3.559876e+01 -2.744609e+02 2.977852e+00) (-2.856321e-02 1.280790e+01 6.483329e-01))
0.0157966     	((5.936206e+01 -1.260019e-17 7.788891e+02) (1.293414e+01 2.854384e-21 5.472348e-01)) ((-3.894446e+01 -3.018127e+02 2.968103e+00) (-2.736174e-02 1.278437e+01 6.467070e-01))
0.016322      	((6.087467e+01 -1.182904e-17 7.438668e+02) (1.287383e+01 3.488385e-21 5.262701e-01)) ((-3.719334e+01 -2.760240e+02 3.043733e+00) (-2.631351e-02 1.273092e+01 6.436917e-01))
0.0168475     	((5.902913e+01 -1.236930e-17 7.651202e+02) (1.282370e+01 2.742152e-21 5.059544e-01)) ((-3.825601e+01 -2.940784e+02 2.951456e+00) (-2.529772e-02 1.268852e+01 6.411850e-01))
0.0173729     	((5.861896e+01 -1.236518e-17 7.649304e+02) (1.275173e+01 1.306711e-21 4.894044e-01)) ((-3.824652e+01 -2.947633e+02 2.930948e+00) (-2.447022e-02 1.262151e+01 6.375867e-01))
0.0178983     	((5.655315e+01 -1.306068e-17 7.861122e+02) (1.270956e+01 2.107025e-21 4.710291e-01)) ((-3.930561e+01 -3.123205e+02 2.827657e+00) (-2.355146e-02 1.258633e+01 6.354778e-01))
0.0184237     	((5.959179e+01 -1.230599e-17 7.342917e+02) (1.263715e+01 2.627581e-21 4.528269e-01)) ((-3.671458e+01 -2.760666e+02 2.979590e+00) (-2.264134e-02 1.251923e+01 6.318575e-01))
