# y+ ()       
# Time        	patch         	min           	max           	average       
0             	aerofoil	7.462723e+01	9.565969e+01	8.788135e+01
0.02          	aerofoil	1.129287e+00	3.643742e+02	2.052340e+02
0.04          	aerofoil	1.978165e+00	3.733148e+02	1.952815e+02
0.06          	aerofoil	5.498741e+00	4.672825e+02	2.055696e+02
0.08          	aerofoil	9.852160e-01	6.932221e+02	2.213511e+02
0.1           	aerofoil	8.100445e-02	8.664949e+02	2.155629e+02
0.12          	aerofoil	1.147792e-02	1.170974e+03	1.995931e+02
0.14          	aerofoil	4.810990e-03	8.787834e+02	1.901516e+02
0.16          	aerofoil	2.897579e-03	6.852555e+02	1.867781e+02
0.18          	aerofoil	2.944584e-03	6.649525e+02	1.864612e+02
0.2           	aerofoil	6.255785e-03	6.610915e+02	1.870020e+02
0.22          	aerofoil	1.360918e-02	6.855766e+02	1.915777e+02
0.24          	aerofoil	2.652814e-02	1.048381e+03	2.078469e+02
0.26          	aerofoil	3.736369e-02	1.357304e+03	2.142602e+02
0.28          	aerofoil	2.650975e-02	1.518813e+03	2.093781e+02
0.3           	aerofoil	1.261698e-02	1.081525e+03	1.973051e+02
0.32          	aerofoil	8.350046e-03	7.130542e+02	1.954853e+02
0.34          	aerofoil	4.747772e-03	1.159445e+03	2.044142e+02
0.36          	aerofoil	6.513349e-03	1.310877e+03	2.065194e+02
0.38          	aerofoil	1.229487e-02	6.732480e+02	1.983072e+02
0.4           	aerofoil	4.059440e-02	6.952750e+02	1.997846e+02
0.42          	aerofoil	5.734521e-02	8.160219e+02	2.019636e+02
0.44          	aerofoil	4.321023e-02	1.130383e+03	1.986978e+02
0.46          	aerofoil	3.519014e-02	6.596781e+02	1.890409e+02
0.48          	aerofoil	3.112868e-02	6.890481e+02	1.837615e+02
0.5           	aerofoil	2.778804e-02	7.012675e+02	1.856394e+02
0.52          	aerofoil	2.600027e-02	5.640292e+02	1.768676e+02
0.54          	aerofoil	4.614661e-02	5.596103e+02	1.704537e+02
0.56          	aerofoil	9.054190e-02	5.893116e+02	1.701374e+02
0.58          	aerofoil	1.859205e-01	9.561012e+02	1.786041e+02
0.6           	aerofoil	8.775911e-01	9.964325e+02	1.855892e+02
0.62          	aerofoil	4.384859e+00	1.281857e+03	2.400773e+02
0.64          	aerofoil	3.468768e+00	1.438097e+03	2.826010e+02
0.66          	aerofoil	1.456120e+01	1.528909e+03	3.008085e+02
0.68          	aerofoil	1.080607e+01	1.583212e+03	3.344192e+02
0.7           	aerofoil	1.112281e+01	1.614139e+03	2.983767e+02
0.72          	aerofoil	4.224595e+00	1.302831e+03	2.589515e+02
0.74          	aerofoil	5.262268e+00	1.179230e+03	2.320761e+02
0.76          	aerofoil	6.704613e+00	6.168908e+02	2.123219e+02
0.78          	aerofoil	1.230510e+01	8.371455e+02	2.065890e+02
0.8           	aerofoil	1.448396e+01	1.064580e+03	2.107421e+02
0.82          	aerofoil	8.337154e+00	8.876709e+02	2.136079e+02
0.84          	aerofoil	4.084511e+00	8.497087e+02	2.098731e+02
0.86          	aerofoil	1.150281e+01	5.797520e+02	2.071133e+02
0.88          	aerofoil	6.944965e+00	5.571087e+02	2.092156e+02
0.9           	aerofoil	1.065283e+00	5.941521e+02	2.240078e+02
0.92          	aerofoil	3.742267e+01	1.477376e+03	2.684629e+02
0.94          	aerofoil	3.770503e+01	6.665099e+02	2.407776e+02
0.96          	aerofoil	3.730242e+01	5.849046e+02	2.364538e+02
0.98          	aerofoil	3.612297e+01	4.918617e+02	2.304425e+02
1             	aerofoil	3.134984e+01	5.439264e+02	2.238581e+02
